"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
3/43-45-hart-street-airport-west-vic-3042,310000,18-Nov-2017,1,1,1,-1,None,Villa,https://www.domain.com.au/3-43-45-hart-street-airport-west-vic-3042-2013947987,,0.7-2.3-0.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163-parer-road-airport-west-vic-3042,490000,19-Dec-2013,1,1,-1,617,m2,House,https://www.domain.com.au/163-parer-road-airport-west-vic-3042-2010632556,,1.3-1.2-2.8,3,Jun/2015/585000.0/SOLD-Dec/2013/490000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163-halsey-road-airport-west-vic-3042,730000,15-Nov-2021,2,1,1,-1,None,House,https://www.domain.com.au/163-halsey-road-airport-west-vic-3042-2017386649,Gas*-Dishwasher*-Study*-Built in wardrobes-Split-System Air Conditioning-Split-System Heating,1.4-1.3-3,3,Nov/2021/730000.0/SOLD,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197a-parer-road-airport-west-vic-3042,695000,08-Nov-2021,2,1,2,313,m2,House,https://www.domain.com.au/197a-parer-road-airport-west-vic-3042-2017392272,,1.2-1.1-2.5,3,Nov/2021/695000.0/SOLD-Aug/2009/380000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/32-roberts-road-airport-west-vic-3042,580000,20-Oct-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/1-32-roberts-road-airport-west-vic-3042-2017309039,Built in wardrobes*-Internal Laundry*-Heating*-Balcony / Deck*,1-1-2.1,3,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106a-victory-road-airport-west-vic-3042,770000,05-Oct-2021,2,2,1,-1,None,House,https://www.domain.com.au/106a-victory-road-airport-west-vic-3042-2017275058,Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*-Study*,1.5-3.2-0.9,3,Oct/2021/770000.0/SOLD-Feb/2014/165000.0/SOLD-May/2011/165000.0/SOLD,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78-bowes-avenue-airport-west-vic-3042,1099000,11-Sep-2021,2,1,1,696,m2,House,https://www.domain.com.au/78-bowes-avenue-airport-west-vic-3042-2017215776,Gas*-Internal Laundry*-Secure Parking*-Dishwasher*-Shed*-Garden*,0.7-2.4-0.6,3,Sep/2021/1099000.0/SOLD,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7/39-hillside-grove-airport-west-vic-3042,605000,17-Jul-2021,2,2,1,-1,None,House,https://www.domain.com.au/7-39-hillside-grove-airport-west-vic-3042-2016998259,,0.5-0.5-1.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15-south-road-airport-west-vic-3042,636000,10-Jul-2021,2,1,1,156,m2,House,https://www.domain.com.au/2-15-south-road-airport-west-vic-3042-2017077055,Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*,0.9-0.8-2.5,3,,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139-victory-road-airport-west-vic-3042,955000,05-Jun-2021,2,1,3,613,m2,House,https://www.domain.com.au/139-victory-road-airport-west-vic-3042-2016995157,Internal Laundry*-Secure Parking*-Fireplace(s)*-Garden*,1.5-3.1-0.8,3,Jun/2021/955000.0/SOLD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/43-45-hart-street-airport-west-vic-3042,620000,01-Jun-2021,2,1,2,-1,None,House,https://www.domain.com.au/1-43-45-hart-street-airport-west-vic-3042-2016986802,,0.7-2.3-0.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-north-street-airport-west-vic-3042,951000,22-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/26-north-street-airport-west-vic-3042-2016964108,,1.2-1.1-2.8,3,May/2021/951000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-walters-avenue-airport-west-vic-3042,1090000,01-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/11-walters-avenue-airport-west-vic-3042-2016909153,,0.7-1.9-1,3,May/2021/300.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/180-parer-road-airport-west-vic-3042,570000,13-Mar-2021,2,1,1,128,m2,House,https://www.domain.com.au/5-180-parer-road-airport-west-vic-3042-2016809630,Built in wardrobes*-Internal Laundry*-Heating*-Dishwasher*-Garden*,1.4-1.3-2.9,3,,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25-matthews-ave-airport-west-vic-3042,685000,26-Feb-2021,2,1,1,270,m2,House,https://www.domain.com.au/25-matthews-ave-airport-west-vic-3042-2016669261,Outdoor Entertainment Area-Courtyard-Secure Parking-Deck-Alarm-Shed-Fully fenced-Cable or Satellite-Open Fire Place-Broadband Connection-Dishwasher-Floorboards-Built in wardrobes-Air conditioning-Split System Air Conditioning-Ducted Heating-Evaporative Cooling,1-2.2-1.1,3,,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
