"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
310a/1095-plenty-road-bundoora-vic-3083,375000,20-Apr-2021,1,1,1,-1,None,House,https://www.domain.com.au/310a-1095-plenty-road-bundoora-vic-3083-2016857827,Air conditioning*-Intercom*-Garden*-Floorboards-Built in wardrobes-Internal Laundry-Bath-Dishwasher-Secure Parking-Balcony / Deck,1.1-1.2-1.4,3,,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
8-hillhouse-crescent-bundoora-vic-3083,535000,24-Mar-2015,1,1,1,785,m2,House,https://www.domain.com.au/8-hillhouse-crescent-bundoora-vic-3083-2011061146,Close to schools-Close to shops-Close to transport,1.2-1.2-0.2,3,Mar/2015/535000.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
66-linacre-drive-bundoora-vic-3083,553000,22-Nov-2014,1,1,-1,629,m2,House,https://www.domain.com.au/66-linacre-drive-bundoora-vic-3083-2011542930,,1.8-2.7-1.2,3,Oct/2020/980000.0/SOLD-Apr/2018/900000.0/SOLD-Dec/2015/701000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-warramunga-road-bundoora-vic-3083,430000,14-Nov-2014,1,1,-1,378,m2,House,https://www.domain.com.au/17-warramunga-road-bundoora-vic-3083-2011420730,,1-1.2-0.6,3,Oct/2014/430000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-clovemont-way-bundoora-vic-3083,485000,02-Jun-2014,1,1,-1,630,m2,House,https://www.domain.com.au/36-clovemont-way-bundoora-vic-3083-2011165214,,2-2.5-1.6,3,May/2014/485000.0/SOLD-Sep/2013/500000.0/SOLD-Aug/2011/494500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-linacre-drive-bundoora-vic-3083,540000,03-May-2014,1,1,-1,779,m2,House,https://www.domain.com.au/101-linacre-drive-bundoora-vic-3083-2011105668,,2.1-2.4-1.7,3,May/2014/540000.0/SOLD-Aug/2010/370000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/70-janefield-drive-bundoora-vic-3083,350000,19-Aug-2013,1,1,1,-1,None,House,https://www.domain.com.au/9-70-janefield-drive-bundoora-vic-3083-2010487468,,1.2-2.3-1.4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-maculata-grove-bundoora-vic-3083,437500,07-Jul-2013,1,1,-1,648,m2,House,https://www.domain.com.au/30-maculata-grove-bundoora-vic-3083-2010437911,,1.1-2.1-4,3,Jul/2013/437500.0/SOLD-Aug/2011/460000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-queens-gardens-bundoora-vic-3083,507500,27-Sep-2011,1,1,-1,-1,None,House,https://www.domain.com.au/121-queens-gardens-bundoora-vic-3083-2009261751,,2.2-2.3-1.7,3,Sep/2011/507500.0/SOLD-Jan/2010/425000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a-warrawee-drive-bundoora-vic-3083,279000,11-Apr-2011,1,1,-1,-1,None,House,https://www.domain.com.au/2a-warrawee-drive-bundoora-vic-3083-2008886656,Air conditioning-Built in wardrobes,0.8-1.1-0.8,3,Oct/2019/370000.0/SOLD-Jan/2018/330000.0/SOLD,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
