"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
11-cathedral-rise-doreen-vic-3754,410000,28-May-2015,1,1,-1,2204,m2,House,https://www.domain.com.au/11-cathedral-rise-doreen-vic-3754-2011936744,,1.3-1-1.8,3,Jan/2019/1210000.0/SOLD-May/2015/410000.0/SOLD-Mar/2013/365000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-bear-crescent-doreen-vic-3754,530000,04-Sep-2021,2,2,1,320,m2,House,https://www.domain.com.au/18-bear-crescent-doreen-vic-3754-2017216318,,0.7-1.7-1.6,3,Sep/2021/530000.0/SOLD-Jan/2011/125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-yellow-brick-road-doreen-vic-3754,425000,30-Aug-2021,2,1,2,195,m2,House,https://www.domain.com.au/32-yellow-brick-road-doreen-vic-3754-2017133491,Internal Laundry*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Close to shops and Transport,1.2-1.5-4.6,3,Aug/2021/425000.0/SOLD-Jan/2014/330.0/SOLD,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
30-sanctum-circuit-doreen-vic-3754,493000,23-Apr-2021,2,1,2,225,m2,House,https://www.domain.com.au/30-sanctum-circuit-doreen-vic-3754-2016929814,Evaporative Cooling-Ducted Heating-Remote Garage-Outdoor Entertainment Area,1-1.3-0.3,3,Apr/2021/493000.0/SOLD-Mar/2013/131900.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20-beltons-way-doreen-vic-3754,460000,04-Dec-2020,2,1,1,318,m2,House,https://www.domain.com.au/20-beltons-way-doreen-vic-3754-2016527011,,0.5-1.1-1.1,3,Nov/2020/460000.0/SOLD-May/2017/470000.0/SOLD-Aug/2013/310000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-soapstone-walk-doreen-vic-3754,470000,26-Nov-2020,2,1,1,187,m2,House,https://www.domain.com.au/6-soapstone-walk-doreen-vic-3754-2016661625,Built in wardrobes-Balcony / Deck-Dishwasher-Ducted Heating-Fully fenced-Outdoor Entertainment Area-Air conditioning,0.4-1.7-1.3,3,Nov/2020/470000.0/SOLD-Dec/2017/451000.0/SOLD-Sep/2014/125000.0/SOLD,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
4-flint-close-doreen-vic-3754,430000,14-Dec-2019,2,2,1,-1,None,House,https://www.domain.com.au/4-flint-close-doreen-vic-3754-2015842417,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Secure Parking-Study,0.4-1.7-1.3,3,Dec/2019/430000.0/SOLD-Aug/2017/170000.0/SOLD,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
101-sunstone-boulevard-doreen-vic-3754,445000,01-May-2019,2,1,1,-1,None,House,https://www.domain.com.au/101-sunstone-boulevard-doreen-vic-3754-2015184399,,0.5-2-1.5,3,May/2019/445000.0/SOLD-Mar/2017/170000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-rove-lane-doreen-vic-3754,420000,06-Feb-2019,2,1,2,189,m2,House,https://www.domain.com.au/10-rove-lane-doreen-vic-3754-2014649848,Dishwasher-Built in wardrobes-Fully fenced-Floorboards,0.9-1.1-0.7,3,Feb/2019/420000.0/SOLD-Mar/2012/125000.0/SOLD,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18-almorah-street-doreen-vic-3754,490000,02-Aug-2018,2,2,1,313,m2,House,https://www.domain.com.au/18-almorah-street-doreen-vic-3754-2014530282,,0.6-1-1.4,3,Aug/2018/490000.0/SOLD-Oct/2006/110000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-rove-lane-doreen-vic-3754,473500,11-May-2018,2,1,2,184,m2,House,https://www.domain.com.au/7-rove-lane-doreen-vic-3754-2014362784,Fully fenced,0.9-1.1-0.7,3,May/2018/473500.0/SOLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8-soapstone-walk-doreen-vic-3754,448000,01-Mar-2018,2,1,1,189,m2,House,https://www.domain.com.au/8-soapstone-walk-doreen-vic-3754-2014153349,Air conditioning-Dishwasher-Built in wardrobes-Fully fenced,0.4-1.7-1.3,3,Feb/2018/330.0/SOLD,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6-soapstone-walk-doreen-vic-3754,451000,02-Dec-2017,2,1,1,187,m2,House,https://www.domain.com.au/6-soapstone-walk-doreen-vic-3754-2013998747,Balcony / Deck-Dishwasher,0.4-1.7-1.3,3,Nov/2020/470000.0/SOLD-Dec/2017/451000.0/SOLD-Sep/2014/125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
47-burssi-circuit-doreen-vic-3754,391000,28-Aug-2017,2,1,1,161,m2,House,https://www.domain.com.au/47-burssi-circuit-doreen-vic-3754-2013804517,Air conditioning-Built in wardrobes-Close to schools-Close to transport-Secure Parking-Gas Ducted Heating,0.9-1.7-1,3,Aug/2017/375.0/SOLD-Apr/2014/391000.0/SOLD,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
45-burssi-circuit-doreen-vic-3754,350000,12-Apr-2017,2,1,1,-1,None,House,https://www.domain.com.au/45-burssi-circuit-doreen-vic-3754-2013439312,,0.9-1.7-1,3,Aug/2021/420000.0/SOLD-Mar/2017/350000.0/SOLD-Dec/2015/340000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-alphie-way-doreen-vic-3754,330000,11-Oct-2016,2,1,1,191,m2,House,https://www.domain.com.au/14-alphie-way-doreen-vic-3754-2012891408,,0.2-2.1-3.9,3,Oct/2016/330000.0/SOLD-Jun/2015/310000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-vitality-street-doreen-vic-3754,332000,05-Sep-2014,2,1,1,513,m2,House,https://www.domain.com.au/2-vitality-street-doreen-vic-3754-2011386315,,0.9-1.3-0.3,3,Sep/2014/332000.0/SOLD-Jun/2009/350.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180-charles-sturt-drive-doreen-vic-3754,750000,08-Mar-2014,2,1,-1,-1,None,House,https://www.domain.com.au/180-charles-sturt-drive-doreen-vic-3754-2010977089,Close to schools,1.4-3.6-2.7,3,Mar/2014/750000.0/SOLD-Nov/2007/1105000.0/SOLD-Feb/1993/400000.0/SOLD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54-lakeland-drive-doreen-vic-3754,338000,18-Feb-2014,2,2,2,-1,None,House,https://www.domain.com.au/54-lakeland-drive-doreen-vic-3754-2010987458,,0.4-1.1-1.5,3,Apr/2014/338000.0/SOLD-Jun/2008/149000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
