"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
10/1705-malvern-road-glen-iris-vic-3146,460000,20-Sep-2017,1,1,1,-1,None,House,https://www.domain.com.au/10-1705-malvern-road-glen-iris-vic-3146-2013801556,,0.9-2.3-7.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-station-avenue-glen-iris-vic-3146,1271000,29-Nov-2014,1,1,-1,-1,None,House,https://www.domain.com.au/15-station-avenue-glen-iris-vic-3146-2011569883,,0.6-2.3-9,3,Nov/2014/1271000.0/SOLD-Feb/1994/205000.0/SOLD-Jul/1993/187500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-celia-street-glen-iris-vic-3146,2200000,04-Dec-2021,2,1,2,650,m2,House,https://www.domain.com.au/15-celia-street-glen-iris-vic-3146-2017402469,,0.9-2.4-9.4,3,Dec/2021/2200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107-tooronga-road-glen-iris-vic-3146,1530000,13-Oct-2021,2,1,1,-1,None,House,https://www.domain.com.au/107-tooronga-road-glen-iris-vic-3146-2017296762,,0.9-2.5-7.3,3,Oct/2021/1530000.0/SOLD-Mar/2012/530.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2-victor-road-glen-iris-vic-3146,870000,20-Mar-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/2-2-victor-road-glen-iris-vic-3146-2016818024,,0.2-3.2-10.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-rosedale-road-glen-iris-vic-3146,1560000,28-Feb-2021,2,1,2,-1,None,House,https://www.domain.com.au/41-rosedale-road-glen-iris-vic-3146-2016883596,,0.6-2.8-10,3,Feb/2021/1560000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-nyora-road-glen-iris-vic-3146,1980000,12-Dec-2020,2,1,2,643,m2,House,https://www.domain.com.au/2-nyora-road-glen-iris-vic-3146-2016643532,,0.7-2.6-10.3,3,Dec/2020/1980000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5-7-osborne-avenue-glen-iris-vic-3146,850000,08-Dec-2020,2,2,2,-1,None,Villa,https://www.domain.com.au/2-5-7-osborne-avenue-glen-iris-vic-3146-2016616172,Internal Laundry*-Secure Parking*-Broadband internet access*-Bath*-Balcony / Deck*-Courtyard-Built in wardrobes-Dishwasher-Air conditioning-Gas Heating,1-2-7.8,3,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
3/31-yeovil-road-glen-iris-vic-3146,808000,06-Oct-2020,2,1,1,-1,None,Villa,https://www.domain.com.au/3-31-yeovil-road-glen-iris-vic-3146-2016361919,Air conditioning-Courtyard-Built in wardrobes-Dishwasher-Ducted Heating-Floorboards,0.5-2-9.1,3,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/30-scott-grove-glen-iris-vic-3146,765000,20-Jul-2020,2,1,1,-1,None,Villa,https://www.domain.com.au/4-30-scott-grove-glen-iris-vic-3146-2016354407,,1.4-1.9-7.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/73-glen-iris-road-glen-iris-vic-3146,828000,02-Jun-2020,2,1,2,-1,None,Villa,https://www.domain.com.au/1-73-glen-iris-road-glen-iris-vic-3146-2016264428,,0.8-2.5-9.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
