"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
10-church-street-keilor-vic-3036,662000,27-Oct-2020,1,1,-1,396,m2,House,https://www.domain.com.au/10-church-street-keilor-vic-3036-2016317339,,0.7-2.3-4.2,3,Oct/2017/300.0/SOLD-Sep/2015/1130000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24-kennedy-street-keilor-vic-3036,735000,01-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/2-24-kennedy-street-keilor-vic-3036-2016914021,,0.1-2.1-4.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-church-street-keilor-vic-3036,720000,23-May-2016,2,1,1,613,m2,House,https://www.domain.com.au/32-church-street-keilor-vic-3036-2012753754,,0.5-2-4.3,3,May/2016/720000.0/SOLD-Dec/2014/330.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-church-street-keilor-vic-3036,690000,11-Dec-2014,2,1,2,613,m2,House,https://www.domain.com.au/32-church-street-keilor-vic-3036-2011600111,,0.5-2-4.3,3,May/2016/720000.0/SOLD-Dec/2014/330.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-flora-street-keilor-vic-3036,1000000,21-Jul-2014,2,1,-1,-1,None,House,https://www.domain.com.au/80-flora-street-keilor-vic-3036-2010874528,,0.4-2.6-4.8,3,Jul/2014/1000000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-hopkins-avenue-keilor-vic-3036,849000,04-Dec-2021,3,2,1,-1,None,House,https://www.domain.com.au/11-hopkins-avenue-keilor-vic-3036-2017407456,Built in wardrobes*-Internal Laundry*-Bath*-Heating*,0.8-1.3-4.3,3,Dec/2021/849000.0/SOLD,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-campaspe-crescent-keilor-vic-3036,1235000,29-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/18-campaspe-crescent-keilor-vic-3036-2017398269,Air conditioning*-Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*-Balcony / Deck*,1.2-1.4-3.8,3,Dec/2021/1235000.0/SOLD-Jun/1988/145000.0/SOLD-Aug/1986/120000.0/SOLD,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
3-campaspe-crescent-keilor-vic-3036,1240000,23-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/3-campaspe-crescent-keilor-vic-3036-2017396181,Internal Laundry*-Secure Parking*-Heating*-Shed*-Solar panels*-Balcony / Deck*,1.2-1.6-3.7,3,Dec/2021/1240000.0/SOLD-Aug/1989/145000.0/SOLD,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
6-flemming-court-keilor-vic-3036,1066000,10-Nov-2021,3,2,3,656,m2,House,https://www.domain.com.au/6-flemming-court-keilor-vic-3036-2017323101,Pets Allowed*-Heating*-Ensuite,1-1.7-3.8,3,Mar/2021/930000.0/SOLD-Feb/2018/780000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42-patterson-avenue-keilor-vic-3036,1000000,06-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/42-patterson-avenue-keilor-vic-3036-2017357108,Secure Parking*-Bath*-Heating*-Study,1-1.3-4.1,3,Apr/2017/650000.0/SOLD-Jan/2012/420000.0/SOLD-Sep/1988/134000.0/SOLD,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
