"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
205/1-derby-street-kew-vic-3101,365000,23-May-2009,1,1,1,-1,None,House,https://www.domain.com.au/205-1-derby-street-kew-vic-3101-2007668994,Secure Parking,0.3-2.1-2.4,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105/1-derby-street-kew-vic-3101,345000,23-May-2009,1,1,1,-1,None,House,https://www.domain.com.au/105-1-derby-street-kew-vic-3101-2007668995,Secure Parking,0.3-2.1-2.4,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1-derby-street-kew-vic-3101,360000,20-May-2009,1,1,1,-1,None,House,https://www.domain.com.au/2-1-derby-street-kew-vic-3101-2007669385,Secure Parking,0.3-2.1-2.4,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104/1-derby-street-kew-vic-3101,375000,18-Apr-2009,1,1,1,-1,None,House,https://www.domain.com.au/104-1-derby-street-kew-vic-3101-2007669386,Secure Parking-Study,0.3-2.1-2.4,3,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106/1-derby-street-kew-vic-3101,365000,11-Apr-2009,1,1,1,-1,None,House,https://www.domain.com.au/106-1-derby-street-kew-vic-3101-2007669387,Secure Parking,0.3-2.1-2.4,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108/7-studley-park-road-kew-vic-3101,160000,23-Aug-2007,1,1,1,-1,None,House,https://www.domain.com.au/108-7-studley-park-road-kew-vic-3101-2006312319,Secure Parking,0.6-2-2.1,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96-edgevale-road-kew-vic-3101,1650000,24-Nov-2021,2,2,1,-1,None,House,https://www.domain.com.au/96-edgevale-road-kew-vic-3101-2017364606,,1.1-1.2-2.5,3,Nov/2021/1650000.0/SOLD-Oct/2015/1340000.0/SOLD-Apr/2007/800000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69a-derby-street-kew-vic-3101,1515000,06-Aug-2021,2,1,2,252,m2,House,https://www.domain.com.au/69a-derby-street-kew-vic-3101-2017128950,,0.5-2.3-6.6,3,Aug/2021/1515000.0/SOLD-Aug/2017/1187000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66-barnard-grove-kew-vic-3101,1135000,26-Jun-2021,2,1,1,-1,None,House,https://www.domain.com.au/66-barnard-grove-kew-vic-3101-2016994842,,1.4-2.6-6.4,3,Jun/2021/1135000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12-edgevale-road-kew-vic-3101,741000,17-Apr-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/3-12-edgevale-road-kew-vic-3101-2016885416,Air conditioning*-Gas*-Internal Laundry*-Bath*-Garden*,0.9-0.9-2.6,3,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/283-barkers-road-kew-vic-3101,1000000,12-Apr-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/3-283-barkers-road-kew-vic-3101-2016837681,Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Intercom*-Bath*-Garden*-Balcony / Deck*,0.9-0.9-2.6,3,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
61-gladstone-street-kew-vic-3101,1370000,20-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/61-gladstone-street-kew-vic-3101-2016823963,,0.8-1.9-6.3,3,Mar/2021/1370000.0/SOLD-Feb/2013/782500.0/SOLD-May/2004/450000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-brougham-street-kew-vic-3101,1376000,18-Feb-2021,2,1,2,350,m2,House,https://www.domain.com.au/59-brougham-street-kew-vic-3101-2016760797,Secure Parking*-Garden*,0.2-2.3-2.5,3,Feb/2021/1376000.0/SOLD-Dec/1990/420.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-gladstone-street-kew-vic-3101,1367500,13-Feb-2021,2,1,2,306,m2,House,https://www.domain.com.au/15-gladstone-street-kew-vic-3101-2016740133,Air conditioning*-Built in wardrobes*-Secure Parking*-Heating*-Garden*,0.7-2-6.5,3,Feb/2021/675.0/SOLD-Nov/2013/1367500.0/SOLD,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60-malmsbury-street-kew-vic-3101,1240000,13-Jan-2021,2,1,1,-1,None,House,https://www.domain.com.au/60-malmsbury-street-kew-vic-3101-2016783865,,0.3-2.3-2.4,3,Jan/2021/1240000.0/SOLD-Oct/2015/1010000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-younger-court-kew-vic-3101,1001000,05-Dec-2020,2,1,1,-1,None,House,https://www.domain.com.au/9-younger-court-kew-vic-3101-2016619654,Built in wardrobes*-Internal Laundry*-Fireplace(s)*-Garden*,1.3-1.6-1.8,3,Dec/2020/1000999.9999999999/SOLD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12-derrick-street-kew-vic-3101,1640000,21-Nov-2020,2,2,2,340,m2,House,https://www.domain.com.au/12-derrick-street-kew-vic-3101-2016577813,,0.2-2-2.5,3,Nov/2020/1640000.0/SOLD-Mar/1986/65000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206-wiltshire-drive-kew-vic-3101,1470000,20-Aug-2020,2,2,2,-1,None,House,https://www.domain.com.au/206-wiltshire-drive-kew-vic-3101-2016360904,,1.4-3.1-3.3,3,Aug/2020/1470000.0/SOLD-Nov/2015/985000.0/SOLD-Sep/2010/712000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1295-burke-road-kew-vic-3101,960000,31-Jul-2020,2,1,1,265,m2,House,https://www.domain.com.au/4-1295-burke-road-kew-vic-3101-2016382829,,0.5-1.1-5.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-disraeli-street-kew-vic-3101,1350000,26-May-2020,2,1,1,355,m2,House,https://www.domain.com.au/102-disraeli-street-kew-vic-3101-2016240590,,0.7-1.8-6.2,3,May/2020/620.0/SOLD-Mar/2017/1350000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-may-street-kew-vic-3101,1542000,14-Dec-2019,2,1,2,230,m2,House,https://www.domain.com.au/39-may-street-kew-vic-3101-2015883096,,1.1-1.3-2.4,3,Dec/2019/1542000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/186-brougham-street-kew-vic-3101,1070000,14-Dec-2019,2,1,1,-1,None,House,https://www.domain.com.au/1-186-brougham-street-kew-vic-3101-2015891173,Study,0.9-2.6-6.6,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-annadale-street-kew-vic-3101,1250000,30-Nov-2019,2,2,2,-1,None,House,https://www.domain.com.au/15-annadale-street-kew-vic-3101-2015836668,,1.2-1.5-2.3,3,Nov/2019/1250000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34-may-street-kew-vic-3101,1550000,26-Oct-2019,2,1,1,-1,None,House,https://www.domain.com.au/34-may-street-kew-vic-3101-2015673632,,1.1-1.3-2.4,3,Oct/2019/1550000.0/SOLD-Feb/2003/512500.0/SOLD-Apr/1997/278000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
