"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
50-arthur-phillip-way-mill-park-vic-3082,601250,19-Dec-2020,1,1,-1,652,m2,House,https://www.domain.com.au/50-arthur-phillip-way-mill-park-vic-3082-2016662663,Garden*,0.3-1.2-3.1,3,Dec/2020/601250.0/SOLD-Feb/1988/38500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2-kardella-close-mill-park-vic-3082,489000,11-Feb-2019,1,1,-1,673,m2,House,https://www.domain.com.au/2-kardella-close-mill-park-vic-3082-2014679004,,0.4-1.1-3.3,3,Feb/2019/489000.0/SOLD-Aug/1989/121900.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-sharp-circuit-mill-park-vic-3082,511000,22-Nov-2021,2,2,1,-1,None,House,https://www.domain.com.au/28-sharp-circuit-mill-park-vic-3082-2017320408,Secure Parking*-Heating*-Study*,1.3-1.9-6,3,Nov/2021/511000.0/SOLD,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22-romeo-court-mill-park-vic-3082,635000,13-Nov-2021,2,1,1,517,m2,House,https://www.domain.com.au/2-22-romeo-court-mill-park-vic-3082-2017342428,Heating*-Air conditioning-Built in wardrobes-Internal Laundry-Pets Allowed-Dishwasher-Secure Parking-Shed-Fully fenced-Garden / Courtyard,1.1-1.6-5.1,3,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1/9-mayfield-drive-mill-park-vic-3082,590000,30-Oct-2021,2,1,1,318,m2,House,https://www.domain.com.au/1-9-mayfield-drive-mill-park-vic-3082-2017304510,Heating*-Air conditioning-Built in wardrobes-Internal Laundry-Secure Parking-Fully fenced-Garden / Courtyard,0.3-1.3-4.8,3,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1/2-comeram-court-mill-park-vic-3082,672000,17-Oct-2021,2,1,1,332,m2,House,https://www.domain.com.au/1-2-comeram-court-mill-park-vic-3082-2017272741,Built in wardrobes*-Heating*-Floorboards-Internal Laundry-Secure Parking-Fully fenced-Garden / Courtyard,0.7-1-3.9,3,,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
85-pindari-avenue-mill-park-vic-3082,620000,10-Oct-2021,2,1,1,268,m2,House,https://www.domain.com.au/85-pindari-avenue-mill-park-vic-3082-2017256720,Secure Parking*-Heating*,0.1-1.3-3.4,3,Oct/2021/620000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34-sharp-circuit-mill-park-vic-3082,453000,26-Jul-2021,2,2,1,-1,None,House,https://www.domain.com.au/34-sharp-circuit-mill-park-vic-3082-2016984915,Gas*-Heating*-Dishwasher*-Garden*-Air conditioning-Built in wardrobes-Secure Parking,1.4-1.9-5.9,3,Jun/2021/453000.0/SOLD-Apr/2016/459990.0/SOLD,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21-manning-clark-road-mill-park-vic-3082,530000,17-Jul-2021,2,1,2,225,m2,House,https://www.domain.com.au/21-manning-clark-road-mill-park-vic-3082-2017101394,Internal Laundry*-Secure Parking*-Bath*-Garden*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Window Treatments,0.6-1.3-4,3,Jul/2021/530000.0/SOLD,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
2/79-woolnough-drive-mill-park-vic-3082,460000,22-May-2021,2,1,1,190,m2,House,https://www.domain.com.au/2-79-woolnough-drive-mill-park-vic-3082-2016968860,Built in wardrobes*-Secure Parking*-Heating*-Garden*,0.7-0.8-2.6,3,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/3-scullin-court-mill-park-vic-3082,530000,10-May-2021,2,2,1,147,m2,House,https://www.domain.com.au/2-3-scullin-court-mill-park-vic-3082-2016905678,Secure Parking*-Heating*-Garden*,0.9-1.3-5,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2a-pickworth-drive-mill-park-vic-3082,530000,21-Apr-2021,2,1,4,-1,None,House,https://www.domain.com.au/2a-pickworth-drive-mill-park-vic-3082-2016918815,Heating*-Secure Parking,0.6-1-2.8,3,Apr/2021/530000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/38-moorhead-drive-mill-park-vic-3082,480000,26-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/4-38-moorhead-drive-mill-park-vic-3082-2016833091,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*-Solar panels*-Ensuite,0.2-1.1-4.1,3,,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18-packard-course-mill-park-vic-3082,555000,19-Dec-2020,2,1,1,343,m2,House,https://www.domain.com.au/18-packard-course-mill-park-vic-3082-2016671817,Secure Parking*-Heating*,0.9-1.2-4.6,3,Dec/2020/555000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
