"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
5-hodgson-terrace-richmond-vic-3121,818000,04-Dec-2021,1,1,-1,-1,None,House,https://www.domain.com.au/5-hodgson-terrace-richmond-vic-3121-2017399573,,0.5-0.5-0.7,3,Dec/2021/818000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-rose-street-richmond-vic-3121,1005000,24-Apr-2021,1,1,1,-1,None,House,https://www.domain.com.au/27-rose-street-richmond-vic-3121-2016895458,,0.3-1.2-1.2,3,Apr/2021/1004999.9999999999/SOLD-Jul/2013/675000.0/SOLD-May/2007/487000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-10-allans-place-richmond-vic-3121,1800000,27-Mar-2021,1,1,-1,270,m2,House,https://www.domain.com.au/8-10-allans-place-richmond-vic-3121-2016840426,,0.2-0.3-0.4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-bunting-street-richmond-vic-3121,866750,13-Nov-2020,1,1,-1,-1,None,House,https://www.domain.com.au/33-bunting-street-richmond-vic-3121-2016606444,,0.5-0.9-1,3,Nov/2020/866750.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-hodgson-terrace-richmond-vic-3121,735000,03-Aug-2019,1,1,-1,-1,None,House,https://www.domain.com.au/3-hodgson-terrace-richmond-vic-3121-2015431261,,0.5-0.5-0.7,3,Aug/2019/735000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-gipps-street-richmond-vic-3121,1117000,14-Jul-2018,1,1,-1,121,m2,House,https://www.domain.com.au/17-gipps-street-richmond-vic-3121-2014449760,,0.8-0.9-0.9,3,Jun/2021/1300000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54-elizabeth-street-richmond-vic-3121,890000,16-Jun-2018,1,1,1,-1,None,House,https://www.domain.com.au/54-elizabeth-street-richmond-vic-3121-2014410014,,0.3-1-1,3,Jun/2018/890000.0/SOLD-Nov/1985/50000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-grattan-place-richmond-vic-3121,983000,23-Mar-2018,1,1,-1,-1,None,House,https://www.domain.com.au/11-grattan-place-richmond-vic-3121-2014207013,,0.9-1.1-1.2,3,Mar/2018/983000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-moore-street-richmond-vic-3121,911000,29-Apr-2017,1,1,-1,-1,None,House,https://www.domain.com.au/2-moore-street-richmond-vic-3121-2013505842,,0.5-0.9-1.2,3,Apr/2017/911000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-north-street-richmond-vic-3121,981000,18-Feb-2017,1,1,-1,-1,None,House,https://www.domain.com.au/20-north-street-richmond-vic-3121-2013294996,,0.3-0.7-0.7,3,May/2021/1355000.0/SOLD-Feb/2017/981000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
