"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
407/64-66-sahi-crescent-roxburgh-park-vic-3064,245000,28-Nov-2016,1,1,-1,-1,None,House,https://www.domain.com.au/407-64-66-sahi-crescent-roxburgh-park-vic-3064-2013223202,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Terrace-Balcony-Heating,0.5-0.9-1.6,3,,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
6-harvest-walk-roxburgh-park-vic-3064,250000,08-Mar-2014,1,1,1,-1,None,House,https://www.domain.com.au/6-harvest-walk-roxburgh-park-vic-3064-2010652035,Formal Lounge-Study,1-1-0.7,3,Feb/2014/250000.0/SOLD-Jan/2007/264000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-crestview-close-roxburgh-park-vic-3064,371000,10-Oct-2019,2,1,1,-1,None,House,https://www.domain.com.au/5-crestview-close-roxburgh-park-vic-3064-2015602551,Air conditioning-Secure Parking-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden,0.3-1.1-1.9,3,Sep/2019/371000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
303/64-sahi-crescent-roxburgh-park-vic-3064,335000,12-Jun-2019,2,1,1,-1,None,House,https://www.domain.com.au/303-64-sahi-crescent-roxburgh-park-vic-3064-2014981145,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Secure Parking,0.5-0.9-1.6,3,,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
34-lakeside-drive-roxburgh-park-vic-3064,370000,18-Jan-2019,2,1,1,-1,None,House,https://www.domain.com.au/34-lakeside-drive-roxburgh-park-vic-3064-2014780461,Built in wardrobes-Ducted Heating-Evaporative Cooling-Outdoor Entertainment-Fully fenced,0.6-0.8-0.4,3,Jan/2019/370000.0/SOLD-Nov/2012/255000.0/SOLD,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
309/64---66-sahi-crescent-roxburgh-park-vic-3064,335000,01-Jan-2019,2,1,1,-1,None,House,https://www.domain.com.au/309-64-66-sahi-crescent-roxburgh-park-vic-3064-2014640258,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Secure Parking-Terrace-Balcony,0.5-0.9-1.6,3,,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
105/64-sahi-crescent-roxburgh-park-vic-3064,352500,09-Nov-2018,2,1,1,-1,None,House,https://www.domain.com.au/105-64-sahi-crescent-roxburgh-park-vic-3064-2014465178,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Secure Parking-Formal Lounge-Terrace-Balcony,0.5-0.9-1.6,3,,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
1-portland-place-roxburgh-park-vic-3064,383000,18-Jun-2018,2,1,1,-1,None,House,https://www.domain.com.au/1-portland-place-roxburgh-park-vic-3064-2014397575,,0.6-0.9-0.4,3,Jun/2018/383000.0/SOLD-Jun/2007/205000.0/SOLD-Dec/2004/267500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8-knight-crescent-roxburgh-park-vic-3064,408000,04-Jun-2018,2,1,1,-1,None,House,https://www.domain.com.au/5-8-knight-crescent-roxburgh-park-vic-3064-2014367763,,0.6-1-1.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26-mckinley-drive-roxburgh-park-vic-3064,375000,14-May-2018,2,1,1,-1,None,House,https://www.domain.com.au/1-26-mckinley-drive-roxburgh-park-vic-3064-2014345756,,0.1-0.5-1.3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
