address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
197a-parer-road-airport-west-vic-3042,695000,08-Nov-2021,2,1,2,313,m2,House,https://www.domain.com.au/197a-parer-road-airport-west-vic-3042-2017392272,,1.2-1.1-2.5,3,Nov/2021/695000.0/SOLD-Aug/2009/380000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78-bowes-avenue-airport-west-vic-3042,1099000,11-Sep-2021,2,1,1,696,m2,House,https://www.domain.com.au/78-bowes-avenue-airport-west-vic-3042-2017215776,Gas*-Internal Laundry*-Secure Parking*-Dishwasher*-Shed*-Garden*,0.7-2.4-0.6,3,Sep/2021/1099000.0/SOLD,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2/15-south-road-airport-west-vic-3042,636000,10-Jul-2021,2,1,1,156,m2,House,https://www.domain.com.au/2-15-south-road-airport-west-vic-3042-2017077055,Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*,0.9-0.8-2.5,3,,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139-victory-road-airport-west-vic-3042,955000,05-Jun-2021,2,1,3,613,m2,House,https://www.domain.com.au/139-victory-road-airport-west-vic-3042-2016995157,Internal Laundry*-Secure Parking*-Fireplace(s)*-Garden*,1.5-3.1-0.8,3,Jun/2021/955000.0/SOLD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5/180-parer-road-airport-west-vic-3042,570000,13-Mar-2021,2,1,1,128,m2,House,https://www.domain.com.au/5-180-parer-road-airport-west-vic-3042-2016809630,Built in wardrobes*-Internal Laundry*-Heating*-Dishwasher*-Garden*,1.4-1.3-2.9,3,,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25-matthews-ave-airport-west-vic-3042,685000,26-Feb-2021,2,1,1,270,m2,House,https://www.domain.com.au/25-matthews-ave-airport-west-vic-3042-2016669261,Outdoor Entertainment Area-Courtyard-Secure Parking-Deck-Alarm-Shed-Fully fenced-Cable or Satellite-Open Fire Place-Broadband Connection-Dishwasher-Floorboards-Built in wardrobes-Air conditioning-Split System Air Conditioning-Ducted Heating-Evaporative Cooling,1-2.2-1.1,3,,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
68-marshall-road-airport-west-vic-3042,680000,05-Aug-2020,2,1,1,211,m2,House,https://www.domain.com.au/68-marshall-road-airport-west-vic-3042-2016374687,,1.7-3.4-1,3,Aug/2020/680000.0/SOLD-Oct/2018/620000.0/SOLD-Aug/2012/470000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-hart-street-airport-west-vic-3042,880000,23-Jul-2020,2,1,3,697,m2,House,https://www.domain.com.au/25-hart-street-airport-west-vic-3042-2016328150,,0.8-2.4-0.8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-mcnamara-avenue-airport-west-vic-3042,580500,01-Apr-2020,2,1,1,255,m2,House,https://www.domain.com.au/145-mcnamara-avenue-airport-west-vic-3042-2016119289,Secure Parking-Fully fenced-Open Spaces-Split System AirCon-Built in wardrobes-Ducted Heating-Alarm System,1.3-3-0.6,3,Mar/2020/580500.0/SOLD,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
78-mcnamara-avenue-airport-west-vic-3042,797000,22-Feb-2020,2,1,1,563,m2,House,https://www.domain.com.au/78-mcnamara-avenue-airport-west-vic-3042-2016035065,,1.1-2.8-0.4,3,Feb/2020/797000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
