address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
12-canterbury-road-albert-park-vic-3206,2373000,22-May-2021,2,1,2,277,m2,House,https://www.domain.com.au/12-canterbury-road-albert-park-vic-3206-2016968760,,0.5-1.1-1.7,3,May/2021/2373000.0/SOLD-Oct/1995/325000.0/SOLD-Dec/1993/109000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66-richardson-street-albert-park-vic-3206,1890000,13-Dec-2020,2,1,1,182,m2,House,https://www.domain.com.au/66-richardson-street-albert-park-vic-3206-2016547362,Air conditioning-Floorboards-Built in wardrobes-Pets Allowed-Bath-Heating-Dishwasher-Study-Secure Parking-Garden / Courtyard-Double glazed windows,0.3-0.3-1,3,Dec/2020/1890000.0/SOLD-Mar/2014/1230000.0/SOLD,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58-o'grady-street-albert-park-vic-3206,1500000,18-Mar-2017,2,1,1,145,m2,House,https://www.domain.com.au/58-o-grady-street-albert-park-vic-3206-2013411434,,0.1-0.5-1.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-little-page-street-albert-park-vic-3206,2572000,26-Nov-2016,2,2,2,190,m2,House,https://www.domain.com.au/33-little-page-street-albert-park-vic-3206-2013176719,,0.5-0.6-1.5,3,Nov/2016/2572000.0/SOLD-Oct/1982/40000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-greig-street-albert-park-vic-3206,1320000,10-Oct-2015,2,1,1,165,m2,House,https://www.domain.com.au/36-greig-street-albert-park-vic-3206-2012253722,,0.3-0.4-0.8,3,Oct/2015/750.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-danks-street-albert-park-vic-3206,1060000,21-Feb-2015,2,1,1,140,m2,House,https://www.domain.com.au/26-danks-street-albert-park-vic-3206-2011727743,,0.2-0.7-0.9,3,Jan/2020/2200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-hambleton-street-albert-park-vic-3206,1481000,10-May-2014,2,1,1,184,m2,House,https://www.domain.com.au/3-hambleton-street-albert-park-vic-3206-2011101517,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Floorboards-Security Alarm-Secure Parking,0.3-0.8-1.6,3,May/2014/1481000.0/SOLD-May/2010/1300000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
21-faussett-street-albert-park-vic-3206,1233000,21-Sep-2013,2,1,1,180,m2,House,https://www.domain.com.au/21-faussett-street-albert-park-vic-3206-2010661494,Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Floorboards-Secure Parking,0.3-0.8-1.3,3,Sep/2013/680.0/SOLD-Feb/1988/1233000.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
34-greig-street-albert-park-vic-3206,1150000,17-Sep-2011,2,1,1,162,m2,House,https://www.domain.com.au/34-greig-street-albert-park-vic-3206-2009223633,,0.3-0.4-0.8,3,Apr/2014/1810000.0/SOLD-Dec/2011/1150000.0/SOLD-Mar/2002/545000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-mills-street-albert-park-vic-3206,2670000,07-Jul-2021,3,1,1,290,m2,House,https://www.domain.com.au/5-mills-street-albert-park-vic-3206-2016981119,,0.4-1.1-1.8,3,Jul/2021/2670000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-merton-place-albert-park-vic-3206,2525000,05-Jun-2021,3,1,1,232,m2,House,https://www.domain.com.au/2-merton-place-albert-park-vic-3206-2017005946,,0.4-0.6-1.4,3,Jun/2021/2525000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62-st-vincent-street-albert-park-vic-3206,2075000,03-Jun-2021,3,2,1,180,m2,House,https://www.domain.com.au/62-st-vincent-street-albert-park-vic-3206-2016998704,,0.4-0.4-0.7,3,May/2021/2075000.0000000002/SOLD-May/1997/393000.0/SOLD-Mar/1986/190000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-richardson-street-albert-park-vic-3206,1885000,28-Nov-2020,3,1,1,195,m2,House,https://www.domain.com.au/40-richardson-street-albert-park-vic-3206-2016595015,,0.2-0.3-1,3,Nov/2020/1885000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-st-vincent-street-albert-park-vic-3206,2375000,20-May-2020,3,2,1,135,m2,House,https://www.domain.com.au/50-st-vincent-street-albert-park-vic-3206-2016200450,Air conditioning-Heating-Area Views-Close to transport-Close to shops-Close to schools-Ensuite-City Views,0.3-0.4-0.7,3,May/2020/2375000.0/SOLD-Dec/2016/1650000.0/SOLD,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4-greig-street-albert-park-vic-3206,1710000,02-Apr-2020,3,1,1,164,m2,House,https://www.domain.com.au/4-greig-street-albert-park-vic-3206-2016193706,,0.2-0.5-0.9,3,Apr/2020/1710000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119-ashworth-street-albert-park-vic-3206,7250000,11-Dec-2019,3,2,2,703,m2,House,https://www.domain.com.au/119-ashworth-street-albert-park-vic-3206-2015877324,,0.3-0.9-1.8,3,Jun/2021/6700000.0/SOLD-Dec/2019/7250000.0/SOLD-Jun/2006/2625000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-ashworth-street-albert-park-vic-3206,2200000,26-Oct-2019,3,2,2,253,m2,House,https://www.domain.com.au/33-ashworth-street-albert-park-vic-3206-2015712859,,0.5-0.7-1.5,3,Oct/2019/2200000.0/SOLD-Feb/2014/1550000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67-kerferd-road-albert-park-vic-3206,2271000,17-Aug-2019,3,2,1,216,m2,House,https://www.domain.com.au/67-kerferd-road-albert-park-vic-3206-2015471688,,0.4-0.8-1.6,3,Aug/2019/1200.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-st-vincent-street-albert-park-vic-3206,2500000,03-Nov-2017,3,2,1,167,m2,House,https://www.domain.com.au/35-st-vincent-street-albert-park-vic-3206-2013951322,Study,0.2-0.5-0.8,3,Nov/2017/2500000.0/SOLD-Nov/2012/1430000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48-kerferd-road-albert-park-vic-3206,2120000,03-Jun-2017,3,1,2,225,m2,House,https://www.domain.com.au/48-kerferd-road-albert-park-vic-3206-2013576531,,0.4-0.8-1.5,3,Mar/2015/1600000.0/SOLD-Apr/2014/1475000.0/SOLD-Sep/2012/1205000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-kerferd-road-albert-park-vic-3206,2150000,02-May-2017,3,1,1,270,m2,House,https://www.domain.com.au/50-kerferd-road-albert-park-vic-3206-2013481205,,0.4-0.8-1.5,3,Apr/2021/6300000.0/SOLD-May/2017/2150000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-st-vincent-street-albert-park-vic-3206,1650000,12-Dec-2016,3,2,1,137,m2,House,https://www.domain.com.au/50-st-vincent-street-albert-park-vic-3206-2013214110,Built in wardrobes-Close to schools-Close to shops-Close to transport-Secure Parking-Terrace-Balcony-Basement Storage,0.3-0.5-0.7,3,May/2020/2375000.0/SOLD-Dec/2016/1650000.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
43-moubray-street-albert-park-vic-3206,1925000,14-Nov-2016,3,1,1,184,m2,House,https://www.domain.com.au/43-moubray-street-albert-park-vic-3206-2013059673,,0.2-0.5-1.2,3,Oct/2018/2080000.0/SOLD-Nov/2016/1925000.0/SOLD-Dec/2013/1450000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74-mills-street-albert-park-vic-3206,1510000,09-Aug-2016,3,2,1,203,m2,House,https://www.domain.com.au/74-mills-street-albert-park-vic-3206-2012878731,,0.1-0.9-1.8,3,Feb/2021/3500000.0/SOLD-Aug/2017/1825000.0/SOLD-Jul/2016/1510000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380-montague-street-albert-park-vic-3206,3475000,06-Dec-2014,3,1,8,302,m2,House,https://www.domain.com.au/380-montague-street-albert-park-vic-3206-2011580027,Close to schools-Close to shops-Close to transport-Fireplace(s)-Secure Parking,0.4-0.8-1.4,3,Mar/2015/3475000.0/SOLD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
19-greig-street-albert-park-vic-3206,2200000,30-Oct-2014,3,2,1,160,m2,House,https://www.domain.com.au/19-greig-street-albert-park-vic-3206-2011454311,,0.2-0.4-0.9,3,Sep/2017/2750000.0/SOLD-Oct/2014/2200000.0/SOLD-Nov/2013/1215000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-ashworth-street-albert-park-vic-3206,1550000,22-Feb-2014,3,2,2,250,m2,House,https://www.domain.com.au/33-ashworth-street-albert-park-vic-3206-2010917742,,0.5-0.7-1.5,3,Oct/2019/2200000.0/SOLD-Feb/2014/1550000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-moubray-street-albert-park-vic-3206,9175000,04-Dec-2021,4,2,1,360,m2,House,https://www.domain.com.au/20-moubray-street-albert-park-vic-3206-2017400529,,0.2-0.5-0.9,3,Dec/2021/9175000.0/SOLD-Apr/2016/3650000.0/SOLD-Mar/1980/93000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
