address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
40-yarraford-avenue-alphington-vic-3078,Alphington,2251000,27-Nov-2021,2,1,1,590,m2,House,https://www.domain.com.au/40-yarraford-avenue-alphington-vic-3078-2017372950,Built in wardrobes-Heating-Fireplace(s)-Shed,0.6-3-3.8,3,Nov/2021/2251000.0/SOLD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2-fulham-road-alphington-vic-3078,Alphington,1160000,23-Oct-2021,2,2,2,214,m2,House,https://www.domain.com.au/1-2-fulham-road-alphington-vic-3078-2017279138,,0.6-2.7-3.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89-yarralea-street-alphington-vic-3078,Alphington,1270000,28-Apr-2018,2,1,2,585,m2,House,https://www.domain.com.au/89-yarralea-street-alphington-vic-3078-2014296381,,0.4-2.7-4.3,3,Apr/2018/1270000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-fulham-road-alphington-vic-3078,Alphington,1675000,01-Apr-2017,2,1,1,607,m2,House,https://www.domain.com.au/55-fulham-road-alphington-vic-3078-2013436980,,0.5-2.3-3.7,3,Apr/2017/1675000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34-bennett-street-alphington-vic-3078,Alphington,1630000,09-Apr-2016,2,1,4,571,m2,House,https://www.domain.com.au/34-bennett-street-alphington-vic-3078-2012668085,,1.2-1.9-4,3,Apr/2016/430.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52-naroon-road-alphington-vic-3078,Alphington,1455000,09-Aug-2014,2,2,2,764,m2,House,https://www.domain.com.au/52-naroon-road-alphington-vic-3078-2011312017,,0.8-2.1-3.9,3,Aug/2014/1455000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53-shiers-street-alphington-vic-3078,Alphington,1000000,09-Nov-2013,2,1,1,594,m2,House,https://www.domain.com.au/53-shiers-street-alphington-vic-3078-2010768392,,1.2-1.7-3.9,3,Nov/2013/1000000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-view-street-alphington-vic-3078,Alphington,2135000,13-Oct-2021,3,1,3,670,m2,House,https://www.domain.com.au/24-view-street-alphington-vic-3078-2017306237,,0.1-3.1-4.4,3,Oct/2021/2135000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-ross-street-alphington-vic-3078,Alphington,1753000,30-Jul-2020,3,2,2,579,m2,House,https://www.domain.com.au/19-ross-street-alphington-vic-3078-2016356113,,1-1.7-3.7,3,Jul/2020/1753000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-grange-road-alphington-vic-3078,Alphington,1725000,28-Nov-2019,3,1,2,809,m2,House,https://www.domain.com.au/26-grange-road-alphington-vic-3078-2015849038,,0.5-2.6-3.8,3,Nov/2019/1725000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
