address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
139-blyth-street-altona-vic-3018,Altona,1078000,17-Nov-2021,2,1,1,488,m2,House,https://www.domain.com.au/139-blyth-street-altona-vic-3018-2017371851,Air conditioning*-Heating*,0.5-0.8-10.5,3,Nov/2021/1078000.0/SOLD-Nov/2015/620000.0/SOLD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-maidstone-street-altona-vic-3018,Altona,1365000,30-Sep-2021,2,1,3,743,m2,House,https://www.domain.com.au/7-maidstone-street-altona-vic-3018-2017281595,Secure Parking*-Shed*,1-1.3-11,3,Sep/2021/1365000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184-blyth-street-altona-vic-3018,Altona,1305000,27-Jul-2021,2,1,2,738,m2,House,https://www.domain.com.au/184-blyth-street-altona-vic-3018-2017097189,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*,0.9-1.1-10.7,3,Jun/2021/1305000.0/SOLD,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168-blyth-street-altona-vic-3018,Altona,1650000,17-Jul-2021,2,1,4,696,m2,House,https://www.domain.com.au/168-blyth-street-altona-vic-3018-2017079236,,0.8-1-10.7,3,Jul/2021/1650000.0/SOLD-Jun/2019/1014999.9999999999/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262-queen-street-altona-vic-3018,Altona,1200000,21-Jun-2021,2,1,4,644,m2,House,https://www.domain.com.au/262-queen-street-altona-vic-3018-2017022697,Garden*,1.1-1.4-11.1,3,Jun/2021/1200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-merritt-court-altona-vic-3018,Altona,960000,17-Jun-2021,2,1,3,602,m2,House,https://www.domain.com.au/15-merritt-court-altona-vic-3018-2017038060,,0.4-9.3-1.2,3,Jun/2021/960000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-correa-street-altona-vic-3018,Altona,1030000,17-Apr-2021,2,2,2,386,m2,House,https://www.domain.com.au/4-correa-street-altona-vic-3018-2016873177,,0.6-1.2-10.8,3,Apr/2021/1030000.0/SOLD-May/2020/870000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-davies-street-altona-vic-3018,Altona,750000,09-Jul-2020,2,1,2,218,m2,Villa,https://www.domain.com.au/30-davies-street-altona-vic-3018-2016298304,,0.7-1.6-9.9,3,Jul/2020/750000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-correa-street-altona-vic-3018,Altona,870000,18-May-2020,2,2,2,386,m2,House,https://www.domain.com.au/4-correa-street-altona-vic-3018-2016128683,,0.6-1.2-10.8,3,Apr/2021/1030000.0/SOLD-May/2020/870000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-galvin-street-altona-vic-3018,Altona,575000,03-Jan-2020,2,1,2,323,m2,House,https://www.domain.com.au/36-galvin-street-altona-vic-3018-2014722820,Heating-Close to transport-Close to shops-Close to schools-Toilet Facilities,0.6-9.9-1.3,3,Dec/2019/575000.0/SOLD-Feb/1998/92000.0/SOLD,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30-curlew-avenue-altona-vic-3018,Altona,648000,13-Dec-2019,2,1,2,362,m2,House,https://www.domain.com.au/30-curlew-avenue-altona-vic-3018-2015899786,,0.9-10.5-1,3,Dec/2019/380.0/SOLD-Mar/1996/648000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168-blyth-street-altona-vic-3018,Altona,1015000,09-Aug-2019,2,1,8,660,m2,House,https://www.domain.com.au/168-blyth-street-altona-vic-3018-2014698131,Air conditioning-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Separate Dining,0.8-1-10.7,3,Jul/2021/1650000.0/SOLD-Jun/2019/1014999.9999999999/SOLD,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
124-blyth-street-altona-vic-3018,Altona,862500,07-Aug-2019,2,1,1,752,m2,House,https://www.domain.com.au/124-blyth-street-altona-vic-3018-2015149748,,0.3-0.9-10.4,3,Aug/2019/862500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-curlew-avenue-altona-vic-3018,Altona,930000,26-Jun-2019,2,1,3,700,m2,House,https://www.domain.com.au/7-curlew-avenue-altona-vic-3018-2015143983,Secure Parking-Built in wardrobes,1-10.7-1.1,3,Jul/2019/340.0/SOLD,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206-civic-parade-altona-vic-3018,Altona,633000,20-May-2019,2,1,2,453,m2,House,https://www.domain.com.au/206-civic-parade-altona-vic-3018-2015006109,,0.4-9.8-0.5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-civic-parade-altona-vic-3018,Altona,805000,19-Jul-2018,2,1,1,604,m2,House,https://www.domain.com.au/85-civic-parade-altona-vic-3018-2014452359,,0.5-1.6-9.6,3,Jul/2018/805000.0/SOLD-Jun/1997/260.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81-queen-street-altona-vic-3018,Altona,808000,09-Apr-2018,2,1,2,371,m2,House,https://www.domain.com.au/81-queen-street-altona-vic-3018-2014143370,,0.8-1.8-10.2,3,Mar/2018/808000.0/SOLD-May/2002/310000.0/SOLD-Jan/1997/90000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-bracken-grove-altona-vic-3018,Altona,1060000,02-Jan-2018,2,1,2,697,m2,House,https://www.domain.com.au/17-bracken-grove-altona-vic-3018-2013664147,Air conditioning-Close to schools-Close to shops-Garden-Floorboards-Formal Lounge-Separate Dining-North facing rear yard,0.7-1-10.7,3,Oct/2021/2412000.0/SOLD-Oct/2017/1060000.0/SOLD-Jun/1999/186000.0/SOLD,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
26-belmar-avenue-altona-vic-3018,Altona,850000,30-Nov-2017,2,1,2,615,m2,House,https://www.domain.com.au/26-belmar-avenue-altona-vic-3018-2013986365,Close to schools-Close to shops-Close to transport-Garden-Secure Parking,0.2-9.5-1,3,Jan/2020/890000.0/SOLD-Nov/2017/850000.0/SOLD-Jan/1998/112000.0/SOLD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
35-burt-street-altona-vic-3018,Altona,671000,31-Aug-2016,2,1,2,543,m2,House,https://www.domain.com.au/35-burt-street-altona-vic-3018-2013008004,,0.4-9.7-0.6,3,Jun/2020/940000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73-david-street-altona-vic-3018,Altona,620000,21-Jul-2016,2,2,2,320,m2,House,https://www.domain.com.au/73-david-street-altona-vic-3018-2012915592,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Formal Lounge-Garden-Secure Parking-Separate Dining,0.5-0.9-9.7,3,Jul/2016/620000.0/SOLD-May/2002/335000.0/SOLD-Jan/1986/73000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
86-blyth-street-altona-vic-3018,Altona,850000,16-Jun-2016,2,1,2,506,m2,House,https://www.domain.com.au/86-blyth-street-altona-vic-3018-2012579555,Shed-Open Spaces,0.3-1.1-10.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125-blyth-street-altona-vic-3018,Altona,1315000,02-Mar-2016,2,1,3,1030,m2,House,https://www.domain.com.au/125-blyth-street-altona-vic-3018-2012593732,,0.3-0.8-10.4,3,Feb/2016/1315000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139-blyth-street-altona-vic-3018,Altona,620000,10-Dec-2015,2,1,1,488,m2,House,https://www.domain.com.au/139-blyth-street-altona-vic-3018-2012313162,,0.4-0.8-10.4,3,Nov/2021/1078000.0/SOLD-Nov/2015/620000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51-galvin-street-altona-vic-3018,Altona,680000,27-Jul-2015,2,1,2,775,m2,House,https://www.domain.com.au/51-galvin-street-altona-vic-3018-2012053211,,0.7-9.8-1.5,3,Jul/2015/680000.0/SOLD-Nov/2000/121000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-blyth-street-altona-vic-3018,Altona,795000,05-Jun-2015,2,1,1,506,m2,House,https://www.domain.com.au/86-blyth-street-altona-vic-3018-2009344481,,0.3-1.1-10.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-bracken-grove-altona-vic-3018,Altona,950000,17-Feb-2015,2,1,2,771,m2,House,https://www.domain.com.au/16-bracken-grove-altona-vic-3018-2011714748,,0.8-1.1-10.8,3,Feb/2015/950000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71-blyth-street-altona-vic-3018,Altona,525000,03-Oct-2014,2,1,2,247,m2,House,https://www.domain.com.au/71-blyth-street-altona-vic-3018-2011422329,,0.4-1.1-10.1,3,Sep/2014/525000.0/SOLD-Jun/2011/470000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51-rose-street-altona-vic-3018,Altona,701000,29-Aug-2014,2,1,1,757,m2,House,https://www.domain.com.au/51-rose-street-altona-vic-3018-2011358767,,0.5-10-0.4,3,Aug/2014/701000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57-galvin-street-altona-vic-3018,Altona,440000,20-Nov-2013,2,1,1,370,m2,House,https://www.domain.com.au/57-galvin-street-altona-vic-3018-2010811141,,0.8-9.8-1.5,3,Oct/2013/440000.0/SOLD-Sep/2009/356500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28a-upton-street-altona-vic-3018,Altona,475000,17-Oct-2013,2,1,1,230,m2,House,https://www.domain.com.au/28a-upton-street-altona-vic-3018-2010363247,,0.1-0.8-10.1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249-esplanade-altona-vic-3018,Altona,1000000,24-Apr-2013,2,1,4,590,m2,House,https://www.domain.com.au/249-esplanade-altona-vic-3018-2010351940,,0.5-1.2-10.7,3,Apr/2013/1000000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-davies-street-altona-vic-3018,Altona,876500,07-Mar-2013,2,1,2,712,m2,House,https://www.domain.com.au/15-davies-street-altona-vic-3018-2010231092,,0.8-1.6-10.1,3,Oct/2016/865000.0/SOLD-Mar/2013/876500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-chifley-avenue-altona-vic-3018,Altona,550000,30-Jan-2012,2,1,2,525,m2,House,https://www.domain.com.au/10-chifley-avenue-altona-vic-3018-2009263599,Built in wardrobes-Close to schools-Close to shops-Close to transport-Formal Lounge-Garden-Floorboards-Air Conditioning/Heating-Secure Parking-Separate Dining,0.2-1.8-9.5,3,Jan/2012/550000.0/SOLD-Feb/2009/415000.0/SOLD-May/1999/185000.0/SOLD,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1/198-civic-parade-altona-vic-3018,Altona,390000,15-Dec-2009,2,1,2,320,m2,House,https://www.domain.com.au/1-198-civic-parade-altona-vic-3018-2008045715,Built in wardrobes-Floorboards-Secure Parking-Separate Dining,0.5-9.8-0.4,3,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-merritt-court-altona-vic-3018,Altona,400000,24-Oct-2009,2,1,1,535,m2,House,https://www.domain.com.au/11-merritt-court-altona-vic-3018-2008050205,Built in wardrobes-Close to schools-Close to shops-Close to transport-Formal Lounge-Garden-Floorboards-Air Conditioning/Heating-Secure Parking,0.4-9.3-1.2,3,Oct/2009/400000.0/SOLD,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
185a-civic-parade-altona-vic-3018,Altona,830000,07-Dec-2021,3,2,2,222,m2,House,https://www.domain.com.au/185a-civic-parade-altona-vic-3018-2017028451,Secure Parking*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.5-9.7-0.5,3,May/2018/800000.0/SOLD,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
189-esplanade-altona-vic-3018,Altona,2810000,01-Dec-2021,3,1,1,819,m2,House,https://www.domain.com.au/189-esplanade-altona-vic-3018-2017358630,Bath*-Fully fenced-Outdoor Entertainment Area-Secure Parking-Shed-Alarm System-Broadband Internet Available-Built in wardrobes-Dishwasher-Floorboards-Air conditioning-Ducted Cooling-Ducted Heating-Gas Heating-Open Fireplace-Reverse Cycle Air Conditioning,0.5-1.3-10.4,3,,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
60-hammond-street-altona-vic-3018,Altona,960000,26-Nov-2021,3,1,2,531,m2,House,https://www.domain.com.au/60-hammond-street-altona-vic-3018-2017393718,Secure Parking*-Heating*-Balcony / Deck*,0.8-8.9-1.4,3,Dec/2021/960000.0/SOLD-Jun/2018/810000.0/SOLD-Jun/2014/605000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
211-civic-parade-altona-vic-3018,Altona,1022000,20-Nov-2021,3,1,2,607,m2,House,https://www.domain.com.au/211-civic-parade-altona-vic-3018-2017376945,Secure Parking*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.3-9.8-0.6,3,Nov/2021/1022000.0/SOLD-May/2003/283000.0/SOLD,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9-linnet-street-altona-vic-3018,Altona,1360000,10-Nov-2021,3,1,1,740,m2,House,https://www.domain.com.au/9-linnet-street-altona-vic-3018-2017293884,Secure Parking*-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.6-0.7-10.4,3,Nov/2021/1360000.0/SOLD-Nov/1994/107000.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27-maidstone-street-altona-vic-3018,Altona,1430000,08-Nov-2021,3,1,1,777,m2,House,https://www.domain.com.au/27-maidstone-street-altona-vic-3018-2017318411,,1-1.2-10.9,3,Nov/2021/1430000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-watson-court-altona-vic-3018,Altona,1200000,01-Nov-2021,3,1,2,528,m2,House,https://www.domain.com.au/1-watson-court-altona-vic-3018-2017270189,Air conditioning*-Built in wardrobes*-Heating*,0.6-1.5-9.5,3,Nov/2021/1200000.0/SOLD,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-grieve-parade-altona-vic-3018,Altona,1080000,25-Aug-2021,3,1,1,707,m2,House,https://www.domain.com.au/103-grieve-parade-altona-vic-3018-2017093518,Garden*,0.2-9.8-0.6,3,Aug/2021/1080000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27-blyth-street-altona-vic-3018,Altona,1720000,25-Aug-2021,3,2,2,622,m2,House,https://www.domain.com.au/27-blyth-street-altona-vic-3018-2017167281,Gas*-Secure Parking*-Heating*-Garden*,0.6-1.8-10,3,Aug/2021/1720000.0/SOLD-May/1995/125000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20-wren-street-altona-vic-3018,Altona,1827000,20-Aug-2021,3,4,3,775,m2,House,https://www.domain.com.au/20-wren-street-altona-vic-3018-2016640970,Internal Laundry*-Fireplace(s)*-Dishwasher*-Garden*-Air conditioning-Built in wardrobes-Close to transport-Close to shops-Swimming Pool-Open Fire Place-Close to schools-Ensuite,0.5-10.2-0.6,3,Aug/2021/1827000.0/SOLD-Jul/1993/82000.0/SOLD,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0
11-linnet-street-altona-vic-3018,Altona,1332000,18-Aug-2021,3,2,2,696,m2,House,https://www.domain.com.au/11-linnet-street-altona-vic-3018-2017166463,Secure Parking*-Garden*-Balcony / Deck*-Study,0.6-0.7-10.4,3,Aug/2021/1332000.0/SOLD,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6-curtin-court-altona-vic-3018,Altona,1153000,09-Aug-2021,3,1,1,505,m2,House,https://www.domain.com.au/6-curtin-court-altona-vic-3018-2017099838,Internal Laundry*-Garden*,0.3-1.8-9.5,3,Jul/2021/1153000.0/SOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19-charles-road-altona-vic-3018,Altona,931000,26-Jul-2021,3,1,4,535,m2,House,https://www.domain.com.au/19-charles-road-altona-vic-3018-2017108810,Secure Parking*-Garden*,0.8-9-1.5,3,Jul/2021/931000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13-frazer-avenue-altona-vic-3018,Altona,1200000,26-Jul-2021,3,2,6,623,m2,House,https://www.domain.com.au/13-frazer-avenue-altona-vic-3018-2017114027,Air conditioning*-Secure Parking*-Heating*-Shed*-Garden*-Balcony / Deck*,0.6-9.2-1.1,3,Jul/2021/1200000.0/SOLD-Nov/2009/447000.0/SOLD-Jan/1989/97000.0/SOLD,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
