address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
132-gordon-street-balwyn-vic-3103,2450000,09-Oct-2021,2,1,2,759,m2,House,https://www.domain.com.au/132-gordon-street-balwyn-vic-3103-2017171659,,0.7-1.2-4.7,3,Oct/2021/2450000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-tivey-parade-balwyn-vic-3103,1180000,27-Jan-2021,2,1,1,291,m2,House,https://www.domain.com.au/14-tivey-parade-balwyn-vic-3103-2016702136,,0.8-1-4.5,3,Jan/2021/1180000.0/SOLD-Feb/2018/1125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334-union-road-balwyn-vic-3103,1680000,18-Dec-2020,2,1,1,724,m2,House,https://www.domain.com.au/334-union-road-balwyn-vic-3103-2016626722,,0.7-1-1.4,3,Dec/2020/1680000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-narrak-road-balwyn-vic-3103,1905000,12-Dec-2020,2,1,1,643,m2,House,https://www.domain.com.au/27-narrak-road-balwyn-vic-3103-2016643406,Air conditioning*-Built in wardrobes*-Secure Parking*-Heating*-Garden*,0.7-1.5-2.2,3,Dec/2020/1905000.0/SOLD-Jun/1997/210000.0/SOLD,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14a-austin-street-balwyn-vic-3103,1300000,04-Jul-2020,2,1,1,412,m2,House,https://www.domain.com.au/14a-austin-street-balwyn-vic-3103-2016305464,,0.6-1.4-5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-yonga-road-balwyn-vic-3103,1500000,28-Feb-2020,2,1,1,486,m2,House,https://www.domain.com.au/20-yonga-road-balwyn-vic-3103-2015909416,,0.7-1.5-2.2,3,Feb/2020/1500000.0/SOLD-Jul/2018/1421000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-kalimna-street-balwyn-vic-3103,1163000,12-May-2018,2,1,2,274,m2,House,https://www.domain.com.au/29-kalimna-street-balwyn-vic-3103-2014315795,,0.6-1.3-4.7,3,May/2018/1163000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-yarrbat-avenue-balwyn-vic-3103,2407000,05-May-2018,2,2,2,762,m2,House,https://www.domain.com.au/59-yarrbat-avenue-balwyn-vic-3103-2014299628,,0.9-1.7-4.3,3,May/2018/2407000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2a-parring-road-balwyn-vic-3103,1010000,10-Feb-2018,2,1,2,242,m2,Villa,https://www.domain.com.au/1-2a-parring-road-balwyn-vic-3103-2013942254,,0.4-1.9-2.1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-northcote-avenue-balwyn-vic-3103,1710000,16-Dec-2017,2,1,2,627,m2,House,https://www.domain.com.au/15-northcote-avenue-balwyn-vic-3103-2014024085,,0.5-1.5-1.9,3,Mar/2018/1600000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
