address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
78-bowes-avenue-airport-west-vic-3042,Airport West,1099000,11-Sep-2021,2,1,1,696,m2,House,https://www.domain.com.au/78-bowes-avenue-airport-west-vic-3042-2017215776,Gas*-Internal Laundry*-Secure Parking*-Dishwasher*-Shed*-Garden*,0.7-2.4-0.6,3,Sep/2021/1099000.0/SOLD,0
139-victory-road-airport-west-vic-3042,Airport West,955000,05-Jun-2021,2,1,3,613,m2,House,https://www.domain.com.au/139-victory-road-airport-west-vic-3042-2016995157,Internal Laundry*-Secure Parking*-Fireplace(s)*-Garden*,1.5-3.1-0.8,3,Jun/2021/955000.0/SOLD,0
145-mcnamara-avenue-airport-west-vic-3042,Airport West,580500,01-Apr-2020,2,1,1,255,m2,House,https://www.domain.com.au/145-mcnamara-avenue-airport-west-vic-3042-2016119289,Secure Parking-Fully fenced-Open Spaces-Split System AirCon-Built in wardrobes-Ducted Heating-Alarm System,1.3-3-0.6,3,Mar/2020/580500.0/SOLD,1
52-el-reno-crescent-airport-west-vic-3042,Airport West,607000,18-Jul-2015,2,1,1,510,m2,House,https://www.domain.com.au/52-el-reno-crescent-airport-west-vic-3042-2012058318,Water Tank-Shed-Fully fenced-Gas Heating-Split System AirCon,0.8-2.5-0.4,3,Dec/2017/1415000.0/SOLD-Jul/2015/607000.0/SOLD,0
92-clydesdale-road-airport-west-vic-3042,Airport West,455000,08-Jul-2010,2,1,1,300,m2,House,https://www.domain.com.au/92-clydesdale-road-airport-west-vic-3042-2008444869,Floorboards-Renovated,1.1-1-2.7,3,Jun/2017/670000.0/SOLD-Jul/2010/330.0/SOLD,0
7-chancellor-road-airport-west-vic-3042,Airport West,917500,06-Dec-2021,3,2,2,533,m2,House,https://www.domain.com.au/7-chancellor-road-airport-west-vic-3042-2017327453,Secure Parking*,0.4-0.3-2.1,3,Dec/2021/917500.0/SOLD-Jun/1988/121000.0/SOLD,0
114-halsey-road-airport-west-vic-3042,Airport West,1012000,15-Nov-2021,3,1,2,621,m2,House,https://www.domain.com.au/114-halsey-road-airport-west-vic-3042-2017332094,Built in wardrobes*-Internal Laundry*-Secure Parking*-Broadband internet access*-Heating*,1.4-3.1-0.7,3,Nov/2021/1012000.0/SOLD,1
21-hilbert-road-airport-west-vic-3042,Airport West,1000000,06-Oct-2021,3,1,2,640,m2,House,https://www.domain.com.au/21-hilbert-road-airport-west-vic-3042-2017167906,Gas*-Internal Laundry*-Secure Parking*-1 Toilets-Built in wardrobes-Ducted Heating-Floorboards,1.1-1-2.4,3,Oct/2021/1000000.0/SOLD-Jun/1992/119000.0/SOLD,1
239-parer-road-airport-west-vic-3042,Airport West,1046000,30-Sep-2021,3,2,2,546,m2,House,https://www.domain.com.au/239-parer-road-airport-west-vic-3042-2017214143,Remote Garage-Secure Parking-Floorboards-Gym-Dishwasher-Ducted Heating-Rumpus Room-Ensuite-Air conditioning,1-1-2.2,3,Sep/2021/1046000.0/SOLD,0
2-bedford-street-airport-west-vic-3042,Airport West,1010500,21-Aug-2021,3,1,1,574,m2,House,https://www.domain.com.au/2-bedford-street-airport-west-vic-3042-2017167700,Garden*,1.1-1-2.8,3,Aug/2021/1010500.0/SOLD-Aug/1992/180.0/SOLD,0
