address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
6-hodgson-street-brunswick-vic-3056,Brunswick,926000,26-Oct-2019,1,1,1,312,m2,House,https://www.domain.com.au/6-hodgson-street-brunswick-vic-3056-2015738315,,0.6-1-1.2,3,Oct/2019/926000.0/SOLD-Jul/2011/803000.0/SOLD-Oct/1999/265000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-donald-street-brunswick-vic-3056,Brunswick,1080000,17-Nov-2021,2,1,1,207,m2,House,https://www.domain.com.au/60-donald-street-brunswick-vic-3056-2017279827,,0.4-1.7-1.8,3,Oct/2021/1080000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74-lyle-street-brunswick-vic-3056,Brunswick,1092500,23-Oct-2021,2,1,1,153,m2,House,https://www.domain.com.au/74-lyle-street-brunswick-vic-3056-2017265525,,0.5-0.7-1.1,3,Oct/2021/1092500.0/SOLD-Aug/2012/540000.0/SOLD-Sep/2008/435900.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-mitchell-street-brunswick-vic-3056,Brunswick,995000,22-Oct-2021,2,1,2,231,m2,House,https://www.domain.com.au/117-mitchell-street-brunswick-vic-3056-2017281004,Secure Parking*,0.7-1.4-1.9,3,Oct/2021/995000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-davison-street-brunswick-vic-3056,Brunswick,1400000,20-Oct-2021,2,1,1,155,m2,House,https://www.domain.com.au/19-davison-street-brunswick-vic-3056-2017291549,,0.7-1-1,3,Oct/2021/1400000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81-blyth-street-brunswick-vic-3056,Brunswick,950000,26-Aug-2021,2,1,1,171,m2,House,https://www.domain.com.au/81-blyth-street-brunswick-vic-3056-2017174912,,0.9-1.3-1.6,3,Aug/2021/950000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-lillian-street-brunswick-vic-3056,Brunswick,809000,10-Jul-2021,2,1,1,125,m2,House,https://www.domain.com.au/11-lillian-street-brunswick-vic-3056-2017083847,,0.6-1.4-1.9,3,Jul/2021/809000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-barningham-street-brunswick-vic-3056,Brunswick,1365000,01-Jul-2021,2,1,2,237,m2,House,https://www.domain.com.au/9-barningham-street-brunswick-vic-3056-2016995264,Built in wardrobes*-Bath*-Shed*-Garden*-Balcony / Deck*-Open Fireplace-Split System AirCon-Split System Heating,0.9-1.3-2,3,Jun/2021/1365000.0/SOLD,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
29-charles-street-brunswick-vic-3056,Brunswick,1226000,19-Jun-2021,2,1,2,186,m2,House,https://www.domain.com.au/29-charles-street-brunswick-vic-3056-2017033266,,0.7-1.1-2.3,3,Jun/2021/1226000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-percy-street-brunswick-vic-3056,Brunswick,1110000,25-Mar-2021,2,1,1,195,m2,House,https://www.domain.com.au/27-percy-street-brunswick-vic-3056-2016843127,,0.7-0.8-1.1,3,Mar/2021/1110000.0/SOLD-Mar/2020/1180000.0/SOLD-Jul/2010/525000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-barrow-street-brunswick-vic-3056,Brunswick,850000,12-Dec-2020,2,1,2,210,m2,House,https://www.domain.com.au/32-barrow-street-brunswick-vic-3056-2016626487,Garden*,0.7-1.6-1.6,3,Dec/2020/850000.0/SOLD-Mar/1996/124500.0/SOLD-Mar/1985/63000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10-evans-street-brunswick-vic-3056,Brunswick,1065000,20-Nov-2020,2,1,1,245,m2,House,https://www.domain.com.au/10-evans-street-brunswick-vic-3056-2016592554,Garden*,0.8-1.1-2,3,Oct/1998/550.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26-gray-street-brunswick-vic-3056,Brunswick,945000,04-Jul-2020,2,1,1,127,m2,House,https://www.domain.com.au/26-gray-street-brunswick-vic-3056-2016301513,,0.5-0.9-1.4,3,Jul/2020/945000.0/SOLD-Oct/2000/200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-blair-street-brunswick-vic-3056,Brunswick,976000,26-Oct-2019,2,1,1,245,m2,House,https://www.domain.com.au/13-blair-street-brunswick-vic-3056-2015705653,,0.7-1.2-2.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-charles-street-brunswick-vic-3056,Brunswick,916250,10-Aug-2019,2,1,1,163,m2,House,https://www.domain.com.au/24-charles-street-brunswick-vic-3056-2015478005,Secure Parking,0.7-1-2.3,3,Aug/2019/530.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
