address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
200-reynard-street-coburg-vic-3058,Coburg,774000,22-Feb-2020,1,1,2,289,m2,House,https://www.domain.com.au/200-reynard-street-coburg-vic-3058-2016027870,,0.5-1.8-0.3,3,Feb/2020/774000.0/SOLD-Sep/1994/79000.0/SOLD-Nov/1987/75000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-sheffield-street-coburg-vic-3058,Coburg,895000,25-Mar-2017,1,1,2,325,m2,House,https://www.domain.com.au/59-sheffield-street-coburg-vic-3058-2013360487,,0.6-0.7-2.5,3,Mar/2017/895000.0/SOLD-Jun/2012/511000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-rose-street-coburg-vic-3058,Coburg,1000000,20-Nov-2021,2,1,2,395,m2,House,https://www.domain.com.au/50-rose-street-coburg-vic-3058-2017364092,Study,0.4-2-0.5,3,Nov/2021/1000000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19a-clifton-grove-coburg-vic-3058,Coburg,1165000,04-Nov-2021,2,1,2,285,m2,House,https://www.domain.com.au/19a-clifton-grove-coburg-vic-3058-2017443934,,0.6-1.3-3,3,Sep/2021/1165000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-lonsdale-street-coburg-vic-3058,Coburg,1190000,30-Oct-2021,2,1,1,263,m2,House,https://www.domain.com.au/9-lonsdale-street-coburg-vic-3058-2017302089,Built in wardrobes*-Internal Laundry*-Intercom*-Heating*-Balcony / Deck*,0.3-1.6-2.8,3,Oct/2021/1190000.0/SOLD-Mar/2009/366000.0/SOLD-Aug/1998/145000.0/SOLD,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21-darlington-grove-coburg-vic-3058,Coburg,1095000,30-Oct-2021,2,1,2,376,m2,House,https://www.domain.com.au/21-darlington-grove-coburg-vic-3058-2017292965,Secure Parking*-Study,0.9-0.9-2,3,Oct/2021/1095000.0/SOLD,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-hutchison-place-coburg-vic-3058,Coburg,1050000,26-Oct-2021,2,1,1,462,m2,House,https://www.domain.com.au/6-hutchison-place-coburg-vic-3058-2017333527,,0.7-1-3,3,Nov/2021/1050000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a-francis-street-coburg-vic-3058,Coburg,985000,20-Oct-2021,2,1,1,214,m2,House,https://www.domain.com.au/2a-francis-street-coburg-vic-3058-2017253077,Gas*-Internal Laundry*-Bath*-Fireplace(s)*-Shed-Floorboards-Built in wardrobes,0.1-1.9-2.6,3,Oct/2021/985000.0/SOLD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19a-clifton-grove-coburg-vic-3058,Coburg,1165000,02-Sep-2021,2,1,2,285,m2,House,https://www.domain.com.au/19a-clifton-grove-coburg-vic-3058-2017168533,Gas*-Internal Laundry*-Fully fenced-Outdoor Entertainment Area-Remote Garage-Secure Parking-Shed-Built in wardrobes-Floorboards-Ducted Heating,0.6-1.3-3,3,Sep/2021/1165000.0/SOLD,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
33-railway-place-coburg-vic-3058,Coburg,916000,24-Jul-2021,2,1,1,169,m2,House,https://www.domain.com.au/33-railway-place-coburg-vic-3058-2017096788,,0.7-1-0.9,3,Jul/2021/916000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-shaftsbury-street-coburg-vic-3058,Coburg,1375000,22-May-2021,2,1,2,470,m2,House,https://www.domain.com.au/110-shaftsbury-street-coburg-vic-3058-2016968741,Internal Laundry*-Heating*-Shed*-Study,0.7-1.6-0.6,3,May/2021/1375000.0/SOLD,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56-ohea-street-coburg-vic-3058,Coburg,1020000,20-Mar-2021,2,2,4,480,m2,House,https://www.domain.com.au/56-ohea-street-coburg-vic-3058-2016802867,,0.7-1-3.2,3,Mar/2021/1020000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a-rose-street-coburg-vic-3058,Coburg,852000,01-Mar-2021,2,2,1,173,m2,House,https://www.domain.com.au/2a-rose-street-coburg-vic-3058-2016777276,,0.1-2.1-0.6,3,Feb/2021/852000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-beckwith-street-coburg-vic-3058,Coburg,810000,30-Jan-2021,2,2,1,251,m2,House,https://www.domain.com.au/2-beckwith-street-coburg-vic-3058-2016709754,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking,0.4-0.8-3.4,3,Jan/2021/810000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
13-gilbert-street-coburg-vic-3058,Coburg,830127,08-Dec-2020,2,1,2,206,m2,House,https://www.domain.com.au/13-gilbert-street-coburg-vic-3058-2016590980,Internal Laundry*-Secure Parking*-Bath*-Heating*-Garden*,0.9-1.5-0.6,3,Dec/2020/830127.0/SOLD,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-autumn-street-coburg-vic-3058,Coburg,997000,21-Nov-2020,2,1,2,500,m2,House,https://www.domain.com.au/15-autumn-street-coburg-vic-3058-2016573384,Secure Parking*-Fireplace(s)*-Heating*-Garden*-Study,0.2-2.1-2.3,3,Nov/2020/500.0/SOLD-Jul/2016/997000.0/SOLD,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3-walker-street-coburg-vic-3058,Coburg,820000,07-Nov-2020,2,1,1,221,m2,House,https://www.domain.com.au/3-walker-street-coburg-vic-3058-2016512423,,0.6-0.9-0.8,3,Nov/2020/820000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-gilmour-street-coburg-vic-3058,Coburg,738000,16-Oct-2020,2,1,1,268,m2,House,https://www.domain.com.au/1-gilmour-street-coburg-vic-3058-2016532132,Built in wardrobes*-Gas*-Internal Laundry*-Heating*-Garden*-Balcony / Deck*,0.4-0.8-3.5,3,Oct/2020/738000.0/SOLD-May/2006/1955.0/SOLD,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26-mckay-street-coburg-vic-3058,Coburg,935000,14-Aug-2020,2,1,1,236,m2,House,https://www.domain.com.au/26-mckay-street-coburg-vic-3058-2016438537,,0.4-0.7-3.5,3,Jul/2020/935000.0/SOLD-Mar/2018/460.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200-gordon-street-coburg-vic-3058,Coburg,963000,25-Mar-2020,2,1,1,354,m2,House,https://www.domain.com.au/200-gordon-street-coburg-vic-3058-2016116068,Study,0.5-2.1-0.7,3,Mar/2020/510.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-patterson-street-coburg-vic-3058,Coburg,1141500,02-Mar-2020,2,1,1,620,m2,House,https://www.domain.com.au/45-patterson-street-coburg-vic-3058-2016044686,,0.9-0.9-2.1,3,Feb/2020/1141500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-armstrong-street-coburg-vic-3058,Coburg,960000,30-Nov-2019,2,1,2,421,m2,House,https://www.domain.com.au/4-armstrong-street-coburg-vic-3058-2015839431,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Separate Dining,0.8-1-3.1,3,Nov/2019/460.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
9-connolly-avenue-coburg-vic-3058,Coburg,755000,16-Oct-2019,2,1,2,436,m2,House,https://www.domain.com.au/9-connolly-avenue-coburg-vic-3058-2015704206,,0.8-0.8-3.1,3,Oct/2019/420.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94-victoria-street-coburg-vic-3058,Coburg,820000,16-Sep-2019,2,1,1,255,m2,House,https://www.domain.com.au/94-victoria-street-coburg-vic-3058-2015526925,Air conditioning-Heating,0.7-1.5-1,3,Sep/2019/820000.0/SOLD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-campbell-street-coburg-vic-3058,Coburg,981000,25-May-2019,2,1,1,268,m2,House,https://www.domain.com.au/55-campbell-street-coburg-vic-3058-2015222731,,0.3-1.4-2,3,May/2019/981000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-glengyle-street-coburg-vic-3058,Coburg,880000,18-May-2019,2,1,1,262,m2,House,https://www.domain.com.au/50-glengyle-street-coburg-vic-3058-2015187703,,0.7-1.5-1.6,3,May/2019/880000.0/SOLD-Oct/1999/236500.0/SOLD-Oct/1993/135000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44-abeckett-street-coburg-vic-3058,Coburg,920000,02-Mar-2019,2,1,1,372,m2,House,https://www.domain.com.au/44-abeckett-street-coburg-vic-3058-2014928435,,0.5-1.6-2.6,3,Mar/2019/920000.0/SOLD-Aug/2012/415000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-molesworth-street-coburg-vic-3058,Coburg,813000,25-Feb-2019,2,1,2,375,m2,House,https://www.domain.com.au/28-molesworth-street-coburg-vic-3058-2014907813,,0.7-1.3-2.9,3,Feb/2019/813000.0/SOLD-Mar/1995/98000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61-linda-street-coburg-vic-3058,Coburg,940000,15-Feb-2019,2,1,1,493,m2,House,https://www.domain.com.au/61-linda-street-coburg-vic-3058-2014911878,,0.9-1.7-0.5,3,Feb/2019/940000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-chambers-street-coburg-vic-3058,Coburg,907000,17-Nov-2018,2,1,1,373,m2,House,https://www.domain.com.au/36-chambers-street-coburg-vic-3058-2014719472,,0.5-0.6-2.6,3,Nov/2018/907000.0/SOLD-Nov/2012/620000.0/SOLD-Aug/1995/125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-station-street-coburg-vic-3058,Coburg,936000,10-Nov-2018,2,1,1,230,m2,House,https://www.domain.com.au/27-station-street-coburg-vic-3058-2014697712,Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining-Shed,0.5-1.7-0.9,3,Nov/2018/936000.0/SOLD-Feb/2013/558500.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
10-linsey-street-coburg-vic-3058,Coburg,973000,20-Oct-2018,2,1,1,548,m2,House,https://www.domain.com.au/10-linsey-street-coburg-vic-3058-2014646773,Shed-Fully fenced-Gas Heating-Floorboards-Built in wardrobes-Dishwasher,0.7-1.7-0.8,3,Oct/2018/580.0/SOLD,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23-webb-street-coburg-vic-3058,Coburg,953000,15-Sep-2018,2,1,2,373,m2,House,https://www.domain.com.au/23-webb-street-coburg-vic-3058-2014579533,,0.3-1.7-2.6,3,Sep/2018/953000.0/SOLD-Jul/2007/480000.0/SOLD-Oct/2004/330000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34-hutchison-place-coburg-vic-3058,Coburg,811000,04-Aug-2018,2,1,1,450,m2,House,https://www.domain.com.au/34-hutchison-place-coburg-vic-3058-2014488388,Shed-Fully fenced-Gas Heating-Split System AirCon-Built in wardrobes-Secure Parking,0.7-1-3,3,Aug/2018/811000.0/SOLD-Oct/1986/60000.0/SOLD,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38-abeckett-street-coburg-vic-3058,Coburg,945000,30-Jun-2018,2,1,1,377,m2,House,https://www.domain.com.au/38-abeckett-street-coburg-vic-3058-2014419001,,0.5-1.6-2.6,3,Jun/2018/945000.0/SOLD-Mar/2016/800000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
