address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
house-2/26-edmonds-street-diamond-creek-vic-3089,Diamond Creek,915000,23-Oct-2021,2,2,1,484,m2,House,https://www.domain.com.au/house-2-26-edmonds-street-diamond-creek-vic-3089-2017294032,Air conditioning*-Internal Laundry*-Heating*-Balcony / Deck*,0.4-1.8-1.1,3,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2/24-bruce-street-diamond-creek-vic-3089,Diamond Creek,730000,18-Oct-2021,2,1,1,370,m2,House,https://www.domain.com.au/2-24-bruce-street-diamond-creek-vic-3089-2017283442,Built in wardrobes*-Heating*-Balcony / Deck*,0.4-0.5-0.9,3,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5-norma-street-diamond-creek-vic-3089,Diamond Creek,780000,30-Aug-2021,2,1,2,573,m2,House,https://www.domain.com.au/5-norma-street-diamond-creek-vic-3089-2017171894,,0.7-1.2-0.6,3,Aug/2021/780000.0/SOLD-Jun/1998/144000.0/SOLD-Jun/1994/130000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-challenger-street-diamond-creek-vic-3089,Diamond Creek,761500,23-Aug-2021,2,1,1,523,m2,House,https://www.domain.com.au/11-challenger-street-diamond-creek-vic-3089-2017156787,,0.9-1-0.9,3,Aug/2021/761500.0/SOLD-Dec/1976/32500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-bage-street-diamond-creek-vic-3089,Diamond Creek,535000,21-Mar-2020,2,1,1,300,m2,House,https://www.domain.com.au/18-bage-street-diamond-creek-vic-3089-2016103963,,0.3-1.5-0.8,3,Mar/2020/535000.0/SOLD-Nov/2007/300000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429-ryans-road-diamond-creek-vic-3089,Diamond Creek,635000,02-Mar-2020,2,1,2,642,m2,House,https://www.domain.com.au/429-ryans-road-diamond-creek-vic-3089-2016064338,Balcony-Deck-Fully fenced-Floorboards-Ducted Heating-Air conditioning,1-1-0.9,3,Feb/2020/635000.0/SOLD-May/2016/480000.0/SOLD-May/2003/192000.0/SOLD,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
lot-4/37-phipps-crescent-diamond-creek-vic-3089,Diamond Creek,600000,27-Nov-2018,2,2,1,181,m2,House,https://www.domain.com.au/lot-4-37-phipps-crescent-diamond-creek-vic-3089-2014765416,,0.5-0.7-0.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-dering-street-diamond-creek-vic-3089,Diamond Creek,646000,14-Aug-2018,2,1,1,342,m2,House,https://www.domain.com.au/5-dering-street-diamond-creek-vic-3089-2014512572,,0.7-1.3-0.7,3,Sep/2018/646000.0/SOLD-Oct/2013/436000.0/SOLD-Aug/2009/362000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-ryan-street-diamond-creek-vic-3089,Diamond Creek,630000,02-Jun-2018,2,1,1,338,m2,House,https://www.domain.com.au/13-ryan-street-diamond-creek-vic-3089-2014384647,,0.4-1.2-0.5,3,Jun/2018/630000.0/SOLD-Nov/2003/249050.0/SOLD-Jun/1995/115000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a-fraser-street-diamond-creek-vic-3089,Diamond Creek,598000,09-Dec-2017,2,1,1,355,m2,House,https://www.domain.com.au/1a-fraser-street-diamond-creek-vic-3089-2014007581,,0.7-1-0.5,3,Dec/2017/598000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-bage-street-diamond-creek-vic-3089,Diamond Creek,631000,25-Aug-2017,2,2,1,552,m2,House,https://www.domain.com.au/3-bage-street-diamond-creek-vic-3089-2013780232,,0.4-1.5-0.9,3,Dec/2017/631000.0/SOLD-Jan/1992/121000.0/SOLD-Jan/1980/35750.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407-ryans-road-diamond-creek-vic-3089,Diamond Creek,480000,03-Sep-2016,2,1,2,833,m2,House,https://www.domain.com.au/407-ryans-road-diamond-creek-vic-3089-2012976906,,0.9-1.1-0.8,3,Sep/2016/480000.0/SOLD-Sep/2007/314000.0/SOLD-Jun/2004/245000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-phipps-crescent-diamond-creek-vic-3089,Diamond Creek,292000,08-Nov-2014,2,1,1,450,m2,House,https://www.domain.com.au/39-phipps-crescent-diamond-creek-vic-3089-2011503453,,0.5-0.7-0.9,3,Aug/2016/290.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-stone-street-diamond-creek-vic-3089,Diamond Creek,400000,15-Jul-2014,2,1,2,560,m2,House,https://www.domain.com.au/15-stone-street-diamond-creek-vic-3089-2011277056,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Formal Lounge-Garden-Floorboards-Separate Dining-Terrace-Balcony-Gas ducted heating-Elevated entertaining deck,0.6-1.5-1.2,3,Jun/2018/650000.0/SOLD-Jul/2014/400000.0/SOLD,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
121-lambert-street-diamond-creek-vic-3089,Diamond Creek,865000,06-Dec-2021,3,1,3,690,m2,House,https://www.domain.com.au/121-lambert-street-diamond-creek-vic-3089-2017413467,,0.6-1.8-1.2,3,Dec/2021/865000.0/SOLD-Apr/2001/212750.0/SOLD-Aug/1989/125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96-old-diamond-creek-road-diamond-creek-vic-3089,Diamond Creek,1020000,04-Dec-2021,3,2,2,958,m2,House,https://www.domain.com.au/96-old-diamond-creek-road-diamond-creek-vic-3089-2017416350,,0.8-1.2-1.1,3,Dec/2021/1020000.0/SOLD-May/2002/209500.0/SOLD-Jan/1998/83000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43-broad-gully-road-diamond-creek-vic-3089,Diamond Creek,739000,29-Nov-2021,3,1,1,585,m2,House,https://www.domain.com.au/43-broad-gully-road-diamond-creek-vic-3089-2017419805,,0.3-1.3-0.6,3,Nov/2021/739000.0/SOLD-Mar/1994/105150.0/SOLD-May/1988/120000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-clyde-street-diamond-creek-vic-3089,Diamond Creek,1032500,20-Nov-2021,3,2,3,653,m2,House,https://www.domain.com.au/23-clyde-street-diamond-creek-vic-3089-2017372190,,0.1-1.5-0.8,3,Nov/2021/1032500.0/SOLD-Oct/2000/225000.0/SOLD-Apr/1999/186000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-bishop-avenue-diamond-creek-vic-3089,Diamond Creek,910000,10-Nov-2021,3,1,1,549,m2,House,https://www.domain.com.au/16-bishop-avenue-diamond-creek-vic-3089-2017361050,Secure Parking*-Fireplace(s)*-Heating*-Balcony / Deck*,0.2-0.3-0.8,3,Nov/2021/910000.0/SOLD-Feb/2016/600000.0/SOLD-Jul/1994/147500.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15-strathaird-close-diamond-creek-vic-3089,Diamond Creek,950000,09-Nov-2021,3,2,2,648,m2,House,https://www.domain.com.au/15-strathaird-close-diamond-creek-vic-3089-2017332198,,0.4-0.5-0.7,3,Nov/2021/950000.0/SOLD-May/2013/520000.0/SOLD-Nov/1999/222500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14a-anne-street-diamond-creek-vic-3089,Diamond Creek,795000,19-Oct-2021,3,1,2,468,m2,House,https://www.domain.com.au/14a-anne-street-diamond-creek-vic-3089-2017288815,,0.5-0.6-1,3,Oct/2021/795000.0/SOLD-Feb/2016/530000.0/SOLD-Mar/2006/316000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10-hyde-street-diamond-creek-vic-3089,Diamond Creek,673500,16-Oct-2021,3,1,1,259,m2,House,https://www.domain.com.au/1-10-hyde-street-diamond-creek-vic-3089-2017276364,Heating*,0.2-1.5-0.7,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49-collins-street-diamond-creek-vic-3089,Diamond Creek,927000,29-Sep-2021,3,1,2,756,m2,House,https://www.domain.com.au/49-collins-street-diamond-creek-vic-3089-2017261597,,0.3-1.7-0.9,3,Sep/2021/927000.0/SOLD-Oct/2011/400000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-lydford-court-diamond-creek-vic-3089,Diamond Creek,999999,21-Sep-2021,3,2,2,748,m2,House,https://www.domain.com.au/14-lydford-court-diamond-creek-vic-3089-2017239131,Air conditioning*-Gas*-Secure Parking*-Heating*,0.8-0.8-0.6,3,Sep/2021/999999.0/SOLD-May/1998/184000.0/SOLD-Apr/1993/165000.0/SOLD,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8-ironbark-road-diamond-creek-vic-3089,Diamond Creek,683200,12-Aug-2021,3,1,2,400,m2,House,https://www.domain.com.au/2-8-ironbark-road-diamond-creek-vic-3089-2017116735,Gas*-Heating*-Garden*,0.4-1.6-0.9,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24-edmonds-street-diamond-creek-vic-3089,Diamond Creek,1010000,03-Aug-2021,3,1,3,852,m2,House,https://www.domain.com.au/24-edmonds-street-diamond-creek-vic-3089-2017126218,Internal Laundry*-Shed*-Garden*-Balcony / Deck*-Alarm System-Broadband Internet Available-Dishwasher-Fully fenced-Study,0.4-1.8-1,3,Jul/2021/1010000.0/SOLD-Nov/2011/590.0/SOLD,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0
43-david-hockney-drive-diamond-creek-vic-3089,Diamond Creek,1100000,16-Jul-2021,3,2,2,493,m2,House,https://www.domain.com.au/43-david-hockney-drive-diamond-creek-vic-3089-2017035291,,1.2-1.5-0.8,3,Jul/2021/1100000.0/SOLD-Jun/2011/330000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-dartagook-street-diamond-creek-vic-3089,Diamond Creek,795000,07-Jul-2021,3,1,1,787,m2,House,https://www.domain.com.au/17-dartagook-street-diamond-creek-vic-3089-2017081267,,0.5-1.7-1,3,Jul/2021/795000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-lambert-street-diamond-creek-vic-3089,Diamond Creek,1381000,03-Jul-2021,3,2,2,2901,m2,House,https://www.domain.com.au/102-lambert-street-diamond-creek-vic-3089-2017029084,Ensuite,0.5-1.7-1.1,3,Jul/2021/1381000.0/SOLD-May/2003/405000.0/SOLD-Jul/1999/291275.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68-grassy-flat-road-diamond-creek-vic-3089,Diamond Creek,825000,26-Jun-2021,3,2,1,809,m2,House,https://www.domain.com.au/68-grassy-flat-road-diamond-creek-vic-3089-2017061479,,0.9-1.8-1.2,3,Jun/2021/825000.0/SOLD-Jul/1996/130000.0/SOLD-Jul/1991/52000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98-lambert-street-diamond-creek-vic-3089,Diamond Creek,805000,25-Jun-2021,3,2,1,950,m2,House,https://www.domain.com.au/98-lambert-street-diamond-creek-vic-3089-2017079839,Internal Laundry*-Garden*,0.5-1.7-1.2,3,Jun/2021/805000.0/SOLD-Feb/2000/191250.0/SOLD-Aug/1991/135000.0/SOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51-broad-gully-road-diamond-creek-vic-3089,Diamond Creek,827000,22-Jun-2021,3,1,1,579,m2,House,https://www.domain.com.au/51-broad-gully-road-diamond-creek-vic-3089-2017056396,Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Shed*-Garden*-Solar panels*-Balcony / Deck*,0.4-1.3-0.5,3,Jun/2021/827000.0/SOLD-May/2014/425000.0/SOLD-Oct/1997/118000.0/SOLD,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
15-dartagook-street-diamond-creek-vic-3089,Diamond Creek,858000,29-May-2021,3,1,1,815,m2,House,https://www.domain.com.au/15-dartagook-street-diamond-creek-vic-3089-2017016033,,0.5-1.7-0.9,3,May/2021/858000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-wentworth-close-diamond-creek-vic-3089,Diamond Creek,990000,28-May-2021,3,2,2,785,m2,House,https://www.domain.com.au/15-wentworth-close-diamond-creek-vic-3089-2016986424,Air conditioning*-Secure Parking*-Heating*-Shed*-Garden*-Balcony / Deck*-Study,0.9-1-0.8,3,May/2021/990000.0/SOLD-Jul/2010/530000.0/SOLD-Mar/2008/465000.0/SOLD,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
71-haley-street-diamond-creek-vic-3089,Diamond Creek,790000,21-May-2021,3,2,1,342,m2,House,https://www.domain.com.au/71-haley-street-diamond-creek-vic-3089-2016976291,Internal Laundry*-Heating*-Balcony / Deck-Built in wardrobes-Air conditioning-Floorboards-Secure Parking,0.4-0.6-0.5,3,May/2021/790000.0/SOLD,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24-nillumbik-square-diamond-creek-vic-3089,Diamond Creek,995051,17-May-2021,3,2,3,1315,m2,House,https://www.domain.com.au/24-nillumbik-square-diamond-creek-vic-3089-2016942583,Air conditioning*-Secure Parking*-Fireplace(s)*-Heating*-Garden*-Study,0.7-0.7-1.5,3,May/2021/995051.0/SOLD-Jan/1988/57000.0/SOLD,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161-murray-road-diamond-creek-vic-3089,Diamond Creek,1610000,01-May-2021,3,2,3,46538,m2,House,https://www.domain.com.au/161-murray-road-diamond-creek-vic-3089-2016914549,Air conditioning-Floorboards-Separate Dining Room-Swimming Pool,1.9-2.6-1.5,3,May/2021/1610000.0/SOLD-May/2008/942000.0/SOLD-Jun/1983/130000.0/SOLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9-stone-street-diamond-creek-vic-3089,Diamond Creek,710000,27-Apr-2021,3,1,1,589,m2,House,https://www.domain.com.au/9-stone-street-diamond-creek-vic-3089-2016882669,,0.6-1.5-1.2,3,Apr/2021/710000.0/SOLD-Feb/1985/71000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53-oronsay-crescent-diamond-creek-vic-3089,Diamond Creek,1132000,24-Apr-2021,3,2,2,699,m2,House,https://www.domain.com.au/53-oronsay-crescent-diamond-creek-vic-3089-2016918620,,0.8-0.9-1,3,Apr/2021/1132000.0/SOLD-May/2006/353000.0/SOLD-Aug/1994/148500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-lambert-street-diamond-creek-vic-3089,Diamond Creek,795000,10-Apr-2021,3,1,1,1001,m2,House,https://www.domain.com.au/110-lambert-street-diamond-creek-vic-3089-2016876330,,0.5-1.8-1.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-haven-lane-diamond-creek-vic-3089,Diamond Creek,690000,29-Mar-2021,3,2,1,174,m2,House,https://www.domain.com.au/27-haven-lane-diamond-creek-vic-3089-2016808527,Secure Parking*-Balcony-Courtyard-Outdoor Entertaining-Split System AirCon-Built in wardrobes-Dishwasher-Ensuite,0.4-0.4-0.4,3,Mar/2021/690000.0/SOLD-May/2008/470.0/SOLD,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
24-challenger-street-diamond-creek-vic-3089,Diamond Creek,870000,21-Mar-2021,3,2,2,443,m2,House,https://www.domain.com.au/24-challenger-street-diamond-creek-vic-3089-2016845448,,0.9-1-0.9,3,Mar/2021/870000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-ezio-court-diamond-creek-vic-3089,Diamond Creek,1340000,20-Mar-2021,3,2,2,1157,m2,House,https://www.domain.com.au/10-ezio-court-diamond-creek-vic-3089-2016820349,Built in wardrobes*-Internal Laundry*-Secure Parking*-Intercom*-Heating*-Dishwasher*-Shed*-Garden*-Balcony / Deck*,1-1.3-0.7,3,Mar/2021/1340000.0/SOLD-Jan/1996/120000.0/SOLD-Mar/1993/120000.0/SOLD,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
74-broad-gully-road-diamond-creek-vic-3089,Diamond Creek,807000,14-Mar-2021,3,1,2,805,m2,House,https://www.domain.com.au/74-broad-gully-road-diamond-creek-vic-3089-2016844858,,0.5-1.1-0.4,3,Mar/2021/807000.0/SOLD-Oct/2012/450000.0/SOLD-Jul/2001/218000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-broad-gully-road-diamond-creek-vic-3089,Diamond Creek,854000,24-Feb-2021,3,2,2,592,m2,House,https://www.domain.com.au/59-broad-gully-road-diamond-creek-vic-3089-2016792350,Gas*-Heating*-Garden*-Balcony / Deck*,0.4-1.2-0.5,3,Feb/2021/854000.0/SOLD-Mar/2015/567000.0/SOLD-Nov/2003/290000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
122-broad-gully-road-diamond-creek-vic-3089,Diamond Creek,850000,03-Feb-2021,3,1,2,806,m2,House,https://www.domain.com.au/122-broad-gully-road-diamond-creek-vic-3089-2016763502,,0.7-0.7-0.3,3,Feb/2021/850000.0/SOLD-May/2013/438500.0/SOLD-Nov/2000/200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-orcades-place-diamond-creek-vic-3089,Diamond Creek,861000,30-Jan-2021,3,1,2,613,m2,House,https://www.domain.com.au/1-orcades-place-diamond-creek-vic-3089-2016725982,,0.4-0.6-0.7,3,Jan/2021/861000.0/SOLD-Feb/2006/331502.0/SOLD-Oct/1983/59950.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99-lambert-street-diamond-creek-vic-3089,Diamond Creek,830000,19-Jan-2021,3,1,2,939,m2,House,https://www.domain.com.au/99-lambert-street-diamond-creek-vic-3089-2016729518,,0.6-1.7-1.2,3,Jan/2021/830000.0/SOLD-Sep/2019/475.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-windmill-rise-diamond-creek-vic-3089,Diamond Creek,939000,22-Dec-2020,3,2,2,692,m2,House,https://www.domain.com.au/7-windmill-rise-diamond-creek-vic-3089-2016677119,Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Study-Ducted gas heating-Evaporative Cooling,0.7-1-0.7,3,Dec/2020/939000.0/SOLD-Jun/2009/522000.0/SOLD-Feb/2003/420000.0/SOLD,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
58-60-dering-street-diamond-creek-vic-3089,Diamond Creek,835000,19-Dec-2020,3,2,2,3000,m2,House,https://www.domain.com.au/58-60-dering-street-diamond-creek-vic-3089-2016667672,Study*-Shed*-Garden*-Air conditioning-Heating-Close to transport-Close to shops-Close to schools-Ensuite,0.9-1.3-1,3,Dec/2020/835000.0/SOLD-Apr/2001/237500.0/SOLD-Aug/1988/180000.0/SOLD,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
