address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
7-carnarvon-road-essendon-vic-3040,Essendon,2060000,23-Oct-2021,2,1,2,560,m2,House,https://www.domain.com.au/7-carnarvon-road-essendon-vic-3040-2017295636,Gas*-Secure Parking*-Fireplace(s)*-Dishwasher*,0.6-1.6-7.6,3,Oct/2021/2060000.0/SOLD-May/1992/176000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8-bulla-road-essendon-vic-3040,Essendon,1638000,09-Oct-2021,2,1,1,505,m2,House,https://www.domain.com.au/8-bulla-road-essendon-vic-3040-2017272118,,0.6-1.6-7.5,3,Oct/2021/1638000.0/SOLD-Aug/1990/475.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72-fitzgerald-road-essendon-vic-3040,Essendon,1320000,17-Jul-2021,2,1,1,501,m2,House,https://www.domain.com.au/72-fitzgerald-road-essendon-vic-3040-2017092875,Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Garden*,0.6-1.7-8.9,3,Jul/2021/1320000.0/SOLD-Aug/2008/15000.0/SOLD,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14a-forrester-street-essendon-vic-3040,Essendon,849000,03-Jul-2021,2,1,1,162,m2,House,https://www.domain.com.au/14a-forrester-street-essendon-vic-3040-2017040099,,0.8-0.8-6.8,3,Jul/2021/849000.0/SOLD-Aug/2014/590000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64-market-street-essendon-vic-3040,Essendon,861000,05-Jun-2021,2,1,1,266,m2,House,https://www.domain.com.au/64-market-street-essendon-vic-3040-2016989148,Air conditioning*-Built in wardrobes*-Internal Laundry*-Bath*-Dishwasher*-Garden*,0.3-0.5-6.8,3,Jun/2021/861000.0/SOLD-Dec/2009/500000.0/SOLD-Dec/1988/142500.0/SOLD,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1-mcphail-street-essendon-vic-3040,Essendon,1745000,06-Aug-2020,2,1,4,674,m2,House,https://www.domain.com.au/1-mcphail-street-essendon-vic-3040-2016406253,,0.9-1.6-7.5,3,Aug/2020/1745000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-market-street-essendon-vic-3040,Essendon,1270000,11-Jul-2020,2,1,1,549,m2,House,https://www.domain.com.au/124-market-street-essendon-vic-3040-2016318084,,0.7-0.9-6.2,3,Jul/2020/1270000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69-nimmo-street-essendon-vic-3040,Essendon,1410000,20-Apr-2020,2,1,2,858,m2,House,https://www.domain.com.au/69-nimmo-street-essendon-vic-3040-2016135746,,0.1-0.9-6.3,3,Apr/2020/1410000.0/SOLD-Dec/1996/137000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34-elder-parade-essendon-vic-3040,Essendon,1124000,16-Mar-2020,2,1,1,402,m2,House,https://www.domain.com.au/34-elder-parade-essendon-vic-3040-2016135971,,1.1-1.2-7.2,3,Mar/2020/1124000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/82-cooper-street-essendon-vic-3040,Essendon,725000,07-Dec-2019,2,1,1,257,m2,Villa,https://www.domain.com.au/2-82-cooper-street-essendon-vic-3040-2015866399,,0.1-0.8-6.5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88-deakin-street-essendon-vic-3040,Essendon,1076000,30-Nov-2019,2,1,1,561,m2,House,https://www.domain.com.au/88-deakin-street-essendon-vic-3040-2015843800,,0.6-1-6.1,3,Nov/2019/1076000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
