address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
45-&-47-napier-street-footscray-vic-3011,Footscray,1715000,12-Dec-2016,1,1,4,316,m2,House,https://www.domain.com.au/45-47-napier-street-footscray-vic-3011-2013192786,,0.3-1.7-1.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-batman-street-footscray-vic-3011,Footscray,967500,23-Oct-2021,2,1,1,232,m2,House,https://www.domain.com.au/4-batman-street-footscray-vic-3011-2017281099,,0.3-0.5-1,3,Oct/2021/967500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265-ballarat-road-footscray-vic-3011,Footscray,800000,26-May-2021,2,1,2,550,m2,House,https://www.domain.com.au/265-ballarat-road-footscray-vic-3011-2017025876,Garden*,0.3-0.8-1.2,3,May/2021/800000.0/SOLD-Feb/1988/54000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1-white-street-footscray-vic-3011,Footscray,875000,27-Feb-2021,2,1,1,210,m2,House,https://www.domain.com.au/1-white-street-footscray-vic-3011-2016769230,,0.4-0.4-0.4,3,Feb/2021/875000.0/SOLD-Oct/1975/18800.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45c-adelaide-street-footscray-vic-3011,Footscray,656000,19-Dec-2020,2,2,1,124,m2,House,https://www.domain.com.au/45c-adelaide-street-footscray-vic-3011-2016656251,Study*-Garden*,0.5-0.7-0.9,3,Dec/2020/656000.0/SOLD-Feb/2015/230000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75-whitehall-street-footscray-vic-3011,Footscray,920000,08-Dec-2020,2,1,1,310,m2,House,https://www.domain.com.au/75-whitehall-street-footscray-vic-3011-2016660538,,0.4-1.8-1.8,3,Dec/2020/920000.0/SOLD-Nov/2000/190000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-macpherson-street-footscray-vic-3011,Footscray,780000,25-Nov-2020,2,1,1,148,m2,House,https://www.domain.com.au/21-macpherson-street-footscray-vic-3011-2016613691,Air conditioning*-Built in wardrobes*-Garden*,0.4-0.4-0.6,3,Nov/2020/780000.0/SOLD-May/2014/550000.0/SOLD-Jul/2004/335000.0/SOLD,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11-bunbury-street-footscray-vic-3011,Footscray,785000,02-May-2020,2,1,1,200,m2,House,https://www.domain.com.au/11-bunbury-street-footscray-vic-3011-2016205389,Close to transport-Close to shops-Close to schools,0.6-1.7-1.7,3,May/2020/785000.0/SOLD-Apr/1988/180.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10-coral-avenue-footscray-vic-3011,Footscray,855000,26-Oct-2019,2,1,2,416,m2,House,https://www.domain.com.au/10-coral-avenue-footscray-vic-3011-2015684392,,0.2-0.9-1.2,3,Oct/2019/855000.0/SOLD-May/1998/61375.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37-napier-street-footscray-vic-3011,Footscray,650000,21-Sep-2019,2,1,1,168,m2,House,https://www.domain.com.au/37-napier-street-footscray-vic-3011-2015548656,,0.3-1.8-1.8,3,Sep/2019/650000.0/SOLD-Oct/2007/340.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-summerhill-road-footscray-vic-3011,Footscray,905000,01-Nov-2018,2,2,2,340,m2,House,https://www.domain.com.au/85-summerhill-road-footscray-vic-3011-2014726687,,0.6-1.1-1.1,3,Aug/2019/705000.0/SOLD-Nov/2018/905000.0/SOLD-Apr/2006/345000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-mary-street-footscray-vic-3011,Footscray,850000,23-Oct-2018,2,1,2,252,m2,House,https://www.domain.com.au/6-mary-street-footscray-vic-3011-2014645866,,0.4-0.4-0.5,3,Oct/2018/520.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139-summerhill-road-footscray-vic-3011,Footscray,850000,30-Nov-2016,2,1,2,315,m2,House,https://www.domain.com.au/139-summerhill-road-footscray-vic-3011-2013229256,,0.6-1.3-1.3,3,Jun/2021/520.0/SOLD-Nov/2016/1040000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53-ryan-street-footscray-vic-3011,Footscray,1170000,15-Oct-2016,2,1,1,184,m2,House,https://www.domain.com.au/53-ryan-street-footscray-vic-3011-2013080009,Close to schools-Close to shops-Close to transport-Study,0.6-0.8-1.1,3,Oct/2016/1170000.0/SOLD-Jun/1987/61000.0/SOLD,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
51-ryan-street-footscray-vic-3011,Footscray,845000,02-Jul-2016,2,1,2,140,m2,House,https://www.domain.com.au/51-ryan-street-footscray-vic-3011-2012845257,Close to schools-Close to shops-Close to transport,0.6-0.8-1.1,3,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
98-creswick-street-footscray-vic-3011,Footscray,856000,05-Mar-2016,2,1,2,400,m2,House,https://www.domain.com.au/98-creswick-street-footscray-vic-3011-2012580885,,0.2-0.5-0.7,3,Sep/2019/550.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-stafford-street-footscray-vic-3011,Footscray,500000,11-May-2015,2,1,1,190,m2,House,https://www.domain.com.au/28-stafford-street-footscray-vic-3011-2011964305,Courtyard-Floorboards-Built in wardrobes,0.7-1-1,3,Feb/2016/450.0/SOLD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-dudley-street-footscray-vic-3011,Footscray,500000,11-May-2015,2,1,1,190,m2,House,https://www.domain.com.au/7-dudley-street-footscray-vic-3011-2011964303,Courtyard-Floorboards-Built in wardrobes,0.7-1-1,3,Mar/2016/536000.0/SOLD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67-lynch-street-footscray-vic-3011,Footscray,660000,23-Aug-2014,2,1,1,293,m2,House,https://www.domain.com.au/67-lynch-street-footscray-vic-3011-2011328966,,0.6-0.7-0.9,3,Aug/2014/660000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104-eleanor-street-footscray-vic-3011,Footscray,574000,09-Aug-2013,2,1,2,223,m2,House,https://www.domain.com.au/104-eleanor-street-footscray-vic-3011-2010581819,Polished Floorboards,0.7-0.9-1,3,Mar/2021/1000000.0/SOLD-Aug/2013/540.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
