address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
15-celia-street-glen-iris-vic-3146,Glen Iris,2200000,04-Dec-2021,2,1,2,650,m2,House,https://www.domain.com.au/15-celia-street-glen-iris-vic-3146-2017402469,,0.9-2.4-9.4,3,Dec/2021/2200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-nyora-road-glen-iris-vic-3146,Glen Iris,1980000,12-Dec-2020,2,1,2,643,m2,House,https://www.domain.com.au/2-nyora-road-glen-iris-vic-3146-2016643532,,0.7-2.6-10.3,3,Dec/2020/1980000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-lithgow-street-glen-iris-vic-3146,Glen Iris,1810000,03-Aug-2019,2,1,1,803,m2,House,https://www.domain.com.au/13-lithgow-street-glen-iris-vic-3146-2015425023,,0.3-2.4-8.9,3,Aug/2019/1810000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185-glen-iris-road-glen-iris-vic-3146,Glen Iris,1510000,13-Oct-2018,2,1,2,660,m2,House,https://www.domain.com.au/185-glen-iris-road-glen-iris-vic-3146-2014642782,,0.1-2.9-10.3,3,Oct/2018/650.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-lithgow-street-glen-iris-vic-3146,Glen Iris,1140000,15-Sep-2018,2,1,2,403,m2,House,https://www.domain.com.au/21-lithgow-street-glen-iris-vic-3146-2014583431,,0.4-2.4-9,3,Sep/2018/1140000.0/SOLD-Sep/2011/707500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9-maverston-street-glen-iris-vic-3146,Glen Iris,1186000,10-Feb-2018,2,1,2,233,m2,Villa,https://www.domain.com.au/3-9-maverston-street-glen-iris-vic-3146-2014071122,,0.7-2.4-9.1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193-glen-iris-road-glen-iris-vic-3146,Glen Iris,1800000,29-Nov-2017,2,1,1,760,m2,House,https://www.domain.com.au/193-glen-iris-road-glen-iris-vic-3146-2013968247,,0.1-3-10.3,3,Nov/2017/1800000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15-iris-road-glen-iris-vic-3146,Glen Iris,830000,16-Nov-2017,2,1,3,192,m2,Villa,https://www.domain.com.au/1-15-iris-road-glen-iris-vic-3146-2013693321,Secure Parking-Air conditioning-Floorboards-Built in wardrobes-Internal Laundry-Gas-Bath-Dishwasher-Fully fenced-Garden / Courtyard-Alarm System-Double glazed windows-Heating-Wall / ceiling insulation,0.4-1.5-9.3,3,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
20-nash-street-glen-iris-vic-3146,Glen Iris,1275000,05-Sep-2017,2,1,2,348,m2,House,https://www.domain.com.au/20-nash-street-glen-iris-vic-3146-2013775412,,1.3-1.8-7.9,3,Sep/2017/1275000.0/SOLD-Jul/2005/425000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-bardolph-street-glen-iris-vic-3146,Glen Iris,708000,19-Aug-2017,2,1,1,151,m2,Villa,https://www.domain.com.au/6-bardolph-street-glen-iris-vic-3146-2013739388,,0.6-2.4-9.1,3,Aug/2017/708000.0/SOLD-Mar/2013/445.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-ranelagh-court-glen-iris-vic-3146,Glen Iris,1372000,17-Jun-2017,2,1,2,391,m2,House,https://www.domain.com.au/3-ranelagh-court-glen-iris-vic-3146-2013609067,,0.3-2.2-8.9,3,Jun/2017/1372000.0/SOLD-May/2014/840000.0/SOLD-Dec/2000/275000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-montana-street-glen-iris-vic-3146,Glen Iris,1865000,10-Dec-2016,2,1,3,650,m2,House,https://www.domain.com.au/22-montana-street-glen-iris-vic-3146-2013233551,,0.7-2.1-9.5,3,Dec/2016/530.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56-wills-street-glen-iris-vic-3146,Glen Iris,920000,15-Oct-2016,2,1,2,334,m2,House,https://www.domain.com.au/56-wills-street-glen-iris-vic-3146-2013076701,,0.8-2.3-7.7,3,Dec/1994/380.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-albion-road-glen-iris-vic-3146,Glen Iris,1450000,05-Mar-2016,2,1,2,620,m2,House,https://www.domain.com.au/45-albion-road-glen-iris-vic-3146-2012592665,,0.6-3.1-10.9,3,Apr/2016/1450000.0/SOLD-Sep/1991/165000.0/SOLD-Feb/1986/85000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a-york-road-glen-iris-vic-3146,Glen Iris,730000,03-Aug-2013,2,1,1,303,m2,House,https://www.domain.com.au/1a-york-road-glen-iris-vic-3146-2010611405,,1-2.1-7.8,3,Oct/2017/900.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-barina-road-glen-iris-vic-3146,Glen Iris,2650000,04-Dec-2021,3,2,2,700,m2,House,https://www.domain.com.au/33-barina-road-glen-iris-vic-3146-2017388583,,0.2-2.9-10.2,3,Dec/2021/2650000.0/SOLD-Nov/2016/2130000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389-burke-road-glen-iris-vic-3146,Glen Iris,2113000,14-Oct-2021,3,1,4,639,m2,House,https://www.domain.com.au/389-burke-road-glen-iris-vic-3146-2017281265,,0.9-1.3-9.7,3,Oct/2021/2113000.0/SOLD-Sep/1989/241000.0/SOLD-Nov/1987/195000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44-rosedale-road-glen-iris-vic-3146,Glen Iris,2900000,09-Oct-2021,3,1,2,791,m2,House,https://www.domain.com.au/44-rosedale-road-glen-iris-vic-3146-2017234118,,0.5-2.9-10,3,Oct/2021/2900000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-dent-street-glen-iris-vic-3146,Glen Iris,2200000,07-Oct-2021,3,2,1,613,m2,House,https://www.domain.com.au/28-dent-street-glen-iris-vic-3146-2017190749,,0.8-2.8-10.8,3,Oct/2021/2200000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14a-peate-avenue-glen-iris-vic-3146,Glen Iris,2210000,07-Oct-2021,3,2,3,505,m2,House,https://www.domain.com.au/14a-peate-avenue-glen-iris-vic-3146-2017248267,,0.1-1.9-9.3,3,Oct/2021/2210000.0/SOLD-May/2005/495000.0/SOLD-Oct/1994/158000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-hope-street-glen-iris-vic-3146,Glen Iris,1900000,28-Aug-2021,3,1,3,449,m2,House,https://www.domain.com.au/28-hope-street-glen-iris-vic-3146-2017206713,Study,1.2-2.6-7.1,3,Aug/2021/1900000.0/SOLD-Mar/1986/73100.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-florence-street-glen-iris-vic-3146,Glen Iris,1905000,27-May-2021,3,2,2,667,m2,House,https://www.domain.com.au/10-florence-street-glen-iris-vic-3146-2016974762,,0.1-2.8-10.3,3,May/2021/1905000.0/SOLD-Sep/2018/1755000.0/SOLD-May/2006/660000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98b-summerhill-road-glen-iris-vic-3146,Glen Iris,1850000,22-May-2021,3,2,3,502,m2,House,https://www.domain.com.au/98b-summerhill-road-glen-iris-vic-3146-2016961951,Internal Laundry*-Secure Parking*-Heating*-Garden*,0.9-2.6-9.8,3,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10-yeovil-road-glen-iris-vic-3146,Glen Iris,1985000,01-May-2021,3,1,1,660,m2,House,https://www.domain.com.au/10-yeovil-road-glen-iris-vic-3146-2016920510,Heating-Open Fire Place,0.3-2.2-8.9,3,May/2021/1985000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-iris-road-glen-iris-vic-3146,Glen Iris,2120000,01-May-2021,3,2,2,418,m2,House,https://www.domain.com.au/30-iris-road-glen-iris-vic-3146-2016908826,Air conditioning-Heating-Built in wardrobes-Alarm System-Intercom-Vacuum System-Ensuite,0.5-1.5-9.4,3,May/2021/2120000.0/SOLD-Nov/2004/750000.0/SOLD,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31-florizel-street-glen-iris-vic-3146,Glen Iris,2637500,05-Apr-2021,3,2,2,780,m2,House,https://www.domain.com.au/31-florizel-street-glen-iris-vic-3146-2016925812,,0.8-2.3-9.5,3,Apr/2021/2637500.0/SOLD-Jul/2012/1500000.0/SOLD-Oct/1995/230000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-charles-street-glen-iris-vic-3146,Glen Iris,1910000,27-Mar-2021,3,1,2,677,m2,House,https://www.domain.com.au/23-charles-street-glen-iris-vic-3146-2016831930,,0.8-1.7-8.9,3,Mar/2021/1910000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-howie-street-glen-iris-vic-3146,Glen Iris,2060000,20-Mar-2021,3,1,2,655,m2,House,https://www.domain.com.au/4-howie-street-glen-iris-vic-3146-2016839744,,1-2.4-9.3,3,Mar/2021/500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-malvern-avenue-glen-iris-vic-3146,Glen Iris,2280000,27-Feb-2021,3,2,1,886,m2,House,https://www.domain.com.au/6-malvern-avenue-glen-iris-vic-3146-2016771818,Fireplace(s)*-Garden*-Balcony / Deck*,0.4-2.2-9.4,3,Feb/2021/625.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22-seaton-street-glen-iris-vic-3146,Glen Iris,1885000,22-Feb-2021,3,1,2,723,m2,House,https://www.domain.com.au/22-seaton-street-glen-iris-vic-3146-2016830056,,0.6-2.9-10.7,3,Feb/2021/1885000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-wilson-street-glen-iris-vic-3146,Glen Iris,2359000,01-Dec-2020,3,1,1,680,m2,House,https://www.domain.com.au/20-wilson-street-glen-iris-vic-3146-2016665165,,1-2.5-7.3,3,Dec/2020/2359000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62-florizel-street-glen-iris-vic-3146,Glen Iris,1760000,23-Nov-2020,3,1,3,650,m2,House,https://www.domain.com.au/62-florizel-street-glen-iris-vic-3146-2016545226,Air conditioning-Heating-Study,0.7-2.3-9.8,3,Nov/2020/1760000.0/SOLD,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-queens-parade-glen-iris-vic-3146,Glen Iris,1725000,10-Nov-2020,3,2,2,658,m2,House,https://www.domain.com.au/27-queens-parade-glen-iris-vic-3146-2016555598,,0.9-1.6-9,3,Nov/2020/850.0/SOLD-Jul/2018/1725000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46a-park-road-glen-iris-vic-3146,Glen Iris,1320000,30-Oct-2020,3,2,2,436,m2,House,https://www.domain.com.au/46a-park-road-glen-iris-vic-3146-2016489747,,0.8-1.6-9.8,3,Oct/2020/1320000.0/SOLD-Feb/2014/875000.0/SOLD-Jun/2009/851000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-hortense-street-glen-iris-vic-3146,Glen Iris,1785000,10-Aug-2020,3,1,2,650,m2,House,https://www.domain.com.au/12-hortense-street-glen-iris-vic-3146-2016381918,,0.8-2.3-9.4,3,Aug/2020/1785000.0/SOLD-Jul/2015/1760000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
