address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
32-church-street-keilor-vic-3036,720000,23-May-2016,2,1,1,613,m2,House,https://www.domain.com.au/32-church-street-keilor-vic-3036-2012753754,,0.5-2-4.3,3,May/2016/720000.0/SOLD-Dec/2014/330.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-church-street-keilor-vic-3036,690000,11-Dec-2014,2,1,2,613,m2,House,https://www.domain.com.au/32-church-street-keilor-vic-3036-2011600111,,0.5-2-4.3,3,May/2016/720000.0/SOLD-Dec/2014/330.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-flemming-court-keilor-vic-3036,1066000,10-Nov-2021,3,2,3,656,m2,House,https://www.domain.com.au/6-flemming-court-keilor-vic-3036-2017323101,Pets Allowed*-Heating*-Ensuite,1-1.7-3.8,3,Mar/2021/930000.0/SOLD-Feb/2018/780000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-albatross-court-keilor-vic-3036,962000,20-Oct-2021,3,2,4,588,m2,House,https://www.domain.com.au/10-albatross-court-keilor-vic-3036-2017290144,Built in wardrobes-Ensuite-Ducted Heating,1-1.2-4.2,3,Oct/2021/962000.0/SOLD-Jun/1997/125000.0/SOLD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-green-gully-road-keilor-vic-3036,784777,08-Oct-2021,3,1,2,590,m2,House,https://www.domain.com.au/40-green-gully-road-keilor-vic-3036-2017315482,,1-1.6-3.9,3,Oct/2021/784777.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47-patterson-avenue-keilor-vic-3036,765500,24-Jul-2021,3,1,2,553,m2,House,https://www.domain.com.au/47-patterson-avenue-keilor-vic-3036-2017108166,Air conditioning,1-1.3-4,3,Jul/2021/765500.0/SOLD-Sep/1979/47000.0/SOLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-barwon-avenue-keilor-vic-3036,960000,10-Jul-2021,3,2,2,537,m2,House,https://www.domain.com.au/21-barwon-avenue-keilor-vic-3036-2017077154,Internal Laundry*-Heating*-Study*-Garden*-Balcony / Deck*,1-1.1-4.5,3,Jul/2021/960000.0/SOLD-Feb/2016/530000.0/SOLD,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
12-gerona-street-keilor-vic-3036,990000,21-Apr-2021,3,2,2,773,m2,House,https://www.domain.com.au/12-gerona-street-keilor-vic-3036-2016907925,,0.5-1.8-4.9,3,Apr/2021/990000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-tambo-court-keilor-vic-3036,813000,17-Apr-2021,3,2,2,533,m2,House,https://www.domain.com.au/5-tambo-court-keilor-vic-3036-2016892070,,0.9-1.4-4.1,3,Apr/2021/813000.0/SOLD-Jul/2007/338000.0/SOLD-Oct/2001/255000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-parramatta-road-keilor-vic-3036,970000,31-Mar-2021,3,2,6,576,m2,House,https://www.domain.com.au/25-parramatta-road-keilor-vic-3036-2016821775,Balcony / Deck*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Security Alarm-Garden-Secure Parking-Floorboards-Formal Lounge,0.8-1.3-4.6,3,Jul/2021/970000.0/SOLD-Dec/2014/455000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
