address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
8-valnere-street-maribyrnong-vic-3032,Maribyrnong,1165000,05-Jun-2021,2,1,4,612,m2,House,https://www.domain.com.au/8-valnere-street-maribyrnong-vic-3032-2017000096,,0.4-0.6-2.6,3,Jun/2021/1165000.0/SOLD-Dec/1982/38000.0/SOLD-Mar/1977/30000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-leopold-street-maribyrnong-vic-3032,Maribyrnong,1160000,06-Apr-2019,2,2,3,865,m2,House,https://www.domain.com.au/10-leopold-street-maribyrnong-vic-3032-2015004726,,0.8-1.6-4.1,3,Apr/2019/450.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-leopold-street-maribyrnong-vic-3032,Maribyrnong,815000,27-Oct-2018,2,1,3,424,m2,House,https://www.domain.com.au/6-leopold-street-maribyrnong-vic-3032-2014676239,,0.8-1.6-4.2,3,Oct/2018/815000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/52-56-middle-road-maribyrnong-vic-3032,Maribyrnong,534000,06-Apr-2018,2,1,1,118,m2,Villa,https://www.domain.com.au/10-52-56-middle-road-maribyrnong-vic-3032-2014254222,Courtyard-Secure Parking,1.3-1.4-3.3,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-navigator-street-maribyrnong-vic-3032,Maribyrnong,960000,16-May-2015,2,1,2,799,m2,House,https://www.domain.com.au/19-navigator-street-maribyrnong-vic-3032-2011908228,,1-1.6-4,3,May/2015/960000.0/SOLD-Mar/2003/359000.0/SOLD-Feb/1998/139000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-kellaway-street-maribyrnong-vic-3032,Maribyrnong,1241000,04-Dec-2021,3,1,3,695,m2,House,https://www.domain.com.au/40-kellaway-street-maribyrnong-vic-3032-2017400539,,0.4-0.7-2.7,3,Dec/2021/1241000.0/SOLD-Oct/2003/350.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-gordon-street-maribyrnong-vic-3032,Maribyrnong,1405000,29-Oct-2021,3,1,2,573,m2,House,https://www.domain.com.au/18-gordon-street-maribyrnong-vic-3032-2017260607,Secure Parking*-Balcony / Deck*,0.6-0.7-3.1,3,Nov/2021/1405000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16-clyde-street-maribyrnong-vic-3032,Maribyrnong,1590000,31-Jul-2021,3,1,3,794,m2,House,https://www.domain.com.au/16-clyde-street-maribyrnong-vic-3032-2017120070,,0.9-1.6-4.1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96-raleigh-road-maribyrnong-vic-3032,Maribyrnong,770000,21-Apr-2021,3,1,1,455,m2,House,https://www.domain.com.au/96-raleigh-road-maribyrnong-vic-3032-2016931893,Air conditioning*-Gas*-Internal Laundry*-Secure Parking*-Fireplace(s)*-Dishwasher*-Study*-Garden*,1.2-1.4-3.3,3,Apr/2021/770000.0/SOLD-Jul/2007/425000.0/SOLD,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
338-gordon-street-maribyrnong-vic-3032,Maribyrnong,1220000,27-Mar-2021,3,1,2,596,m2,House,https://www.domain.com.au/338-gordon-street-maribyrnong-vic-3032-2016833702,,0.5-0.8-3.1,3,Mar/2021/1220000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-pridham-street-maribyrnong-vic-3032,Maribyrnong,1406000,27-Feb-2021,3,1,2,697,m2,House,https://www.domain.com.au/17-pridham-street-maribyrnong-vic-3032-2016729069,Garden*,0.3-0.8-3,3,Feb/2021/400.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4-navy-close-maribyrnong-vic-3032,Maribyrnong,848000,10-Oct-2020,3,2,2,163,m2,House,https://www.domain.com.au/4-navy-close-maribyrnong-vic-3032-2016509623,,1.2-1.7-3.2,3,Oct/2020/530.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-bracken-avenue-maribyrnong-vic-3032,Maribyrnong,1080000,08-Mar-2020,3,2,2,289,m2,House,https://www.domain.com.au/35-bracken-avenue-maribyrnong-vic-3032-2016115527,,0.7-1.1-1.3,3,Mar/2020/1080000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56-edgewater-boulervard-maribyrnong-vic-3032,Maribyrnong,1200000,28-Feb-2020,3,2,2,355,m2,House,https://www.domain.com.au/56-edgewater-boulervard-maribyrnong-vic-3032-2015737607,,0.6-0.8-0.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-duffy-street-maribyrnong-vic-3032,Maribyrnong,1367000,16-Nov-2019,3,2,7,696,m2,House,https://www.domain.com.au/21-duffy-street-maribyrnong-vic-3032-2015700738,Air conditioning-Floorboards-Intercom-Built in wardrobes-Internal Laundry-Pets Allowed-Cable or Satellite-Gas-Broadband internet access-Bath-Fireplace(s)-Heating-Dishwasher-Secure Parking-Fully fenced-Balcony / Deck-Garden / Courtyard-North Facing-City Views-Wall / ceiling insulation-Close to schools-Close to shops-Close to transport,1-1.4-3.5,3,Nov/2021/1830000.0/SOLD-Nov/2019/1367000.0/SOLD,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0
4-valnere-street-maribyrnong-vic-3032,Maribyrnong,930100,07-Nov-2019,3,1,2,513,m2,House,https://www.domain.com.au/4-valnere-street-maribyrnong-vic-3032-2015802831,,0.5-0.6-2.6,3,Nov/2019/930100.0/SOLD-Mar/1988/100000.0/SOLD-Dec/1984/65500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-newstead-street-maribyrnong-vic-3032,Maribyrnong,1205000,07-Sep-2019,3,1,4,927,m2,House,https://www.domain.com.au/3-newstead-street-maribyrnong-vic-3032-2015522743,,1.2-1.4-3.8,3,Sep/2019/1205000.0/SOLD-Nov/2018/1200000.0/SOLD-Feb/1979/43500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-alameda-avenue-maribyrnong-vic-3032,Maribyrnong,1010000,23-Aug-2019,3,2,2,691,m2,House,https://www.domain.com.au/19-alameda-avenue-maribyrnong-vic-3032-2014957705,,1.1-1.4-3.5,3,Aug/2019/1010000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-duffy-street-maribyrnong-vic-3032,Maribyrnong,1200000,30-Mar-2019,3,1,2,696,m2,House,https://www.domain.com.au/17-duffy-street-maribyrnong-vic-3032-2014977997,,1-1.4-3.6,3,Mar/2019/1200000.0/SOLD-Jun/1978/55000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-newstead-street-maribyrnong-vic-3032,Maribyrnong,1200000,12-Nov-2018,3,1,3,914,m2,House,https://www.domain.com.au/3-newstead-street-maribyrnong-vic-3032-2014661959,,1.2-1.4-3.8,3,Sep/2019/1205000.0/SOLD-Nov/2018/1200000.0/SOLD-Feb/1979/43500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44-pridham-street-maribyrnong-vic-3032,Maribyrnong,1115000,31-Oct-2018,3,1,2,696,m2,House,https://www.domain.com.au/44-pridham-street-maribyrnong-vic-3032-2014636671,,0.3-0.8-2.7,3,Oct/2018/490.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-randall-street-maribyrnong-vic-3032,Maribyrnong,1220000,14-Jul-2018,3,1,2,754,m2,House,https://www.domain.com.au/18-randall-street-maribyrnong-vic-3032-2014439977,,1.3-1.4-3.2,3,Jul/2018/500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
