address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
2/22-romeo-court-mill-park-vic-3082,635000,13-Nov-2021,2,1,1,517,m2,House,https://www.domain.com.au/2-22-romeo-court-mill-park-vic-3082-2017342428,Heating*-Air conditioning-Built in wardrobes-Internal Laundry-Pets Allowed-Dishwasher-Secure Parking-Shed-Fully fenced-Garden / Courtyard,1.1-1.6-5.1,3,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1/9-mayfield-drive-mill-park-vic-3082,590000,30-Oct-2021,2,1,1,318,m2,House,https://www.domain.com.au/1-9-mayfield-drive-mill-park-vic-3082-2017304510,Heating*-Air conditioning-Built in wardrobes-Internal Laundry-Secure Parking-Fully fenced-Garden / Courtyard,0.3-1.3-4.8,3,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1/2-comeram-court-mill-park-vic-3082,672000,17-Oct-2021,2,1,1,332,m2,House,https://www.domain.com.au/1-2-comeram-court-mill-park-vic-3082-2017272741,Built in wardrobes*-Heating*-Floorboards-Internal Laundry-Secure Parking-Fully fenced-Garden / Courtyard,0.7-1-3.9,3,,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
85-pindari-avenue-mill-park-vic-3082,620000,10-Oct-2021,2,1,1,268,m2,House,https://www.domain.com.au/85-pindari-avenue-mill-park-vic-3082-2017256720,Secure Parking*-Heating*,0.1-1.3-3.4,3,Oct/2021/620000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-manning-clark-road-mill-park-vic-3082,530000,17-Jul-2021,2,1,2,225,m2,House,https://www.domain.com.au/21-manning-clark-road-mill-park-vic-3082-2017101394,Internal Laundry*-Secure Parking*-Bath*-Garden*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Window Treatments,0.6-1.3-4,3,Jul/2021/530000.0/SOLD,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
2/79-woolnough-drive-mill-park-vic-3082,460000,22-May-2021,2,1,1,190,m2,House,https://www.domain.com.au/2-79-woolnough-drive-mill-park-vic-3082-2016968860,Built in wardrobes*-Secure Parking*-Heating*-Garden*,0.7-0.8-2.6,3,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/3-scullin-court-mill-park-vic-3082,530000,10-May-2021,2,2,1,147,m2,House,https://www.domain.com.au/2-3-scullin-court-mill-park-vic-3082-2016905678,Secure Parking*-Heating*-Garden*,0.9-1.3-5,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18-packard-course-mill-park-vic-3082,555000,19-Dec-2020,2,1,1,343,m2,House,https://www.domain.com.au/18-packard-course-mill-park-vic-3082-2016671817,Secure Parking*-Heating*,0.9-1.2-4.6,3,Dec/2020/555000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51-hawkes-drive-mill-park-vic-3082,543250,28-Nov-2020,2,1,1,314,m2,House,https://www.domain.com.au/51-hawkes-drive-mill-park-vic-3082-2016599606,Built in wardrobes*-Secure Parking*-Broadband internet access*-Heating*-Shed*-Garden*,0.6-0.9-2.1,3,Nov/2020/543250.0/SOLD-Aug/1997/101000.0/SOLD,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184a-roycroft-avenue-mill-park-vic-3082,510000,14-Nov-2020,2,1,1,299,m2,House,https://www.domain.com.au/184a-roycroft-avenue-mill-park-vic-3082-2016569297,,0.8-1.6-3,3,Nov/2020/510000.0/SOLD-Nov/2016/385000.0/SOLD-Jun/2007/240000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
