address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
69-oakover-road-preston-vic-3072,1150000,25-Nov-2021,2,1,2,488,m2,House,https://www.domain.com.au/69-oakover-road-preston-vic-3072-2017273927,,0.1-1.7-1.7,3,Nov/2021/1150000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-emerald-street-preston-vic-3072,855000,19-Nov-2021,2,1,1,508,m2,House,https://www.domain.com.au/28-emerald-street-preston-vic-3072-2017289700,,0.7-1.1-1.1,3,Nov/2021/855000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-mount-street-preston-vic-3072,1460000,06-Nov-2021,2,1,1,650,m2,House,https://www.domain.com.au/3-mount-street-preston-vic-3072-2017315286,Shed,0.6-1.3-2.3,3,Nov/2021/1460000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-beatrice-street-preston-vic-3072,960000,30-Oct-2021,2,1,1,524,m2,House,https://www.domain.com.au/25-beatrice-street-preston-vic-3072-2017299465,,0.3-0.5-1.7,3,Oct/2021/960000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41a-regent-street-preston-vic-3072,760000,02-Oct-2021,2,1,2,329,m2,House,https://www.domain.com.au/41a-regent-street-preston-vic-3072-2017175779,,0.9-1.3-2.7,3,Oct/2021/760000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-ivy-street-preston-vic-3072,865000,24-Sep-2021,2,2,1,70,m2,House,https://www.domain.com.au/10-ivy-street-preston-vic-3072-2017261791,,0.2-1.6-2,3,Sep/2021/865000.0/SOLD-Aug/2017/680000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-james-street-preston-vic-3072,1050000,28-Aug-2021,2,1,1,420,m2,House,https://www.domain.com.au/23-james-street-preston-vic-3072-2017133351,,1-1.1-2.8,3,Aug/2021/1050000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68-dunstan-street-preston-vic-3072,960000,30-Jul-2021,2,1,3,581,m2,House,https://www.domain.com.au/68-dunstan-street-preston-vic-3072-2017092283,Internal Laundry*-Garden*,0.1-1.5-3.7,3,Jul/2021/960000.0/SOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131b-albert-street-preston-vic-3072,700000,17-Jul-2021,2,1,2,265,m2,House,https://www.domain.com.au/131b-albert-street-preston-vic-3072-2017088084,Air conditioning*-Secure Parking*-Bath*-Heating*-Garden*,0.3-0.6-1.6,3,Jul/2021/700000.0/SOLD-Nov/2016/550000.0/SOLD-Oct/2015/510000.0/SOLD,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57-jensen-road-preston-vic-3072,840000,12-Jul-2021,2,1,2,494,m2,House,https://www.domain.com.au/57-jensen-road-preston-vic-3072-2017034397,,0.3-0.7-1.6,3,Jul/2021/840000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
