address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
53-ayr-street-reservoir-vic-3073,Reservoir,810000,04-Nov-2017,1,1,1,800,m2,House,https://www.domain.com.au/53-ayr-street-reservoir-vic-3073-2013652795,,1-2.1-1.2,3,Nov/2017/810000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-bryan-street-reservoir-vic-3073,Reservoir,560000,13-Jun-2015,1,1,1,476,m2,House,https://www.domain.com.au/6-bryan-street-reservoir-vic-3073-2011980289,Close to schools-Close to shops-Close to transport,0.5-2.1-2.3,3,Jun/2015/560000.0/SOLD-Oct/2007/362000.0/SOLD-Feb/2001/152500.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4/24-charlton-crescent-reservoir-vic-3073,Reservoir,255000,23-Sep-2013,1,1,1,113,m2,House,https://www.domain.com.au/4-24-charlton-crescent-reservoir-vic-3073-2010637006,,0.4-0.7-0.8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-autumndale-avenue-reservoir-vic-3073,Reservoir,990000,24-Nov-2021,2,1,1,586,m2,House,https://www.domain.com.au/10-autumndale-avenue-reservoir-vic-3073-2017380081,,0.4-2-0.7,3,Nov/2021/990000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-chenies-street-reservoir-vic-3073,Reservoir,720000,05-Nov-2021,2,1,1,170,m2,House,https://www.domain.com.au/24-chenies-street-reservoir-vic-3073-2017245079,Secure Parking*-Heating*,0.8-1.4-0.8,3,Nov/2021/720000.0/SOLD-May/2018/645000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-clingin-street-reservoir-vic-3073,Reservoir,820000,04-Nov-2021,2,1,1,579,m2,House,https://www.domain.com.au/27-clingin-street-reservoir-vic-3073-2017125461,,0.7-0.8-5.6,3,Nov/2021/820000.0/SOLD-Oct/2008/285000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-landy-street-reservoir-vic-3073,Reservoir,870000,03-Nov-2021,2,1,1,574,m2,House,https://www.domain.com.au/12-landy-street-reservoir-vic-3073-2017316657,Gas*-Bath*-Study,1.3-1.9-6,3,Nov/2021/870000.0/SOLD-Nov/2001/190000.0/SOLD-May/1998/89000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-seston-street-reservoir-vic-3073,Reservoir,980000,23-Oct-2021,2,1,2,708,m2,House,https://www.domain.com.au/31-seston-street-reservoir-vic-3073-2017288470,,0.5-1-5.5,3,Oct/2021/980000.0/SOLD-Jul/2011/455000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69-keon-parade-reservoir-vic-3073,Reservoir,617500,16-Oct-2021,2,1,1,309,m2,House,https://www.domain.com.au/69-keon-parade-reservoir-vic-3073-2017171589,Internal Laundry*-Heating*-Garden*,1.1-1.1-0.7,3,Oct/2021/617500.0/SOLD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40-liston-avenue-reservoir-vic-3073,Reservoir,700000,15-Oct-2021,2,1,2,233,m2,House,https://www.domain.com.au/40-liston-avenue-reservoir-vic-3073-2017299711,Secure Parking*-Heating*,1-1.3-0.7,3,Oct/2021/700000.0/SOLD-Apr/2019/482000.0/SOLD-Aug/2009/315000.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
