address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
56-farmer-street-richmond-vic-3121,Richmond,1375000,14-Aug-2021,2,1,1,138,m2,House,https://www.domain.com.au/56-farmer-street-richmond-vic-3121-2017137677,Air conditioning*-Secure Parking*-Dishwasher*-Shed*,0.6-0.9-1.2,3,Aug/2021/1375000.0/SOLD-Jun/2018/1205000.0/SOLD-May/2014/856000.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71-neptune-street-richmond-vic-3121,Richmond,1461000,26-Jun-2021,2,1,2,185,m2,House,https://www.domain.com.au/71-neptune-street-richmond-vic-3121-2017052000,,0.6-0.7-0.7,3,Jun/2021/1461000.0/SOLD-May/2018/600.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-davison-street-richmond-vic-3121,Richmond,957000,14-May-2021,2,1,1,200,m2,House,https://www.domain.com.au/60-davison-street-richmond-vic-3121-2016925691,Internal Laundry*,0.1-0.6-0.6,3,May/2021/957000.0/SOLD-Nov/1993/162500.0/SOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48-parkville-street-richmond-vic-3121,Richmond,1360000,05-Feb-2021,2,1,1,232,m2,House,https://www.domain.com.au/48-parkville-street-richmond-vic-3121-2016598951,,0.7-1.1-1.5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-bennett-street-richmond-vic-3121,Richmond,1035000,10-Jul-2020,2,1,1,177,m2,House,https://www.domain.com.au/9-bennett-street-richmond-vic-3121-2016333771,,0.3-0.7-0.7,3,Jul/2020/1034999.9999999999/SOLD-Oct/2018/920000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33-wellington-street-richmond-vic-3121,Richmond,1051000,02-Apr-2020,2,1,2,192,m2,House,https://www.domain.com.au/33-wellington-street-richmond-vic-3121-2016145887,,1-1.4-1.5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-coppin-street-richmond-vic-3121,Richmond,1170000,23-Jul-2019,2,1,2,180,m2,House,https://www.domain.com.au/40-coppin-street-richmond-vic-3121-2015470442,,0.1-0.2-0.5,3,Jul/2019/1170000.0/SOLD-Sep/2013/878000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-tudor-street-richmond-vic-3121,Richmond,1200000,26-Nov-2018,2,1,3,285,m2,House,https://www.domain.com.au/26-tudor-street-richmond-vic-3121-2014717930,,0.2-0.6-1,3,Nov/2018/1200000.0/SOLD-Nov/2013/845000.0/SOLD-Nov/1981/48250.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251-church-street-richmond-vic-3121,Richmond,1341000,20-Oct-2018,2,2,1,212,m2,House,https://www.domain.com.au/251-church-street-richmond-vic-3121-2014659575,,0.3-0.4-0.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-gwynne-street-richmond-vic-3121,Richmond,900000,10-Oct-2018,2,1,1,135,m2,House,https://www.domain.com.au/130-gwynne-street-richmond-vic-3121-2014583785,,0.7-1.8-1.8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-newry-street-richmond-vic-3121,Richmond,1459000,21-Apr-2018,2,1,1,232,m2,House,https://www.domain.com.au/2-newry-street-richmond-vic-3121-2014273852,,0.7-0.8-0.9,3,Apr/2018/1459000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-rotherwood-street-richmond-vic-3121,Richmond,1282500,28-Oct-2017,2,1,1,167,m2,House,https://www.domain.com.au/17-rotherwood-street-richmond-vic-3121-2013897798,,0.7-0.9-0.9,3,Oct/2017/650.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61-fraser-street-richmond-vic-3121,Richmond,1170000,21-Oct-2017,2,1,1,151,m2,House,https://www.domain.com.au/61-fraser-street-richmond-vic-3121-2013882672,,0.6-0.7-0.7,3,Oct/2017/700.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-chestnut-street-richmond-vic-3121,Richmond,1200000,07-Oct-2017,2,1,1,144,m2,House,https://www.domain.com.au/17-chestnut-street-richmond-vic-3121-2013849920,,0.5-1.2-1.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42-brighton-street-richmond-vic-3121,Richmond,1220000,17-Jun-2017,2,1,1,168,m2,House,https://www.domain.com.au/42-brighton-street-richmond-vic-3121-2013612600,,0.2-1.2-1.3,3,Jun/2017/1220000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
