address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
122-argyle-street-st-kilda-vic-3182,1352000,23-Dec-2020,2,1,1,287,m2,House,https://www.domain.com.au/122-argyle-street-st-kilda-vic-3182-2016631954,,0.7-2.2-5.1,3,Dec/2020/1352000.0/SOLD-Feb/1998/360.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-nelson-street-st-kilda-vic-3182,835000,24-Nov-2020,2,1,1,120,m2,House,https://www.domain.com.au/24-nelson-street-st-kilda-vic-3182-2016567295,,0.8-1-2.9,3,Nov/2020/835000.0/SOLD-Aug/2007/301.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12a-chaucer-street-st-kilda-vic-3182,1028000,30-Jul-2020,2,1,1,132,m2,House,https://www.domain.com.au/12a-chaucer-street-st-kilda-vic-3182-2016218508,Close to schools-Close to shops-Close to transport-Garden,0.8-1.5-4.8,3,Jul/2020/1028000.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
38-chapel-street-st-kilda-vic-3182,967000,05-Oct-2019,2,1,1,184,m2,House,https://www.domain.com.au/38-chapel-street-st-kilda-vic-3182-2015634162,,0.6-2-5.3,3,Oct/2019/967000.0/SOLD-Sep/1996/145000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-dalgety-lane-st-kilda-vic-3182,1300000,18-Mar-2017,2,1,1,137,m2,House,https://www.domain.com.au/15-dalgety-lane-st-kilda-vic-3182-2013407602,Air conditioning-Close to schools-Close to shops-Close to transport-Fireplace(s)-Garden-Secure Parking-Floorboards-Terrace-Balcony,0.3-2.4-4.3,3,Mar/2017/1300000.0/SOLD,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
18-odessa-street-st-kilda-vic-3182,1435000,23-Feb-2017,2,1,1,225,m2,House,https://www.domain.com.au/18-odessa-street-st-kilda-vic-3182-2013357231,,0.9-2.2-5,3,Feb/2017/895.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54-pakington-street-st-kilda-vic-3182,1220000,14-May-2016,2,1,1,212,m2,House,https://www.domain.com.au/54-pakington-street-st-kilda-vic-3182-2012744305,,0.4-1.8-5.2,3,May/2016/1220000.0/SOLD-Nov/2008/742500.0/SOLD-Sep/2004/420000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-somerset-street-st-kilda-vic-3182,1800000,19-Nov-2021,3,2,2,324,m2,House,https://www.domain.com.au/8-somerset-street-st-kilda-vic-3182-2017391248,,1-2.3-4.7,3,Dec/2021/1800000.0/SOLD-Dec/2008/501.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74-chaucer-street-st-kilda-vic-3182,3216000,14-Dec-2019,3,1,1,472,m2,House,https://www.domain.com.au/74-chaucer-street-st-kilda-vic-3182-2015902595,,0.8-1.2-5.1,3,Dec/2019/3216000.0/SOLD-Aug/1995/410000.0/SOLD-Nov/1979/50000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-marriott-street-st-kilda-vic-3182,1020000,18-May-2019,3,2,2,230,m2,House,https://www.domain.com.au/3-marriott-street-st-kilda-vic-3182-2015211945,,0.7-2.1-5,3,May/2019/1020000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
