address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
67-shepherd-street-surrey-hills-vic-3127,Surrey Hills,1244000,31-Jul-2021,2,1,1,265,m2,House,https://www.domain.com.au/67-shepherd-street-surrey-hills-vic-3127-2017092090,Air conditioning*-Gas*-Internal Laundry*-Secure Parking*-Heating*-Balcony / Deck*,1.3-2.6-2.7,3,Jul/2021/1244000.0/SOLD-Nov/1996/152500.0/SOLD-Aug/1992/155000.0/SOLD,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36-glendale-street-surrey-hills-vic-3127,Surrey Hills,990000,01-May-2021,2,1,1,256,m2,House,https://www.domain.com.au/36-glendale-street-surrey-hills-vic-3127-2016455203,,0.8-2.4-6.7,3,May/2021/990000.0/SOLD-Mar/2009/465000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/51-empress-road-surrey-hills-vic-3127,Surrey Hills,1252000,13-Mar-2021,2,2,2,298,m2,House,https://www.domain.com.au/1-51-empress-road-surrey-hills-vic-3127-2016812884,Internal Laundry*-Secure Parking*-Fireplace(s)*-Dishwasher*-Garden*,0.4-1.9-2,3,,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1-harding-street-surrey-hills-vic-3127,Surrey Hills,1650000,13-May-2020,2,2,2,963,m2,House,https://www.domain.com.au/1-harding-street-surrey-hills-vic-3127-2016201513,,0.6-2.1-2.8,3,May/2020/1650000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269-elgar-road-surrey-hills-vic-3127,Surrey Hills,1140000,02-May-2020,2,1,1,630,m2,House,https://www.domain.com.au/269-elgar-road-surrey-hills-vic-3127-2016115970,,1.2-2.6-2.6,3,May/2020/400.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-glendale-street-surrey-hills-vic-3127,Surrey Hills,1510000,22-Feb-2020,2,1,1,629,m2,House,https://www.domain.com.au/7-glendale-street-surrey-hills-vic-3127-2016034251,,0.9-2.4-7,3,Feb/2020/1510000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-edyvean-street-surrey-hills-vic-3127,Surrey Hills,1545000,28-Oct-2019,2,1,2,666,m2,House,https://www.domain.com.au/4-edyvean-street-surrey-hills-vic-3127-2015627213,,0.6-2.4-2.8,3,Oct/2019/1545000.0/SOLD-Jan/1978/34400.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-sunbury-crescent-surrey-hills-vic-3127,Surrey Hills,1560000,29-Nov-2018,2,1,2,1260,m2,House,https://www.domain.com.au/13-sunbury-crescent-surrey-hills-vic-3127-2014680241,,0.6-2-2.2,3,Nov/2018/1560000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47-warrigal-road-surrey-hills-vic-3127,Surrey Hills,1235000,12-Dec-2017,2,1,2,670,m2,House,https://www.domain.com.au/47-warrigal-road-surrey-hills-vic-3127-2013968942,,0.6-2.3-6.5,3,Sep/2019/1275000.0/SOLD-Dec/2017/475.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-frimley-road-surrey-hills-vic-3127,Surrey Hills,1376000,18-Nov-2017,2,1,2,337,m2,House,https://www.domain.com.au/4-frimley-road-surrey-hills-vic-3127-2013948828,,0.6-1.9-2.3,3,Mar/2018/1376000.0/SOLD-Dec/2003/366500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
