address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
8-hopetoun-road-toorak-vic-3142,Toorak,8000000,16-Apr-2020,1,1,1,1233,m2,House,https://www.domain.com.au/8-hopetoun-road-toorak-vic-3142-2014985962,,0.9-1.8-7.7,3,May/2020/8000000.0/SOLD-May/2014/5500000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-hopetoun-road-toorak-vic-3142,Toorak,8000000,16-Apr-2020,1,1,1,1233,m2,House,https://www.domain.com.au/8-hopetoun-road-toorak-vic-3142-2016110988,,0.9-1.8-7.7,3,May/2020/8000000.0/SOLD-May/2014/5500000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-balfour-street-toorak-vic-3142,Toorak,4550000,16-Apr-2019,2,2,2,645,m2,House,https://www.domain.com.au/8-balfour-street-toorak-vic-3142-2014933281,,1.5-1.8-1.9,3,Jun/2021/11300000.0/SOLD-Apr/2019/4550000.0/SOLD-Mar/1983/186000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-washington-street-toorak-vic-3142,Toorak,2335000,30-Mar-2019,2,1,2,308,m2,House,https://www.domain.com.au/14-washington-street-toorak-vic-3142-2014985048,,0.8-1.8-2,3,Mar/2019/2335000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-mell-street-toorak-vic-3142,Toorak,1062500,04-Aug-2018,2,1,-1,109,m2,House,https://www.domain.com.au/10-mell-street-toorak-vic-3142-2014485150,Built in wardrobes-Dishwasher-Floorboards-Heating-Fireplace(s)-Garden / Courtyard,0.4-1.4-2.8,3,Apr/2021/570.0/SOLD-Aug/2018/1320000.0/SOLD,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3-nola-court-toorak-vic-3142,Toorak,3615000,26-Feb-2016,2,2,2,690,m2,House,https://www.domain.com.au/3-nola-court-toorak-vic-3142-2012562810,,0.4-2.6-6.7,3,Oct/2020/13700000.0/SOLD-Sep/2017/4810000.0/SOLD-Feb/2016/3615000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97-canterbury-road-toorak-vic-3142,Toorak,5000000,18-Nov-2020,3,2,4,315,m2,House,https://www.domain.com.au/97-canterbury-road-toorak-vic-3142-2016593035,,0.1-1.8-2.4,3,Nov/2020/5000000.0/SOLD-May/2009/750.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15b-woodside-crescent-toorak-vic-3142,Toorak,2970000,12-Oct-2020,3,2,4,248,m2,House,https://www.domain.com.au/15b-woodside-crescent-toorak-vic-3142-2016470070,,0.4-1.6-2.4,3,Oct/2020/2970000.0/SOLD-Dec/2018/2700000.0/SOLD-Nov/1999/1050000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-torresdale-court-toorak-vic-3142,Toorak,3600000,16-May-2020,3,3,2,383,m2,House,https://www.domain.com.au/11-torresdale-court-toorak-vic-3142-2016154052,,1.4-1.6-2.2,3,May/2020/1950.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673-orrong-road-toorak-vic-3142,Toorak,2700000,17-Mar-2020,3,2,2,490,m2,House,https://www.domain.com.au/673-orrong-road-toorak-vic-3142-2016098133,,0.3-2.1-2.4,3,Mar/2020/1495.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
