address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
3a/150-168-bulban-road-werribee-vic-3030,Werribee,175000,05-Jul-2019,1,1,1,150,m2,House,https://www.domain.com.au/3a-150-168-bulban-road-werribee-vic-3030-2015310407,,1.2-3.3-2.3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138-werribee-street-north-werribee-vic-3030,Werribee,2590000,08-Nov-2016,1,1,1,4466,m2,House,https://www.domain.com.au/138-werribee-street-north-werribee-vic-3030-2012875188,,0.8-1.1-0.4,3,May/2018/1056000.0/SOLD-Oct/2016/737000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-flourish-way-werribee-vic-3030,Werribee,445000,03-Nov-2021,2,1,1,130,m2,House,https://www.domain.com.au/8-flourish-way-werribee-vic-3030-2017340123,,0.4-3-2.1,3,Nov/2021/445000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-perez-court-werribee-vic-3030,Werribee,478000,20-Oct-2021,2,1,1,501,m2,House,https://www.domain.com.au/11-perez-court-werribee-vic-3030-2017418748,,0.3-1.4-0.2,3,Oct/2021/478000.0/SOLD-Mar/2006/190000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-market-road-werribee-vic-3030,Werribee,500000,18-Oct-2021,2,1,2,535,m2,House,https://www.domain.com.au/115-market-road-werribee-vic-3030-2016332957,,0.4-1-1.1,3,Oct/2021/500000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-cottrell-street-werribee-vic-3030,Werribee,800000,04-Oct-2021,2,1,2,534,m2,House,https://www.domain.com.au/6-cottrell-street-werribee-vic-3030-2017243463,,1-1.1-0.7,3,Sep/2021/350.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-perez-court-werribee-vic-3030,Werribee,390000,28-Sep-2021,2,1,1,337,m2,House,https://www.domain.com.au/1-perez-court-werribee-vic-3030-2017033282,,0.3-1.5-0.1,3,Sep/2021/390000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/39-songlark-crescent-werribee-vic-3030,Werribee,382000,26-Aug-2021,2,1,1,308,m2,House,https://www.domain.com.au/2-39-songlark-crescent-werribee-vic-3030-2017154878,,0.8-1.8-0.8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-glen-street-werribee-vic-3030,Werribee,680000,17-Aug-2021,2,1,1,713,m2,House,https://www.domain.com.au/3-glen-street-werribee-vic-3030-2017387985,,1.1-1.2-0.8,3,Aug/2021/680000.0/SOLD-Mar/2017/310.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-glen-street-werribee-vic-3030,Werribee,680000,17-Aug-2021,2,1,1,713,m2,House,https://www.domain.com.au/3-glen-street-werribee-vic-3030-2017171620,Built in wardrobes*-Gas*-Secure Parking*-Garden*,1.1-1.2-0.8,3,Aug/2021/680000.0/SOLD-Mar/2017/310.0/SOLD,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
