address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
99-cole-street-williamstown-vic-3016,Williamstown,1605000,13-Nov-2021,2,1,1,286,m2,House,https://www.domain.com.au/99-cole-street-williamstown-vic-3016-2017325526,,0.6-0.8-10.7,3,Nov/2021/1605000.0/SOLD-May/2003/600000.0/SOLD-Aug/1985/57800.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-violet-street-williamstown-vic-3016,Williamstown,1100000,14-Aug-2021,2,2,3,465,m2,House,https://www.domain.com.au/11-violet-street-williamstown-vic-3016-2017143085,Internal Laundry*-Secure Parking*-Shed*-Garden*-Balcony / Deck*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools,1.1-1.1-8.3,3,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
17-james-street-williamstown-vic-3016,Williamstown,1262500,06-Jul-2021,2,1,1,214,m2,House,https://www.domain.com.au/17-james-street-williamstown-vic-3016-2016936497,,0.7-1.3-9.5,3,Jun/2021/1262500.0/SOLD-Aug/2010/750000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82-yarra-street-williamstown-vic-3016,Williamstown,1320000,26-Mar-2021,2,2,3,437,m2,House,https://www.domain.com.au/82-yarra-street-williamstown-vic-3016-2016848162,,0.6-0.9-8.4,3,Mar/2021/1320000.0/SOLD-Feb/1989/187500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-aitken-st-williamstown-vic-3016,Williamstown,905000,18-Mar-2021,2,1,1,185,m2,House,https://www.domain.com.au/123-aitken-st-williamstown-vic-3016-2016391330,,0.2-0.5-10,3,Dec/2020/905000.0/SOLD-Mar/1988/102000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-union-street-williamstown-vic-3016,Williamstown,1050000,17-Mar-2021,2,1,2,229,m2,House,https://www.domain.com.au/9-union-street-williamstown-vic-3016-2016569921,,0.4-1-9,3,Mar/2021/1050000.0/SOLD-Apr/2018/884000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91a-yarra-street-williamstown-vic-3016,Williamstown,1087000,16-Nov-2019,2,1,1,327,m2,House,https://www.domain.com.au/91a-yarra-street-williamstown-vic-3016-2015796920,,0.6-0.9-8.5,3,Nov/2019/1087000.0/SOLD-Jun/2001/317500.0/SOLD-Dec/1998/235000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-union-street-williamstown-vic-3016,Williamstown,916000,12-Oct-2019,2,1,3,230,m2,House,https://www.domain.com.au/1-union-street-williamstown-vic-3016-2015628384,,0.4-1.1-9,3,Oct/2019/916000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153-ferguson-street-williamstown-vic-3016,Williamstown,875000,08-Oct-2019,2,1,1,192,m2,House,https://www.domain.com.au/153-ferguson-street-williamstown-vic-3016-2015627520,,0.3-0.5-9.3,3,Oct/2019/875000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-panama-street-williamstown-vic-3016,Williamstown,720000,21-May-2019,2,1,2,179,m2,House,https://www.domain.com.au/7-panama-street-williamstown-vic-3016-2015255864,,0.2-0.5-10,3,May/2019/720000.0/SOLD-Apr/2012/502000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-tobruk-crescent-williamstown-vic-3016,Williamstown,1350000,04-Apr-2019,2,1,1,511,m2,House,https://www.domain.com.au/2-tobruk-crescent-williamstown-vic-3016-2014959689,,0.8-0.9-9.6,3,Apr/2019/1350000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-john-street-williamstown-vic-3016,Williamstown,980000,23-Jun-2018,2,2,2,195,m2,House,https://www.domain.com.au/85-john-street-williamstown-vic-3016-2014399170,Close to schools-Close to shops-Close to transport,0.2-0.8-9,3,Jun/2018/980000.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5/51-verdon-street-williamstown-vic-3016,Williamstown,1147500,18-Jun-2018,2,2,4,310,m2,House,https://www.domain.com.au/5-51-verdon-street-williamstown-vic-3016-2014384670,Close to schools-Close to shops-Close to transport,0.1-0.5-9.8,3,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
193-melbourne-road-williamstown-vic-3016,Williamstown,1000000,30-May-2018,2,1,1,301,m2,House,https://www.domain.com.au/193-melbourne-road-williamstown-vic-3016-2014157510,Close to schools-Close to shops-Close to transport,0.5-0.8-8.5,3,May/2018/1000000.0/SOLD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
