"suburb","2012-12-31","2013-12-31","2014-12-31","2015-12-31","2016-12-31","2017-12-31","2018-12-31","2019-12-31","2020-12-31","2021-01-31","2021-02-28","2021-03-31","2021-04-30","2021-05-31","2021-06-30","2021-07-31","2021-08-31","2021-09-30","2021-10-31","2020-11-30","2021/2012","2021/2013","2021/2014","2021/2015","2021/2016","2021/2017","2021/2018","2021/2019","2021/2020","2021-10/2021-09","2021-10/2021-08","2021-10/2021-07","2021-10/2021-06","2021-10/2021-05","2021-10/2021-04","2021-10/2021-03","2021-10/2021-02","2021-10/2021-01","2021-09/2021-08","2021-09/2021-07","2021-09/2021-06","2021-09/2021-05","2021-09/2021-04","2021-09/2021-03","2021-09/2021-02","2021-09/2021-01","2021-08/2021-07","2021-08/2021-06","2021-08/2021-05","2021-08/2021-04","2021-08/2021-03","2021-08/2021-02","2021-08/2021-01","2021-07/2021-06","2021-07/2021-05","2021-07/2021-04","2021-07/2021-03","2021-07/2021-02","2021-07/2021-01","2021-06/2021-05","2021-06/2021-04","2021-06/2021-03","2021-06/2021-02","2021-06/2021-01","2021-05/2021-04","2021-05/2021-03","2021-05/2021-02","2021-05/2021-01","2021-04/2021-03","2021-04/2021-02","2021-04/2021-01","2021-03/2021-02","2021-03/2021-01","2021-02/2021-01"
airport west,495050,530000,561000,626250,725000,845000,842500,780750,824250,824250,830000,837000,852000,865000,885000,895000,890500,895000,925000,824250,1.7674982325017674,1.650943396226415,1.5597147950089127,1.3972055888223553,1.206896551724138,1.0355029585798816,1.0385756676557865,1.1207172590457892,1.0615711252653928,1.0335195530726258,1.038742279618192,1.0335195530726258,1.0451977401129944,1.069364161849711,1.085680751173709,1.1051373954599761,1.1144578313253013,1.1222323324234151,1.0050533408197642,1.0,1.0112994350282485,1.0346820809248556,1.050469483568075,1.069295101553166,1.0783132530120483,1.0858356081286018,0.9949720670391061,1.0062146892655368,1.0294797687861272,1.04518779342723,1.0639187574671445,1.0728915662650602,1.0803760994843798,1.0112994350282485,1.0346820809248556,1.050469483568075,1.069295101553166,1.0783132530120483,1.0858356081286018,1.023121387283237,1.0387323943661972,1.0573476702508962,1.0662650602409638,1.0737033666969973,1.0152582159624413,1.033452807646356,1.0421686746987953,1.0494388838337882,1.017921146953405,1.0265060240963855,1.0336669699727024,1.008433734939759,1.0154686078252957,1.0069760388231725
albert park,1260000,1350000,1510000,1700000,1750000,2150000,2060000,2005000,1885000,1887500,1950000,1955000,2010000,2040000,2220000,2237500,2220000,2220000,2260000,1892500,1.6904761904761905,1.5777777777777777,1.4105960264900663,1.2529411764705882,1.217142857142857,0.9906976744186047,1.0339805825242718,1.0623441396508728,1.129973474801061,1.018018018018018,1.018018018018018,1.0100558659217878,1.018018018018018,1.107843137254902,1.1243781094527363,1.156010230179028,1.158974358974359,1.1973509933774835,1.0,0.9921787709497206,1.0,1.088235294117647,1.1044776119402986,1.1355498721227621,1.1384615384615384,1.176158940397351,0.9921787709497206,1.0,1.088235294117647,1.1044776119402986,1.1355498721227621,1.1384615384615384,1.176158940397351,1.007882882882883,1.0968137254901962,1.11318407960199,1.1445012787723785,1.1474358974358974,1.185430463576159,1.088235294117647,1.1044776119402986,1.1355498721227621,1.1384615384615384,1.176158940397351,1.0149253731343284,1.0434782608695652,1.0461538461538462,1.080794701986755,1.0281329923273657,1.0307692307692307,1.0649006622516557,1.0025641025641026,1.0357615894039736,1.033112582781457
alphington,1000000,1090770,1053000,1293000,1492500,1715000,1700000,1570000,1850000,1803500,1803500,1850000,1820000,1820000,1831000,1842000,1735000,1735000,1735000,1850000,1.81175,1.6609826086159318,1.7205603038936372,1.401198762567672,1.2139028475711893,1.0564139941690962,1.065735294117647,1.1539808917197452,0.9793243243243244,1.0,1.0,0.9419109663409337,0.9475696340797378,0.9532967032967034,0.9532967032967034,0.9378378378378378,0.9620182977543665,0.9620182977543665,1.0,0.9419109663409337,0.9475696340797378,0.9532967032967034,0.9532967032967034,0.9378378378378378,0.9620182977543665,0.9620182977543665,0.9419109663409337,0.9475696340797378,0.9532967032967034,0.9532967032967034,0.9378378378378378,0.9620182977543665,0.9620182977543665,1.00600764609503,1.012087912087912,1.012087912087912,0.9956756756756757,1.0213473800942612,1.0213473800942612,1.006043956043956,1.006043956043956,0.9897297297297297,1.015248128638758,1.015248128638758,1.0,0.9837837837837838,1.0091488771832549,1.0091488771832549,0.9837837837837838,1.0091488771832549,1.0091488771832549,1.0257831993346271,1.0257831993346271,1.0
altona,572500,561500,645000,717000,812555,940000,920000,895000,917000,930000,940000,940000,951000,990000,994500,1000000,1080000,1080000,1115000,920000,1.733187772925764,1.7671415850400711,1.5383720930232558,1.3838912133891212,1.2211481068973793,1.0555851063829786,1.0785326086956522,1.1086592178770949,1.08206106870229,1.0324074074074074,1.0324074074074074,1.115,1.1211664152840624,1.1262626262626263,1.1724500525762356,1.1861702127659575,1.1861702127659575,1.1989247311827957,1.0,1.08,1.085972850678733,1.0909090909090908,1.135646687697161,1.148936170212766,1.148936170212766,1.1612903225806452,1.08,1.085972850678733,1.0909090909090908,1.135646687697161,1.148936170212766,1.148936170212766,1.1612903225806452,1.0055304172951232,1.0101010101010102,1.0515247108307044,1.0638297872340425,1.0638297872340425,1.075268817204301,1.0045454545454546,1.0457413249211356,1.0579787234042553,1.0579787234042553,1.0693548387096774,1.0410094637223974,1.053191489361702,1.053191489361702,1.064516129032258,1.0117021276595746,1.0117021276595746,1.0225806451612902,1.0,1.010752688172043,1.010752688172043
balwyn,1300000,1510500,1780000,2200000,2160000,2335500,2410000,2400000,2287500,2300000,2300000,2452500,2465000,2524500,2555000,2570000,2605000,2665000,2665000,2315000,1.9536538461538462,1.6813968884475339,1.4268258426966292,1.1544318181818183,1.1758101851851852,1.087454506529651,1.053838174273859,1.0582291666666668,1.1102732240437159,1.0,1.0230326295585412,1.0369649805447472,1.0430528375733856,1.0556545850663497,1.081135902636917,1.0866462793068297,1.1586956521739131,1.1586956521739131,1.0230326295585412,1.0369649805447472,1.0430528375733856,1.0556545850663497,1.081135902636917,1.0866462793068297,1.1586956521739131,1.1586956521739131,1.0136186770428015,1.0195694716242663,1.0318875024757377,1.0567951318458417,1.0621814475025484,1.132608695652174,1.132608695652174,1.00587084148728,1.0180233709645474,1.0425963488843812,1.0479102956167177,1.117391304347826,1.117391304347826,1.0120816003168944,1.0365111561866125,1.0417940876656473,1.1108695652173912,1.1108695652173912,1.0241379310344827,1.0293577981651376,1.097608695652174,1.097608695652174,1.0050968399592253,1.0717391304347825,1.0717391304347825,1.066304347826087,1.066304347826087,1.0
box hill north,640500,735000,842500,1050000,1148000,1347000,1165000,1200000,1180000,1183750,1187500,1231500,1214500,1235000,1255000,1270000,1275500,1279000,1301000,1187500,1.9437939110070257,1.6938775510204083,1.4777448071216617,1.1857142857142857,1.0844947735191637,0.9242761692650334,1.0686695278969958,1.0375,1.055084745762712,1.0172009382329945,1.0199921599372794,1.0244094488188977,1.0366533864541834,1.0534412955465586,1.0712227254013997,1.0564352415753147,1.095578947368421,1.099049630411827,1.0027440219521757,1.0070866141732284,1.0191235059760957,1.0356275303643725,1.0531082750102922,1.0385708485586682,1.0770526315789473,1.0804646251319958,1.0043307086614173,1.0163346613545816,1.0327935222672064,1.0502264306298887,1.0357287860332927,1.0741052631578947,1.077507919746568,1.0119521912350598,1.0283400809716599,1.045697818032112,1.031262687779131,1.0694736842105264,1.0728616684266103,1.0161943319838056,1.0333470564018115,1.019082419813236,1.0568421052631578,1.0601900739176346,1.0168793742280775,1.0028420625253756,1.04,1.0432946145723336,0.9861956963053187,1.0227368421052632,1.0259767687434003,1.0370526315789474,1.040337909186906,1.0031678986272439
broadmeadows,315000,325000,345000,370000,405000,540000,570000,525000,550000,550000,550000,550000,550500,555000,560000,566500,570000,572000,575000,552500,1.7698412698412698,1.7153846153846153,1.6159420289855073,1.5067567567567568,1.376543209876543,1.0324074074074074,0.9780701754385965,1.061904761904762,1.0136363636363637,1.0052447552447552,1.0087719298245614,1.0150044130626654,1.0267857142857142,1.0360360360360361,1.044504995458674,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0035087719298246,1.0097087378640777,1.0214285714285714,1.0306306306306305,1.03905540417802,1.04,1.04,1.04,1.0061782877316858,1.0178571428571428,1.027027027027027,1.0354223433242506,1.0363636363636364,1.0363636363636364,1.0363636363636364,1.011607142857143,1.0207207207207207,1.0290644868301544,1.03,1.03,1.03,1.009009009009009,1.017257039055404,1.018181818181818,1.018181818181818,1.018181818181818,1.008174386920981,1.009090909090909,1.009090909090909,1.009090909090909,1.000909090909091,1.000909090909091,1.000909090909091,1.0,1.0,1.0
brunswick,666000,720000,795500,850800,940000,1175500,1080000,1033500,1099999,1099999,1100000,1110000,1125000,1130000,1200000,1207000,1235000,1250000,1282500,1100000,1.7492492492492493,1.6180555555555556,1.464487743557511,1.3692994828396803,1.2393617021276595,0.9910676307954062,1.0787037037037037,1.127237542331882,1.0590918719017017,1.026,1.0384615384615385,1.0625517812758907,1.06875,1.1349557522123894,1.14,1.1554054054054055,1.165909090909091,1.16591015082741,1.0121457489878543,1.035625517812759,1.0416666666666667,1.1061946902654867,1.1111111111111112,1.1261261261261262,1.1363636363636365,1.1363646694224268,1.0231980115990058,1.0291666666666666,1.092920353982301,1.0977777777777777,1.1126126126126126,1.1227272727272728,1.1227282933893576,1.0058333333333334,1.068141592920354,1.0728888888888888,1.0873873873873874,1.0972727272727272,1.0972737247942952,1.0619469026548674,1.0666666666666667,1.0810810810810811,1.0909090909090908,1.0909100826455296,1.0044444444444445,1.018018018018018,1.0272727272727273,1.0272736611578739,1.0135135135135136,1.0227272727272727,1.022728202480184,1.009090909090909,1.009091826447115,1.0000009090917354
bundoora,486000,530000,547625,600000,645000,740000,725000,720000,733500,735000,738000,744000,750000,755000,765750,775000,790000,800000,820000,730000,1.5645576131687242,1.4346698113207548,1.3884957772198128,1.2672916666666667,1.1788759689922481,1.0275337837837837,1.0487931034482758,1.0560763888888889,1.0366394001363326,1.025,1.0379746835443038,1.0580645161290323,1.0708455762324518,1.086092715231788,1.0933333333333333,1.1021505376344085,1.1111111111111112,1.1156462585034013,1.0126582278481013,1.032258064516129,1.0447273914462945,1.0596026490066226,1.0666666666666667,1.075268817204301,1.084010840108401,1.08843537414966,1.0193548387096774,1.0316682990532158,1.0463576158940397,1.0533333333333332,1.0618279569892473,1.070460704607046,1.0748299319727892,1.0120796604635978,1.0264900662251655,1.0333333333333334,1.0416666666666667,1.0501355013550135,1.054421768707483,1.0142384105960265,1.021,1.029233870967742,1.0376016260162602,1.0418367346938775,1.0066666666666666,1.0147849462365592,1.0230352303523036,1.0272108843537415,1.0080645161290323,1.016260162601626,1.0204081632653061,1.008130081300813,1.0122448979591836,1.0040816326530613
carlton,830900,1000000,1002500,1165500,1526000,1455000,1420000,1013000,1305000,1315000,1280000,1297500,1320250,1415000,1442500,1442500,1400000,1415000,1487500,1250000,1.6939463232639307,1.4075,1.4039900249376558,1.2076362076362077,0.922346002621232,0.9673539518900344,0.9911971830985915,1.3894373149062191,1.078544061302682,1.0512367491166077,1.0625,1.0311958405545927,1.0311958405545927,1.0512367491166077,1.1266805529255823,1.1464354527938343,1.162109375,1.1311787072243347,1.0107142857142857,0.9809358752166378,0.9809358752166378,1.0,1.0717667108502178,1.0905587668593448,1.10546875,1.0760456273764258,0.9705372616984402,0.9705372616984402,0.9893992932862191,1.060405226282901,1.0789980732177264,1.09375,1.064638783269962,1.0,1.019434628975265,1.0925960992236319,1.1117533718689787,1.126953125,1.096958174904943,1.019434628975265,1.0925960992236319,1.1117533718689787,1.126953125,1.096958174904943,1.0717667108502178,1.0905587668593448,1.10546875,1.0760456273764258,1.0175337186897881,1.0314453125,1.0039923954372623,1.013671875,0.9866920152091255,0.973384030418251
