"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
63-victory-road-airport-west-vic-3042,1000000,27-Oct-2021,5,2,2,623,m2,"House","https://www.domain.com.au/63-victory-road-airport-west-vic-3042-2017270878","Ceiling fans",1.5-3.3-0.9,3,Oct/2021/1000000.0/SOLD
241-parer-road-airport-west-vic-3042,1320000,23-Oct-2021,6,2,2,-1,None,"House","https://www.domain.com.au/241-parer-road-airport-west-vic-3042-2017286156",,1-1-2.1,3,Oct/2021/1320000.0/SOLD-Sep/2016/650.0/SOLD
8-myrtle-grove-airport-west-vic-3042,1100000,11-Oct-2021,5,2,2,-1,None,"House","https://www.domain.com.au/8-myrtle-grove-airport-west-vic-3042-2017167791","Air conditioning*"-"Secure Parking*"-"Heating*",0.4-2.1-0.5,3,Oct/2021/1100000.0/SOLD
80-marshall-road-airport-west-vic-3042,870000,14-Jul-2021,5,2,2,-1,None,"House","https://www.domain.com.au/80-marshall-road-airport-west-vic-3042-2017092762","Internal Laundry*"-"Heating*"-"Study*"-"Garden*"-"Built in wardrobes",1.6-3.3-1,3,Jul/2021/870000.0/SOLD-Jun/2010/430000.0/SOLD
58-bedford-street-airport-west-vic-3042,928000,15-Jun-2020,5,3,2,595,m2,"House","https://www.domain.com.au/58-bedford-street-airport-west-vic-3042-2016269453","Fireplace(s)*"-"Dishwasher*"-"Garden*"-"Solar panels*"-"Study",1.2-1.2-2.7,3,Jun/2020/928000.0/SOLD-Sep/1985/76000.0/SOLD
10-hart-street-airport-west-vic-3042,980000,24-Jan-2020,5,3,2,-1,None,"House","https://www.domain.com.au/10-hart-street-airport-west-vic-3042-2015685907",,1-2.5-0.9,3,
4-overs-street-airport-west-vic-3042,1240000,16-Nov-2019,5,3,2,-1,None,"House","https://www.domain.com.au/4-overs-street-airport-west-vic-3042-2015780392",,0.6-2.3-0.2,3,Nov/2019/1240000.0/SOLD-Mar/1999/151500.0/SOLD
7-mallinson-court-airport-west-vic-3042,833000,12-Jul-2019,5,3,2,528,m2,"House","https://www.domain.com.au/7-mallinson-court-airport-west-vic-3042-2015293070",,0.7-0.7-2,3,Jul/2019/833000.0/SOLD
92-bowes-avenue-airport-west-vic-3042,980000,30-Aug-2018,5,1,1,697,m2,"House","https://www.domain.com.au/92-bowes-avenue-airport-west-vic-3042-2014488202",,0.8-2.5-0.5,3,Aug/2018/980000.0/SOLD-Oct/1993/100000.0/SOLD
91-victory-road-airport-west-vic-3042,985000,15-May-2018,5,2,2,-1,None,"House","https://www.domain.com.au/91-victory-road-airport-west-vic-3042-2014303079",,1.5-3.2-0.8,3,May/2018/985000.0/SOLD-Aug/2016/965000.0/SOLD
39-walters-avenue-airport-west-vic-3042,1435000,05-May-2018,5,2,1,-1,None,"House","https://www.domain.com.au/39-walters-avenue-airport-west-vic-3042-2014295624",,0.7-2.1-0.9,3,May/2018/1435000.0/SOLD-Mar/2007/675000.0/SOLD-Sep/1995/102000.0/SOLD
