"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
134-victoria-avenue-albert-park-vic-3206,1525000,19-Oct-2021,1,1,-1,141,m2,"House","https://www.domain.com.au/134-victoria-avenue-albert-park-vic-3206-2017290399","Study",0.2-0.5-1.2,3,Oct/2021/500.0/SOLD
9-young-street-albert-park-vic-3206,1151000,28-Aug-2021,1,1,-1,-1,None,"House","https://www.domain.com.au/9-young-street-albert-park-vic-3206-2017178060",,0.5-1.1-1.7,3,Sep/2021/1151000.0/SOLD-Sep/1986/86000.0/SOLD-Jul/1984/60500.0/SOLD
3-little-o'-grady-street-albert-park-vic-3206,1300000,05-May-2021,1,1,-1,-1,None,"House","https://www.domain.com.au/3-little-o-grady-street-albert-park-vic-3206-2016898607",,0.3-0.7-1.4,3,
11-little-o'-grady-street-albert-park-vic-3206,1223000,13-Mar-2021,1,1,-1,107,m2,"House","https://www.domain.com.au/11-little-o-grady-street-albert-park-vic-3206-2016805392",,0.3-0.7-1.4,3,
15-little-o'grady-street-albert-park-vic-3206,1018000,20-Feb-2017,1,1,-1,-1,None,"House","https://www.domain.com.au/15-little-o-grady-street-albert-park-vic-3206-2013339099","Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport"-"Fireplace(s)"-"Floorboards",0.3-0.7-1.4,3,
12-little-o'grady-street-albert-park-vic-3206,950000,26-Sep-2015,1,2,-1,-1,None,"House","https://www.domain.com.au/12-little-o-grady-street-albert-park-vic-3206-2012230312",,0.3-0.7-1.4,3,
26-little-o'grady-street-albert-park-vic-3206,840000,21-Feb-2015,1,1,-1,82,m2,"House","https://www.domain.com.au/26-little-o-grady-street-albert-park-vic-3206-2011726099",,0.3-0.7-1.3,3,
1-bevan-street-albert-park-vic-3206,790000,21-Jun-2014,1,1,-1,-1,None,"House","https://www.domain.com.au/1-bevan-street-albert-park-vic-3206-2011208203",,0.5-1-1.4,3,Jun/2014/790000.0/SOLD
1-page-street-albert-park-vic-3206,800000,13-Nov-2010,1,1,1,-1,None,"House","https://www.domain.com.au/1-page-street-albert-park-vic-3206-2008624677","Study",0.3-0.4-1.2,3,
17-little-o'grady-street-albert-park-vic-3206,765000,24-Oct-2010,1,1,-1,-1,None,"House","https://www.domain.com.au/17-little-o-grady-street-albert-park-vic-3206-2008464007",,0.3-0.7-1.4,3,
