"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
20-moubray-street-albert-park-vic-3206,9175000,04-Dec-2021,4,2,1,360,m2,"House","https://www.domain.com.au/20-moubray-street-albert-park-vic-3206-2017400529",,0.2-0.5-0.9,3,Dec/2021/9175000.0/SOLD-Apr/2016/3650000.0/SOLD-Mar/1980/93000.0/SOLD
107-graham-street-albert-park-vic-3206,3450000,20-Oct-2021,4,3,-1,-1,None,"House","https://www.domain.com.au/107-graham-street-albert-park-vic-3206-2017305452",,0.2-0.4-1.1,3,Oct/2021/3450000.0/SOLD-Feb/2017/1740000.0/SOLD
142-kerferd-road-albert-park-vic-3206,3500000,29-Jun-2021,4,2,1,432,m2,"House","https://www.domain.com.au/142-kerferd-road-albert-park-vic-3206-2016952861","Built in wardrobes"-"Fireplace(s)",0.5-0.6-1.5,3,Jun/2021/3500000.0/SOLD-May/2013/2250000.0/SOLD
136---138-mills-street-albert-park-vic-3206,2615000,27-May-2021,4,2,1,-1,None,"House","https://www.domain.com.au/136-138-mills-street-albert-park-vic-3206-2016978912",,0.1-0.9-1.8,3,
15-greig-street-albert-park-vic-3206,2170000,15-May-2021,4,1,2,-1,None,"House","https://www.domain.com.au/15-greig-street-albert-park-vic-3206-2016940036",,0.2-0.4-0.9,3,May/2021/2170000.0/SOLD-Oct/1980/85000.0/SOLD-Oct/1977/62500.0/SOLD
104-bridport-street-albert-park-vic-3206,3005000,24-Apr-2021,4,2,1,215,m2,"House","https://www.domain.com.au/104-bridport-street-albert-park-vic-3206-2016886245",,0.4-0.9-1.4,3,
51-moubray-street-albert-park-vic-3206,2950000,16-Mar-2021,4,2,1,-1,None,"House","https://www.domain.com.au/51-moubray-street-albert-park-vic-3206-2016833085",,0.2-0.5-1.2,3,Mar/2021/2950000.0/SOLD
6-draper-street-albert-park-vic-3206,3315000,27-Feb-2021,4,2,2,-1,None,"House","https://www.domain.com.au/6-draper-street-albert-park-vic-3206-2016772512",,0.6-1.1-1.3,3,Feb/2021/3315000.0/SOLD
126-victoria-avenue-albert-park-vic-3206,2675000,27-Feb-2021,4,2,-1,-1,None,"House","https://www.domain.com.au/126-victoria-avenue-albert-park-vic-3206-2016780018",,0.2-0.4-1.2,3,Feb/2021/2675000.0/SOLD-Dec/2018/2180000.0/SOLD
5-boyd-street-albert-park-vic-3206,3620000,20-Feb-2021,4,2,1,285,m2,"House","https://www.domain.com.au/5-boyd-street-albert-park-vic-3206-2016762011","Air conditioning"-"Ensuite"-"Built in wardrobes"-"Fireplace(s)",0.2-0.8-1.7,3,Feb/2021/3620000.0/SOLD
