"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
7-salford-avenue-balwyn-vic-3103,4000000,06-Nov-2021,5,3,2,809,m2,"House","https://www.domain.com.au/7-salford-avenue-balwyn-vic-3103-2017348703",,0.4-0.8-1.6,3,Nov/2021/4000000.0/SOLD-Jan/2007/2029999.9999999998/SOLD-Dec/1995/375000.0/SOLD
38-relowe-crescent-balwyn-vic-3103,2830000,26-Jun-2021,6,2,2,1170,m2,"House","https://www.domain.com.au/38-relowe-crescent-balwyn-vic-3103-2016987464",,0.7-1-1.1,3,
104-winmalee-road-balwyn-vic-3103,3832000,15-May-2021,5,3,2,-1,None,"House","https://www.domain.com.au/104-winmalee-road-balwyn-vic-3103-2016941873",,0.8-1.7-1.8,3,May/2021/3832000.0/SOLD-Jun/2008/2350000.0/SOLD
27-naroo-street-balwyn-vic-3103,2908000,08-May-2021,5,2,2,-1,None,"House","https://www.domain.com.au/27-naroo-street-balwyn-vic-3103-2016945151",,0.8-1-4.7,3,May/2021/2908000.0/SOLD-Aug/1994/365000.0/SOLD-Apr/1993/185000.0/SOLD
19-birdwood-street-balwyn-vic-3103,2860000,28-Mar-2021,6,3,2,697,m2,"House","https://www.domain.com.au/19-birdwood-street-balwyn-vic-3103-2016820780",,0.7-0.9-4.9,3,Mar/2021/2860000.0/SOLD-Apr/2017/2680000.0/SOLD
9-kenilworth-street-balwyn-vic-3103,2475000,27-Mar-2021,5,3,2,643,m2,"House","https://www.domain.com.au/9-kenilworth-street-balwyn-vic-3103-2016833196","Ensuite",0.5-1.3-1.6,3,Mar/2021/2475000.0/SOLD-Jul/2017/2390000.0/SOLD
60-elliott-avenue-balwyn-vic-3103,3078000,17-Mar-2021,5,5,4,-1,None,"House","https://www.domain.com.au/60-elliott-avenue-balwyn-vic-3103-2016781547",,0.7-0.8-4.4,3,Mar/2021/3078000.0/SOLD-May/2010/1080000.0/SOLD
9-bevan-street-balwyn-vic-3103,3560000,23-Dec-2020,5,5,3,654,m2,"House","https://www.domain.com.au/9-bevan-street-balwyn-vic-3103-2016671998","Study",0.6-0.8-1.9,3,Dec/2020/3560000.0/SOLD-Dec/2013/2255000.0/SOLD-Nov/2004/751000.0/SOLD
12-carrigal-street-balwyn-vic-3103,2200000,15-Dec-2020,5,3,3,714,m2,"House","https://www.domain.com.au/12-carrigal-street-balwyn-vic-3103-2016528456","Study",0.5-1.2-1.5,3,Oct/2020/2200000.0/SOLD-Apr/1997/340000.0/SOLD-May/1991/215000.0/SOLD
53-elliott-avenue-balwyn-vic-3103,3400000,20-Oct-2020,5,5,3,-1,None,"House","https://www.domain.com.au/53-elliott-avenue-balwyn-vic-3103-2016063218",,0.7-0.8-4.4,3,Oct/2020/3400000.0/SOLD-Apr/2015/2100000.0/SOLD
6-yandilla-street-balwyn-vic-3103,2050000,17-Jul-2020,6,3,2,-1,None,"House","https://www.domain.com.au/6-yandilla-street-balwyn-vic-3103-2016330539",,0.6-1.3-1.7,3,Jul/2020/2049999.9999999998/SOLD-Aug/2017/2300000.0/SOLD
12-ruby-street-balwyn-vic-3103,3120000,02-Jun-2020,5,5,2,-1,None,"House","https://www.domain.com.au/12-ruby-street-balwyn-vic-3103-2016142956",,0.8-0.9-4.3,3,Jun/2020/3120000.0/SOLD-Apr/2005/580000.0/SOLD
31-talbot-avenue-balwyn-vic-3103,2740000,12-May-2020,5,3,2,801,m2,"House","https://www.domain.com.au/31-talbot-avenue-balwyn-vic-3103-2016226022",,0.5-1.4-1.9,3,May/2020/2740000.0/SOLD-Apr/1998/520000.0/SOLD-Jul/1996/413000.0/SOLD
16-bevan-street-balwyn-vic-3103,4308000,30-Mar-2020,6,4,4,652,m2,"House","https://www.domain.com.au/16-bevan-street-balwyn-vic-3103-2016115691",,0.6-0.8-1.9,3,Mar/2020/4308000.0/SOLD-Nov/1998/375000.0/SOLD-Apr/1982/126000.0/SOLD
30-elliott-avenue-balwyn-vic-3103,3752000,30-Mar-2020,5,5,4,676,m2,"House","https://www.domain.com.au/30-elliott-avenue-balwyn-vic-3103-2016125014",,0.9-1.1-4.6,3,Mar/2020/3752000.0/SOLD-Jun/2011/1700.0/SOLD
17-kenilworth-street-balwyn-vic-3103,2805000,03-Mar-2020,5,4,2,720,m2,"House","https://www.domain.com.au/17-kenilworth-street-balwyn-vic-3103-2016017107","Internal Laundry*"-"Intercom*"-"Heating*"-"Shed*"-"Air conditioning"-"Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport"-"Security Alarm"-"Garden"-"Secure Parking"-"Floorboards"-"Formal Lounge"-"Separate Dining"-"Study",0.5-1.3-1.6,3,Mar/2020/2805000.0/SOLD-Feb/2018/2560000.0/SOLD
13-highland-avenue-balwyn-vic-3103,3200000,25-Feb-2020,5,4,2,-1,None,"House","https://www.domain.com.au/13-highland-avenue-balwyn-vic-3103-2016038291",,0.8-1-4.2,3,Feb/2020/3200000.0/SOLD-Mar/2011/1417000.0/SOLD
20-palmer-avenue-balwyn-vic-3103,2505000,18-Dec-2019,5,2,2,-1,None,"House","https://www.domain.com.au/20-palmer-avenue-balwyn-vic-3103-2015955129",,0.7-1.2-4.9,3,Dec/2019/2505000.0/SOLD-Mar/2013/1910000.0/SOLD-Mar/2005/650000.0/SOLD
1-4/74-belmore-road-balwyn-vic-3103,2350000,14-Dec-2019,9,4,4,909,m2,"House","https://www.domain.com.au/1-4-74-belmore-road-balwyn-vic-3103-2015894961","Internal Laundry*"-"Heating*"-"Garden*",0.8-0.9-4,3,
3-narrak-road-balwyn-vic-3103,2260000,14-Dec-2019,5,3,2,648,m2,"House","https://www.domain.com.au/3-narrak-road-balwyn-vic-3103-2015794295",,0.5-1.6-2.4,3,Dec/2019/950.0/SOLD
25-threadneedle-street-balwyn-vic-3103,3030000,07-Dec-2019,5,4,3,878,m2,"House","https://www.domain.com.au/25-threadneedle-street-balwyn-vic-3103-2015863603",,0.6-1.4-1.9,3,May/2009/1800000.0/SOLD-Jan/2005/939000.0/SOLD
42-elliott-avenue-balwyn-vic-3103,4100000,04-Dec-2019,5,4,3,668,m2,"House","https://www.domain.com.au/42-elliott-avenue-balwyn-vic-3103-2015838294","Ensuite"-"Study",0.8-1-4.6,3,Dec/2019/4099999.9999999995/SOLD-Apr/2016/2060000.0/SOLD-May/2008/1110000.0/SOLD
49-narrak-road-balwyn-vic-3103,3808000,30-Nov-2019,5,5,3,1003,m2,"House","https://www.domain.com.au/49-narrak-road-balwyn-vic-3103-2015748952",,0.8-1.4-2.1,3,Nov/2019/3808000.0/SOLD-Mar/2005/1380000.0/SOLD-Sep/2002/1210000.0/SOLD
64-belmore-road-balwyn-vic-3103,3350000,09-Nov-2019,5,4,2,-1,None,"House","https://www.domain.com.au/64-belmore-road-balwyn-vic-3103-2015440575",,0.7-0.8-4.5,3,Nov/2019/3350000.0/SOLD-Mar/2015/455.0/SOLD
9-bruce-street-balwyn-vic-3103,2560000,21-Sep-2019,5,4,3,-1,None,"House","https://www.domain.com.au/9-bruce-street-balwyn-vic-3103-2015541174",,0.6-1.6-3.9,3,Sep/2019/1295.0/SOLD-Feb/2017/2560000.0/SOLD
1-yonga-road-balwyn-vic-3103,2525000,14-Sep-2019,5,3,2,718,m2,"House","https://www.domain.com.au/1-yonga-road-balwyn-vic-3103-2015533005",,0.8-1.6-2.1,3,Sep/2019/2525000.0/SOLD-Nov/2013/1506000.0/SOLD-Mar/2005/803000.0/SOLD
12-yongala-street-balwyn-vic-3103,3750000,09-Sep-2019,5,4,4,605,m2,"House","https://www.domain.com.au/12-yongala-street-balwyn-vic-3103-2015314973",,0.9-1-4.3,3,Sep/2019/3750000.0/SOLD-Apr/2016/1700000.0/SOLD
1-woods-street-balwyn-vic-3103,3130000,18-Mar-2019,7,7,4,965,m2,"House","https://www.domain.com.au/1-woods-street-balwyn-vic-3103-2014920354",,0.8-1.3-3.9,3,Mar/2019/3130000.0/SOLD-Jun/2016/1765000.0/SOLD
50-yongala-street-balwyn-vic-3103,4200000,14-Mar-2019,6,5,4,778,m2,"House","https://www.domain.com.au/50-yongala-street-balwyn-vic-3103-2014803324",,0.9-1-4.4,3,Mar/2019/4200000.0/SOLD-Apr/2014/1810000.0/SOLD
4-myambert-avenue-balwyn-vic-3103,4450000,04-Mar-2019,5,5,3,-1,None,"House","https://www.domain.com.au/4-myambert-avenue-balwyn-vic-3103-2014891939",,0.4-1-1.6,3,Mar/2019/4450000.0/SOLD-Aug/2009/2300000.0/SOLD
46-weir-street-balwyn-vic-3103,2560000,23-Feb-2019,5,3,4,946,m2,"House","https://www.domain.com.au/46-weir-street-balwyn-vic-3103-2014905020",,0.3-1.4-2.1,3,Feb/2019/870.0/SOLD
7-angle-road-balwyn-vic-3103,3855000,21-Feb-2019,5,5,2,-1,None,"House","https://www.domain.com.au/7-angle-road-balwyn-vic-3103-2014899723",,0.7-1-2,3,
90-belmore-road-balwyn-vic-3103,3200000,11-Nov-2018,5,4,2,716,m2,"House","https://www.domain.com.au/90-belmore-road-balwyn-vic-3103-2014592436","Study",0.6-0.7-4.3,3,Nov/2018/3200000.0/SOLD-Aug/2013/2950000.0/SOLD
16-henley-street-balwyn-vic-3103,2500000,09-Nov-2018,5,3,3,712,m2,"House","https://www.domain.com.au/16-henley-street-balwyn-vic-3103-2014671762",,0.9-1-4.6,3,Nov/2018/2500000.0/SOLD-Oct/2011/1720000.0/SOLD-May/1997/260500.0/SOLD
