"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
1,2&3/13-medway-street-box-hill-north-vic-3129,2349000,04-Dec-2021,6,3,3,898,m2,"House","https://www.domain.com.au/1-2-3-13-medway-street-box-hill-north-vic-3129-2017391947",,1-1.1-5,3,
218-dorking-road-box-hill-north-vic-3129,1845000,10-Oct-2021,5,4,2,-1,None,"House","https://www.domain.com.au/218-dorking-road-box-hill-north-vic-3129-2017260217","Gas*"-"Internal Laundry*"-"Secure Parking*"-"Bath*"-"Heating*"-"Dishwasher*"-"Balcony / Deck*",0.5-1.7-4,3,
35-lyndhurst-crescent-box-hill-north-vic-3129,1450000,01-May-2021,5,3,3,601,m2,"House","https://www.domain.com.au/35-lyndhurst-crescent-box-hill-north-vic-3129-2016898802","Gas*"-"Internal Laundry*"-"Garden*"-"Balcony / Deck*",0.7-1.6-3.8,3,May/2021/1450000.0/SOLD-Sep/1997/225000.0/SOLD
32-second-avenue-box-hill-north-vic-3129,1270000,26-Apr-2021,5,1,2,591,m2,"House","https://www.domain.com.au/32-second-avenue-box-hill-north-vic-3129-2016877597","Garden*",0.4-1.4-4.5,3,May/2021/1270000.0/SOLD
box-hill-north-vic-3129,1050000,08-Feb-2021,5,2,2,659,m2,"House","https://www.domain.com.au/box-hill-north-vic-3129-2016765652",,0.4-1.1-4.7,3,
3-boxleigh-grove-box-hill-north-vic-3129,2360000,29-Dec-2020,5,5,2,-1,None,"House","https://www.domain.com.au/3-boxleigh-grove-box-hill-north-vic-3129-2016535572","Internal Laundry*"-"Secure Parking*"-"Intercom*"-"Heating*"-"Dishwasher*"-"Study*"-"Garden*",0.5-1.2-3.6,3,Dec/2020/2360000.0/SOLD-May/2018/1030000.0/SOLD
31-severn-street-box-hill-north-vic-3129,2121000,12-Dec-2020,5,2,2,1006,m2,"House","https://www.domain.com.au/31-severn-street-box-hill-north-vic-3129-2016608598","Secure Parking*"-"Study*"-"Garden*",1.1-1.2-5,3,Dec/2020/900.0/SOLD-Jul/1997/2121000.0/SOLD
10-dane-street-box-hill-north-vic-3129,2350000,08-Dec-2020,5,4,3,603,m2,"House","https://www.domain.com.au/10-dane-street-box-hill-north-vic-3129-2016340138",,0.6-1-4.2,3,Nov/2020/2350000.0/SOLD-May/2017/1230000.0/SOLD-Mar/2014/661888.0/SOLD
25-loraine-avenue-box-hill-north-vic-3129,1060000,06-Jun-2020,5,2,2,-1,None,"House","https://www.domain.com.au/25-loraine-avenue-box-hill-north-vic-3129-2016257434",,0.3-0.4-3.6,3,Jun/2020/1060000.0/SOLD
5-mersey-street-box-hill-north-vic-3129,1780000,26-May-2020,5,3,3,724,m2,"House","https://www.domain.com.au/5-mersey-street-box-hill-north-vic-3129-2016066523",,1-1.2-5.1,3,May/2020/1780000.0/SOLD-Oct/1996/130000.0/SOLD
1-3/776-station-street-box-hill-north-vic-3129,2450000,29-Apr-2020,7,4,6,750,m2,"House","https://www.domain.com.au/1-3-776-station-street-box-hill-north-vic-3129-2016154172","Secure Parking*"-"Garden*",1.2-1.3-1.4,3,
18-marshall-road-box-hill-north-vic-3129,1370000,15-Feb-2020,5,2,1,631,m2,"House","https://www.domain.com.au/18-marshall-road-box-hill-north-vic-3129-2016017001",,0.4-1.1-4.7,3,Feb/2020/650.0/SOLD
830-station-street-box-hill-north-vic-3129,1656000,27-Oct-2019,5,3,2,750,m2,"House","https://www.domain.com.au/830-station-street-box-hill-north-vic-3129-2015684802",,1.1-1.1-4.6,3,Oct/2019/1656000.0/SOLD-Sep/2010/982000.0/SOLD-Jul/2002/436000.0/SOLD
15-martin-street-box-hill-north-vic-3129,1955000,19-Oct-2019,5,4,2,598,m2,"House","https://www.domain.com.au/15-martin-street-box-hill-north-vic-3129-2015628974",,0.3-1.6-4.3,3,Oct/2019/1955000.0/SOLD-Mar/2017/1900000.0/SOLD-Jun/2014/780000.0/SOLD
27-severn-street-box-hill-north-vic-3129,2171000,12-Oct-2019,5,2,2,1187,m2,"House","https://www.domain.com.au/27-severn-street-box-hill-north-vic-3129-2015625260",,1.1-1.2-5,3,Oct/2019/2171000.0/SOLD-May/2018/700.0/SOLD
51-kerrimuir-street-box-hill-north-vic-3129,1260000,31-Aug-2019,5,4,4,624,m2,"House","https://www.domain.com.au/51-kerrimuir-street-box-hill-north-vic-3129-2015521010",,0.1-1.4-4.5,3,Aug/2019/1260000.0/SOLD
92-shannon-street-box-hill-north-vic-3129,1250000,31-Aug-2019,5,2,3,626,m2,"House","https://www.domain.com.au/92-shannon-street-box-hill-north-vic-3129-2015507522",,0.5-0.8-4.1,3,Aug/2019/430.0/SOLD
1,2-&-3/74-medway-street-box-hill-north-vic-3129,2280000,03-May-2019,9,6,6,1202,m2,"House","https://www.domain.com.au/1-2-3-74-medway-street-box-hill-north-vic-3129-2015031421","Remote Garage"-"Ducted Heating"-"Built in wardrobes",0.5-1.2-4.3,3,
10-second-avenue-box-hill-north-vic-3129,2000000,11-Feb-2019,5,3,2,-1,None,"House","https://www.domain.com.au/10-second-avenue-box-hill-north-vic-3129-2014884113",,0.6-1.5-4.4,3,Feb/2019/2000000.0/SOLD-Sep/2016/862000.0/SOLD-Apr/1992/123000.0/SOLD
6-heathfield-rise-box-hill-north-vic-3129,970000,08-Dec-2018,5,3,4,590,m2,"House","https://www.domain.com.au/6-heathfield-rise-box-hill-north-vic-3129-2014646621",,0.5-1.2-4.7,3,Dec/2018/970000.0/SOLD-Feb/1987/550.0/SOLD
11-hillside-parade-box-hill-north-vic-3129,1445000,10-Nov-2018,5,3,-1,697,m2,"House","https://www.domain.com.au/11-hillside-parade-box-hill-north-vic-3129-2014700370",,0.6-0.7-1,3,Nov/2018/1445000.0/SOLD-May/2005/535000.0/SOLD-Jun/2002/335566.0/SOLD
22-shannon-street-box-hill-north-vic-3129,1297500,22-Sep-2018,5,2,2,507,m2,"House","https://www.domain.com.au/22-shannon-street-box-hill-north-vic-3129-2014594407",,0.7-1.3-4.6,3,
1-leach-avenue-box-hill-north-vic-3129,2580000,28-Jul-2018,5,5,2,944,m2,"House","https://www.domain.com.au/1-leach-avenue-box-hill-north-vic-3129-2014483616",,0.9-1-5.2,3,Jul/2018/2580000.0/SOLD-Aug/1992/128000.0/SOLD-Apr/1975/30450.0/SOLD
1-vista-court-box-hill-north-vic-3129,1100000,04-Jul-2018,5,3,2,-1,None,"House","https://www.domain.com.au/1-vista-court-box-hill-north-vic-3129-2014441399",,0.6-1.2-4.7,3,Jul/2018/650.0/SOLD-Dec/1987/1100000.0/SOLD
17-lawford-street-box-hill-north-vic-3129,1760000,26-May-2018,5,5,2,-1,None,"House","https://www.domain.com.au/17-lawford-street-box-hill-north-vic-3129-2014333211",,0.2-0.9-3.6,3,May/2018/1760000.0/SOLD-Jul/2001/262000.0/SOLD-Jan/1997/130000.0/SOLD
4-loddon-street-box-hill-north-vic-3129,2150000,05-May-2018,5,3,3,-1,None,"House","https://www.domain.com.au/4-loddon-street-box-hill-north-vic-3129-2014289005",,0.8-1.4-4.7,3,May/2018/2150000.0/SOLD-Jun/2016/1805000.0/SOLD-Mar/2014/759000.0/SOLD
23-loraine-avenue-box-hill-north-vic-3129,1585000,09-Dec-2017,5,2,2,1104,m2,"House","https://www.domain.com.au/23-loraine-avenue-box-hill-north-vic-3129-2013991862",,0.3-0.4-3.6,3,Dec/2017/1585000.0/SOLD
29-harrison-street-box-hill-north-vic-3129,1620000,14-Sep-2017,5,3,2,-1,None,"House","https://www.domain.com.au/29-harrison-street-box-hill-north-vic-3129-2013729781",,0.3-1.4-4.4,3,Sep/2017/750.0/SOLD
61-&-63-springfield-road-box-hill-north-vic-3129,2980000,18-Aug-2017,7,3,3,1401,m2,"House","https://www.domain.com.au/61-63-springfield-road-box-hill-north-vic-3129-2013736822",,17.3,1,
104-woodhouse-grove-box-hill-north-vic-3129,2100000,18-May-2017,5,3,2,-1,None,"House","https://www.domain.com.au/104-woodhouse-grove-box-hill-north-vic-3129-2013522625",,0.4-1.1-3.9,3,May/2017/2100000.0/SOLD-Feb/2014/675000.0/SOLD-May/2012/600000.0/SOLD
