"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
216-albert-street-brunswick-vic-3056,1200000,27-Nov-2021,2,1,1,-1,None,"House","https://www.domain.com.au/216-albert-street-brunswick-vic-3056-2017383501",,0.9-1.1-1.9,3,Nov/2021/1200000.0/SOLD-May/2009/506000.0/SOLD-Jan/2002/278000.0/SOLD
116-moreland-road-brunswick-vic-3056,1250000,18-Nov-2021,2,2,2,-1,None,"House","https://www.domain.com.au/116-moreland-road-brunswick-vic-3056-2017382152",,0.3-1.8-1.8,3,Nov/2021/1250000.0/SOLD-Dec/2014/580.0/SOLD
60-donald-street-brunswick-vic-3056,1080000,17-Nov-2021,2,1,1,207,m2,"House","https://www.domain.com.au/60-donald-street-brunswick-vic-3056-2017279827",,0.4-1.7-1.8,3,Oct/2021/1080000.0/SOLD
156-gold-street-brunswick-vic-3056,1100000,13-Nov-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/156-gold-street-brunswick-vic-3056-2017340490",,0.4-1-1.4,3,Nov/2021/1100000.0/SOLD
99-wilson-street-brunswick-vic-3056,1100000,12-Nov-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/99-wilson-street-brunswick-vic-3056-2017359747",,0.4-1.2-1.2,3,Nov/2021/1100000.0/SOLD
312-albion-street-brunswick-vic-3056,1065000,06-Nov-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/312-albion-street-brunswick-vic-3056-2017317898",,0.7-1.3-1,3,Nov/2021/1065000.0/SOLD-Feb/2000/211000.0/SOLD-May/1992/105000.0/SOLD
149-albert-street-brunswick-vic-3056,1300000,03-Nov-2021,2,1,1,-1,None,"House","https://www.domain.com.au/149-albert-street-brunswick-vic-3056-2017340180",,1-1.1-1.8,3,Nov/2021/1300000.0/SOLD-Aug/2018/890000.0/SOLD
111-edward-street-brunswick-vic-3056,950000,30-Oct-2021,2,1,-1,141,m2,"House","https://www.domain.com.au/111-edward-street-brunswick-vic-3056-2017239687",,0.8-0.9-2.2,3,Oct/2021/950000.0/SOLD
11-osborne-street-brunswick-vic-3056,1601000,23-Oct-2021,2,1,2,-1,None,"House","https://www.domain.com.au/11-osborne-street-brunswick-vic-3056-2017281971",,0.8-0.9-1,3,Oct/2021/1601000.0/SOLD-May/2014/920000.0/SOLD-Jul/2009/660000.0/SOLD
74-lyle-street-brunswick-vic-3056,1092500,23-Oct-2021,2,1,1,153,m2,"House","https://www.domain.com.au/74-lyle-street-brunswick-vic-3056-2017265525",,0.5-0.7-1.1,3,Oct/2021/1092500.0/SOLD-Aug/2012/540000.0/SOLD-Sep/2008/435900.0/SOLD
117-mitchell-street-brunswick-vic-3056,995000,22-Oct-2021,2,1,2,231,m2,"House","https://www.domain.com.au/117-mitchell-street-brunswick-vic-3056-2017281004","Secure Parking*",0.7-1.4-1.9,3,Oct/2021/995000.0/SOLD
19-davison-street-brunswick-vic-3056,1400000,20-Oct-2021,2,1,1,155,m2,"House","https://www.domain.com.au/19-davison-street-brunswick-vic-3056-2017291549",,0.7-1-1,3,Oct/2021/1400000.0/SOLD
4/7-ormond-street-brunswick-vic-3056,595000,20-Oct-2021,2,1,1,-1,None,"Villa","https://www.domain.com.au/4-7-ormond-street-brunswick-vic-3056-2017090693",,0.8-1.3-1.1,3,
47b-garnet-street-brunswick-vic-3056,995000,12-Oct-2021,2,1,1,-1,None,"House","https://www.domain.com.au/47b-garnet-street-brunswick-vic-3056-2017139386",,0.9-1.6-0.8,3,Oct/2021/995000.0/SOLD
20-luscombe-street-brunswick-vic-3056,1036000,09-Oct-2021,2,1,1,-1,None,"House","https://www.domain.com.au/20-luscombe-street-brunswick-vic-3056-2017119889",,0.3-0.9-2.1,3,Oct/2021/1036000.0/SOLD-Apr/2016/815000.0/SOLD
17a-barry-street-brunswick-vic-3056,1052000,06-Oct-2021,2,1,1,-1,None,"House","https://www.domain.com.au/17a-barry-street-brunswick-vic-3056-2017164819",,0.3-0.9-1.4,3,Oct/2021/1052000.0/SOLD
102-wilson-street-brunswick-vic-3056,1215000,02-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/102-wilson-street-brunswick-vic-3056-2017179696",,0.4-1.2-1.3,3,Oct/2021/1215000.0/SOLD-Aug/2015/770000.0/SOLD
2-watson-street-brunswick-vic-3056,1065000,30-Sep-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/2-watson-street-brunswick-vic-3056-2017259883",,0.6-1-1,3,Oct/2021/1065000.0/SOLD-May/2011/584000.0/SOLD
90-wilson-street-brunswick-vic-3056,1350000,27-Sep-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/90-wilson-street-brunswick-vic-3056-2017274948",,0.4-1.2-1.2,3,Sep/2021/1350000.0/SOLD
12-thomas-street-brunswick-vic-3056,1100000,24-Sep-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/12-thomas-street-brunswick-vic-3056-2017265751",,0.9-1.2-1.9,3,Sep/2021/1100000.0/SOLD
118/37-breese-street-brunswick-vic-3056,485000,10-Sep-2021,2,2,1,-1,None,"House","https://www.domain.com.au/118-37-breese-street-brunswick-vic-3056-2017251767",,0.9-1.1-0.7,3,
11-bourke-street-brunswick-vic-3056,1190000,03-Sep-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/11-bourke-street-brunswick-vic-3056-2017172335",,1-1.1-1.8,3,Sep/2021/1190000.0/SOLD-Feb/2013/630000.0/SOLD-Apr/2009/525500.0/SOLD
81-blyth-street-brunswick-vic-3056,950000,26-Aug-2021,2,1,1,171,m2,"House","https://www.domain.com.au/81-blyth-street-brunswick-vic-3056-2017174912",,0.9-1.3-1.6,3,Aug/2021/950000.0/SOLD
10-bourke-street-brunswick-vic-3056,1030000,14-Aug-2021,2,1,1,-1,None,"House","https://www.domain.com.au/10-bourke-street-brunswick-vic-3056-2017142642",,1-1.1-1.8,3,Aug/2021/1030000.0/SOLD
20-ashmore-street-brunswick-vic-3056,995000,26-Jul-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/20-ashmore-street-brunswick-vic-3056-2017135893",,0.7-1.4-1.6,3,Jul/2021/995000.0/SOLD
