"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
7-magenta-place-carlton-vic-3053,1450000,08-Dec-2021,3,3,2,-1,None,"House","https://www.domain.com.au/7-magenta-place-carlton-vic-3053-2017411280",,0.4-1.2-0.8,3,Dec/2021/1450000.0/SOLD-Aug/2015/950000.0/SOLD
131-133-station-street-carlton-vic-3053,2404000,13-Nov-2021,3,3,1,261,m2,"House","https://www.domain.com.au/131-133-station-street-carlton-vic-3053-2017325615",,0.4-1.4-0.3,3,Nov/2021/2404000.0/SOLD
71-station-street-carlton-vic-3053,2020000,06-Nov-2021,3,2,1,-1,None,"House","https://www.domain.com.au/71-station-street-carlton-vic-3053-2017335281",,0.4-1.6-0.5,3,Sep/2009/605000.0/SOLD-Apr/1993/140000.0/SOLD-Mar/1985/67000.0/SOLD
110-canning-street-carlton-vic-3053,1630000,14-Oct-2021,3,2,-1,-1,None,"House","https://www.domain.com.au/110-canning-street-carlton-vic-3053-2017272637",,0.4-1.6-0.5,3,Oct/2021/1630000.0/SOLD
95-station-street-carlton-vic-3053,1341000,06-Oct-2021,3,1,-1,-1,None,"House","https://www.domain.com.au/95-station-street-carlton-vic-3053-2017169755",,0.4-1.5-0.4,3,Oct/2021/1341000.0/SOLD
206-rathdowne-street-carlton-vic-3053,1390000,09-Jul-2021,3,2,1,-1,None,"House","https://www.domain.com.au/206-rathdowne-street-carlton-vic-3053-2017062101",,0.3-1.3-0.5,3,Jul/2021/1390000.0/SOLD-May/2001/398000.0/SOLD
148-leicester-street-carlton-vic-3053,1500000,22-May-2021,3,2,1,-1,None,"House","https://www.domain.com.au/148-leicester-street-carlton-vic-3053-2016969153",,0.8-0.8-0.5,3,May/2021/1500000.0/SOLD-Jan/1995/380.0/SOLD
117-station-street-carlton-vic-3053,2065000,10-Apr-2021,3,1,2,-1,None,"House","https://www.domain.com.au/117-station-street-carlton-vic-3053-2016876010",,0.5-1.5-0.4,3,Apr/2021/2065000.0/SOLD-Dec/2011/1040000.0/SOLD
65-macarthur-place-carlton-vic-3053,1522000,27-Mar-2021,3,2,-1,-1,None,"House","https://www.domain.com.au/65-macarthur-place-carlton-vic-3053-2016843767",,0.3-1.3-0.7,3,
86-kay-street-carlton-vic-3053,1325500,13-Mar-2021,3,2,-1,-1,None,"House","https://www.domain.com.au/86-kay-street-carlton-vic-3053-2016820806",,0.3-1.5-0.5,3,Feb/2021/1325500.0/SOLD-Apr/2012/870000.0/SOLD-May/2007/729000.0/SOLD
11-13-palmerston-place-carlton-vic-3053,1575000,03-Dec-2020,3,2,1,-1,None,"House","https://www.domain.com.au/11-13-palmerston-place-carlton-vic-3053-2016644746",,0.3-0.9-1,3,Dec/2020/1575000.0/SOLD-Dec/2016/900.0/SOLD
122-palmerston-street-carlton-vic-3053,1505000,21-Mar-2020,3,2,-1,-1,None,"House","https://www.domain.com.au/122-palmerston-street-carlton-vic-3053-2016101908",,0.2-1.4-0.7,3,Mar/2020/860.0/SOLD
241-nicholson-street-carlton-vic-3053,1737000,22-Feb-2020,3,2,1,-1,None,"House","https://www.domain.com.au/241-nicholson-street-carlton-vic-3053-2016032812",,0.4-1.5-0.3,3,Feb/2020/1737000.0/SOLD-Dec/2000/510000.0/SOLD-Sep/1998/350000.0/SOLD
258-faraday-street-carlton-vic-3053,1740000,26-Oct-2019,3,2,-1,-1,None,"House","https://www.domain.com.au/258-faraday-street-carlton-vic-3053-2015703925",,0.4-0.9-1,3,Oct/2019/1740000.0/SOLD-Oct/2015/1400000.0/SOLD
159-canning-street-carlton-vic-3053,1134000,21-Sep-2019,3,1,-1,-1,None,"House","https://www.domain.com.au/159-canning-street-carlton-vic-3053-2015550204",,0.4-1.4-0.4,3,Sep/2019/670.0/SOLD
85-neill-street-carlton-vic-3053,2005000,07-Sep-2019,3,1,2,353,m2,"House","https://www.domain.com.au/85-neill-street-carlton-vic-3053-2015520569",,0.3-1.4-0.5,3,Sep/2019/2005000.0/SOLD
