"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
1/9-11-plumer-street-croydon-vic-3136,635000,01-Dec-2021,2,1,1,171,m2,"House","https://www.domain.com.au/1-9-11-plumer-street-croydon-vic-3136-2017379172","Built in wardrobes*"-"Secure Parking*"-"Heating*",0.7-1.1-2.4,3,
2/147-149-maroondah-highway-croydon-vic-3136,557300,19-Nov-2021,2,1,1,114,m2,"House","https://www.domain.com.au/2-147-149-maroondah-highway-croydon-vic-3136-2017376607",,1-1.4-1.5,3,
1/2-anthony-street-croydon-vic-3136,790000,20-Oct-2021,2,1,2,-1,None,"House","https://www.domain.com.au/1-2-anthony-street-croydon-vic-3136-2017277214","Built in wardrobes"-"Balcony / Deck"-"Dishwasher"-"Heating"-"Floorboards"-"Fully fenced",0.2-0.4-9.8,3,
47-allendale-road-croydon-vic-3136,810000,18-Oct-2021,2,1,2,785,m2,"House","https://www.domain.com.au/47-allendale-road-croydon-vic-3136-2017286715","Fireplace(s)*"-"Kitchen"-"Fully fenced"-"Laundry",0.9-1.7-12.2,3,
222-maroondah-highway-croydon-vic-3136,800500,16-Oct-2021,2,1,1,809,m2,"House","https://www.domain.com.au/222-maroondah-highway-croydon-vic-3136-2017288473",,1-1.6-2.2,3,Oct/2021/800500.0/SOLD-Dec/1990/96000.0/SOLD-Oct/1987/63500.0/SOLD
1/378-mt-dandenong-road-croydon-vic-3136,660000,11-Oct-2021,2,1,1,-1,None,"House","https://www.domain.com.au/1-378-mt-dandenong-road-croydon-vic-3136-2017241636","Air conditioning*"-"Gas*"-"Secure Parking*"-"Bath*"-"Heating*"-"Laundry",0.3-2.1-11.7,3,
1/15-17-haig-street-croydon-vic-3136,655156,06-Oct-2021,2,1,1,177,m2,"House","https://www.domain.com.au/1-15-17-haig-street-croydon-vic-3136-2017258679",,0.7-1-2.5,3,
2/22-niel-street-croydon-vic-3136,696000,05-Oct-2021,2,1,1,245,m2,"House","https://www.domain.com.au/2-22-niel-street-croydon-vic-3136-2017246116","Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Bath*"-"Balcony / Deck*",0.7-1.2-2.4,3,
1/3-elmore-avenue-croydon-vic-3136,694000,14-Sep-2021,2,1,1,-1,None,"House","https://www.domain.com.au/1-3-elmore-avenue-croydon-vic-3136-2017230939","Built in wardrobes*"-"Bath*"-"Fireplace(s)*"-"Heating*"-"Shed*"-"Garden*"-"Balcony / Deck*",1.2-1.8-2.5,3,
6/130-dorset-road-croydon-vic-3136,600000,02-Sep-2021,2,1,1,157,m2,"House","https://www.domain.com.au/6-130-dorset-road-croydon-vic-3136-2017263366",,1.6-2-2.2,3,
57-surrey-road-east-croydon-vic-3136,940000,27-Aug-2021,2,1,2,1050,m2,"House","https://www.domain.com.au/57-surrey-road-east-croydon-vic-3136-2017182296","Close to transport"-"Close to shops"-"Close to schools",0.8-1.3-2.3,3,Aug/2021/940000.0/SOLD-May/1998/330.0/SOLD
2/130-dorset-road-croydon-vic-3136,585000,20-Aug-2021,2,1,1,-1,None,"House","https://www.domain.com.au/2-130-dorset-road-croydon-vic-3136-2017263394",,1.6-2-2.2,3,
192-dorset-road-croydon-vic-3136,1165000,10-Jul-2021,2,1,2,1406,m2,"House","https://www.domain.com.au/192-dorset-road-croydon-vic-3136-2017038794","Shed"-"Study",1.1-1.6-2.1,3,Jul/2021/1165000.0/SOLD-Jul/2017/1000000.0/SOLD
