"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
17-como-court-dromana-vic-3936,1210000,22-Oct-2021,6,3,-1,886,m2,"House","https://www.domain.com.au/17-como-court-dromana-vic-3936-2017222606","Heating*"-"Study*"-"Balcony / Deck*",2.1-2.9,2,Oct/2021/1210000.0/SOLD-Jun/2017/812000.0/SOLD-Apr/2016/635000.0/SOLD
1082-arthurs-seat-road-dromana-vic-3936,1900000,18-Oct-2021,7,3,1,2201,m2,"House","https://www.domain.com.au/1082-arthurs-seat-road-dromana-vic-3936-2017295228","Air conditioning*"-"Heating*"-"Balcony / Deck*",0.8-5.3,2,Oct/2021/1900000.0/SOLD-Oct/2017/1100000.0/SOLD-Feb/1998/190000.0/SOLD
1104-arthurs-seat-road-dromana-vic-3936,1250000,06-Oct-2021,5,3,2,1005,m2,"House","https://www.domain.com.au/1104-arthurs-seat-road-dromana-vic-3936-2017263036",,0.6-5.2,2,Oct/2021/1250000.0/SOLD-Dec/2017/690000.0/SOLD-May/2016/610000.0/SOLD
4-howitt-street-dromana-vic-3936,1455000,15-Jun-2021,5,2,2,811,m2,"House","https://www.domain.com.au/4-howitt-street-dromana-vic-3936-2016990754","Garden*",1.6-5.5-4.4,3,Jun/2021/1455000.0/SOLD-May/2015/810000.0/SOLD
dromana-vic-3936,1445000,12-Jun-2021,5,2,2,-1,None,"House","https://www.domain.com.au/dromana-vic-3936-2017092513",,0.5-4.3,2,
16-heales-street-dromana-vic-3936,1800000,24-May-2021,5,4,2,780,m2,"House","https://www.domain.com.au/16-heales-street-dromana-vic-3936-2017106444",,0.3-4.8,2,May/2021/1800000.0/SOLD-Mar/2006/360000.0/SOLD
16-heales-street-dromana-vic-3936,1800000,23-May-2021,5,4,2,780,m2,"House","https://www.domain.com.au/16-heales-street-dromana-vic-3936-2016894974","Pets Allowed*"-"Secure Parking*"-"Intercom*"-"Fireplace(s)*"-"Dishwasher*"-"Garden*",0.3-4.8,2,May/2021/1800000.0/SOLD-Mar/2006/360000.0/SOLD
19-mcarthur-street-dromana-vic-3936,922000,30-Mar-2021,5,3,4,464,m2,"House","https://www.domain.com.au/19-mcarthur-street-dromana-vic-3936-2016751543","Built in wardrobes"-"Dishwasher"-"Heating"-"Secure Parking"-"Air conditioning"-"Study"-"Ensuite",0.4-5.1,2,
52-dahlia-street-dromana-vic-3936,1875000,04-Mar-2021,7,5,4,843,m2,"House","https://www.domain.com.au/52-dahlia-street-dromana-vic-3936-2016669362","Air conditioning"-"Ensuite"-"Floorboards"-"Indoor Spa"-"Gym"-"Built in wardrobes"-"Internal Laundry"-"Pets Allowed"-"Gas"-"Broadband internet access"-"Bath"-"Separate Dining Room"-"Heating"-"Dishwasher"-"Study"-"Secure Parking"-"Fully fenced"-"Balcony / Deck"-"Garden / Courtyard"-"Outdoor Spa"-"Water Views"-"North Facing"-"City Views"-"Double glazed windows"-"Wall / ceiling insulation"-"Rainwater storage tank"-"Solar panels",1.3-3.5,2,Mar/2021/1875000.0/SOLD-Aug/2003/212000.0/SOLD-Dec/1998/76000.0/SOLD
21-dorothea-crescent-dromana-vic-3936,1300000,22-Feb-2021,5,2,2,953,m2,"House","https://www.domain.com.au/21-dorothea-crescent-dromana-vic-3936-2016811675","Air conditioning"-"Area Views"-"Built in wardrobes"-"Water Views"-"Ocean Views",0.7-4.3,2,Feb/2021/1300000.0/SOLD-May/2011/340000.0/SOLD-Jan/2008/237000.0/SOLD
6-frieda-street-dromana-vic-3936,630000,01-Feb-2021,5,2,1,464,m2,"House","https://www.domain.com.au/6-frieda-street-dromana-vic-3936-2016641316","Gas*"-"Internal Laundry*"-"Bath*"-"Dishwasher*"-"Air conditioning"-"Built in wardrobes",0.9-3.8,2,Feb/2021/630000.0/SOLD
17-you-yangs-avenue-dromana-vic-3936,1585000,15-Dec-2020,5,3,2,747,m2,"House","https://www.domain.com.au/17-you-yangs-avenue-dromana-vic-3936-2016671960","Secure Parking*"-"Garden*"-"Air conditioning"-"Heating"-"Built in wardrobes"-"Close to transport"-"Close to shops"-"Swimming Pool"-"Vacuum System"-"Close to schools"-"Water Views"-"City Views"-"Ocean Views",1-3.7,2,Dec/2020/1585000.0/SOLD
330-boundary-road-dromana-vic-3936,796600,04-Nov-2020,5,2,2,1010,m2,"House","https://www.domain.com.au/330-boundary-road-dromana-vic-3936-2016242808",,0.7-4,2,Nov/2020/796600.0/SOLD
7-joan-avenue-dromana-vic-3936,900000,07-Oct-2020,5,2,1,937,m2,"House","https://www.domain.com.au/7-joan-avenue-dromana-vic-3936-2015980328","Garden*",1.4-3.8,2,Oct/2020/900000.0/SOLD
23-clarendon-street-dromana-vic-3936,1350000,24-Jun-2020,5,3,2,-1,None,"House","https://www.domain.com.au/23-clarendon-street-dromana-vic-3936-2016187951",,0.5-5.2,2,Jun/2020/1350000.0/SOLD-Oct/1993/53000.0/SOLD-Feb/1986/40000.0/SOLD
369-point-nepean-road-dromana-vic-3936,1320000,23-Jun-2020,5,2,2,687,m2,"House","https://www.domain.com.au/369-point-nepean-road-dromana-vic-3936-2016224129","Secure Parking*"-"Garden*"-"Balcony / Deck*",0.5-5.2,2,Jun/2020/1320000.0/SOLD-Sep/2013/870000.0/SOLD-Jan/1993/220000.0/SOLD
28-olympic-parade-dromana-vic-3936,810000,11-Feb-2020,5,3,2,717,m2,"House","https://www.domain.com.au/28-olympic-parade-dromana-vic-3936-2016056303",,1.9-2.8,2,Feb/2020/810000.0/SOLD-May/1994/34000.0/SOLD
9-pasley-street-dromana-vic-3936,900000,23-Jan-2020,5,2,-1,1006,m2,"House","https://www.domain.com.au/9-pasley-street-dromana-vic-3936-2015894920","Deck"-"Floorboards",0.6-5.3,2,Jan/2020/695.0/SOLD-Sep/2017/900000.0/SOLD
19-monaco-parade-dromana-vic-3936,625000,27-Nov-2019,5,2,2,715,m2,"House","https://www.domain.com.au/19-monaco-parade-dromana-vic-3936-2015748686",,1.9-2.9,2,Nov/2019/625000.0/SOLD-Dec/2015/485000.0/SOLD-Oct/2008/365000.0/SOLD
19-monaco-parade-dromana-vic-3936,625000,27-Nov-2019,5,2,2,715,m2,"House","https://www.domain.com.au/19-monaco-parade-dromana-vic-3936-2015962723",,1.9-2.9,2,Nov/2019/625000.0/SOLD-Dec/2015/485000.0/SOLD-Oct/2008/365000.0/SOLD
29-wunda-street-dromana-vic-3936,1140000,23-Nov-2019,6,2,2,607,m2,"House","https://www.domain.com.au/29-wunda-street-dromana-vic-3936-2015802668","Deck"-"Remote Garage"-"Broadband Internet Available"-"Dishwasher"-"Air conditioning"-"Ducted Heating"-"Reverse Cycle Air Conditioning"-"Energy Eff. Rating: 6",0.8-5.3,2,Nov/2019/1140000.0/SOLD-Nov/2017/470000.0/SOLD-Feb/1998/35000.0/SOLD
296-boundary-road-dromana-vic-3936,1010000,16-Sep-2019,5,3,2,799,m2,"House","https://www.domain.com.au/296-boundary-road-dromana-vic-3936-2015634202","Ensuite",1.1-3.7,2,Sep/2019/1010000.0/SOLD
14-&-14a-hearn-street-dromana-vic-3936,1325000,09-Aug-2019,5,3,4,892,m2,"House","https://www.domain.com.au/14-14a-hearn-street-dromana-vic-3936-2014700258","Water Views"-"City Views",1.7-5.3-4.3,3,
12-rosalie-avenue-dromana-vic-3936,640000,01-Aug-2019,5,2,3,699,m2,"House","https://www.domain.com.au/12-rosalie-avenue-dromana-vic-3936-2015434902",,2.1-3.2,2,Aug/2019/640000.0/SOLD
18-burns-close-dromana-vic-3936,1100000,11-Jun-2019,5,3,5,1106,m2,"House","https://www.domain.com.au/18-burns-close-dromana-vic-3936-2015171168",,0.7-4.4,2,Jun/2019/1100000.0/SOLD-Feb/1987/70000.0/SOLD
5-catalina-avenue-dromana-vic-3936,650000,13-Jan-2019,5,3,1,725,m2,"House","https://www.domain.com.au/5-catalina-avenue-dromana-vic-3936-2013796549",,2-2.9,2,Jan/2018/650000.0/SOLD-Mar/2003/190000.0/SOLD
48-50-fig-street-dromana-vic-3936,1006000,26-May-2018,6,2,2,1207,m2,"House","https://www.domain.com.au/48-50-fig-street-dromana-vic-3936-2014135091",,1.5-3.3,2,
10-bellevue-road-dromana-vic-3936,1200000,01-May-2018,5,2,2,-1,None,"House","https://www.domain.com.au/10-bellevue-road-dromana-vic-3936-2014269948",,1.7-3.3,2,Apr/2018/1200000.0/SOLD-Jan/2011/650.0/SOLD
31-seacombe-street-dromana-vic-3936,1125000,21-Feb-2018,5,2,6,702,m2,"House","https://www.domain.com.au/31-seacombe-street-dromana-vic-3936-2014087745",,1.5-3.7,2,Feb/2018/1125000.0/SOLD
2-mcculloch-street-dromana-vic-3936,900000,19-Dec-2017,6,2,2,538,m2,"House","https://www.domain.com.au/2-mcculloch-street-dromana-vic-3936-2014011032",,0.5-4.7,2,Nov/2017/900000.0/SOLD-Oct/1999/180000.0/SOLD-Oct/1989/120000.0/SOLD
32-seaview-parade-dromana-vic-3936,850000,17-Nov-2017,5,2,2,-1,None,"House","https://www.domain.com.au/32-seaview-parade-dromana-vic-3936-2013953334",,0.6-4.2,2,Feb/2014/580000.0/SOLD-Sep/2012/363502.0/SOLD-Feb/2003/325000.0/SOLD
42-dahlia-street-dromana-vic-3936,780000,25-Mar-2017,5,2,2,1211,m2,"House","https://www.domain.com.au/42-dahlia-street-dromana-vic-3936-2013320288",,1.3-3.4,2,Oct/2020/880000.0/SOLD
