"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
3/6-lincoln-road-essendon-vic-3040,420000,28-Nov-2020,1,1,1,-1,None,"Villa","https://www.domain.com.au/3-6-lincoln-road-essendon-vic-3040-2016560319",,1.1-1.3-7.2,3,
4/6-lincoln-road-essendon-vic-3040,476000,23-Nov-2019,1,1,1,-1,None,"Villa","https://www.domain.com.au/4-6-lincoln-road-essendon-vic-3040-2015832407",,1.1-1.3-7.2,3,
2/13-schofield-street-essendon-vic-3040,480000,29-Jun-2019,1,1,1,-1,None,"Villa","https://www.domain.com.au/2-13-schofield-street-essendon-vic-3040-2015315733",,1.1-1.4-7.9,3,
4/1-ardoch-street-essendon-vic-3040,460000,08-Nov-2018,1,1,1,-1,None,"Villa","https://www.domain.com.au/4-1-ardoch-street-essendon-vic-3040-2014713689",,0.3-1.6-8.3,3,
4/16-vanberg-road-essendon-vic-3040,305000,06-Sep-2017,1,1,1,-1,None,"Villa","https://www.domain.com.au/4-16-vanberg-road-essendon-vic-3040-2013624346","Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport"-"Floorboards",0.9-2-9.2,3,
1/5-thistle-street-essendon-vic-3040,365000,19-May-2017,1,1,1,-1,None,"Villa","https://www.domain.com.au/1-5-thistle-street-essendon-vic-3040-2013487241",,0.8-1.4-7.6,3,
315---317-keilor-road-essendon-vic-3040,1600000,25-Nov-2016,1,1,2,-1,None,"House","https://www.domain.com.au/315-317-keilor-road-essendon-vic-3040-2013279439",,0.7-1-6.5,3,
3/4-mcphail-street-essendon-vic-3040,260000,12-Aug-2015,1,1,1,-1,None,"House","https://www.domain.com.au/3-4-mcphail-street-essendon-vic-3040-2011981789",,0.8-1.6-7.5,3,
16/297-pascoe-vale-road-essendon-vic-3040,285000,25-Feb-2015,1,1,1,-1,None,"House","https://www.domain.com.au/16-297-pascoe-vale-road-essendon-vic-3040-2011792883",,0.8-1-8.8,3,
27-woodland-street-essendon-vic-3040,502500,22-Sep-2010,1,1,2,-1,None,"House","https://www.domain.com.au/27-woodland-street-essendon-vic-3040-2008386656",,0.7-0.9-8.9,3,
