"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
1/155-roberts-street-essendon-vic-3040,835000,04-Dec-2021,3,1,1,-1,None,"Villa","https://www.domain.com.au/1-155-roberts-street-essendon-vic-3040-2017391275","Built in wardrobes*"-"Gas*"-"Internal Laundry*"-"Secure Parking*"-"Bath*"-"Heating*",0.3-0.7-6.8,3,
44-hedderwick-street-essendon-vic-3040,2800000,02-Dec-2021,3,1,4,-1,None,"House","https://www.domain.com.au/44-hedderwick-street-essendon-vic-3040-2017401035","Air conditioning*"-"Secure Parking*"-"Heating*",0.4-0.9-6.6,3,Dec/2021/2800000.0/SOLD
19-laluma-street-essendon-vic-3040,1622000,27-Nov-2021,3,1,-1,-1,None,"House","https://www.domain.com.au/19-laluma-street-essendon-vic-3040-2017368139","Internal Laundry*"-"Fireplace(s)*"-"2 Toilets"-"Built in wardrobes"-"Dishwasher"-"Ducted Cooling"-"Ducted Heating"-"Floorboards",0.7-0.9-6.9,3,Nov/2021/1622000.0/SOLD-Aug/2011/841000.0/SOLD-Jun/2005/450000.0/SOLD
95-napier-crescent-essendon-vic-3040,1530000,26-Nov-2021,3,1,1,-1,None,"House","https://www.domain.com.au/95-napier-crescent-essendon-vic-3040-2017403441","Internal Laundry*",0.7-1.2-8.7,3,Dec/2021/1530000.0/SOLD-Feb/1988/93000.0/SOLD
51-hedderwick-street-essendon-vic-3040,2773000,26-Nov-2021,3,1,2,885,m2,"House","https://www.domain.com.au/51-hedderwick-street-essendon-vic-3040-2017411734","Gas*"-"Secure Parking*",0.4-0.8-6.5,3,Dec/2021/2773000.0/SOLD
33-waverley-street-essendon-vic-3040,1535000,20-Nov-2021,3,1,3,615,m2,"House","https://www.domain.com.au/33-waverley-street-essendon-vic-3040-2017288615",,1-1.5-7,3,Nov/2021/1535000.0/SOLD-Nov/1990/520.0/SOLD
45-hoddle-street-essendon-vic-3040,1180000,13-Nov-2021,3,1,-1,305,m2,"House","https://www.domain.com.au/45-hoddle-street-essendon-vic-3040-2017333000","Gas*"-"Internal Laundry*"-"Bath*"-"Fireplace(s)*",0.2-1.8-8.5,3,Nov/2021/1180000.0/SOLD
86-tennyson-street-essendon-vic-3040,1290000,13-Nov-2021,3,2,2,302,m2,"House","https://www.domain.com.au/86-tennyson-street-essendon-vic-3040-2017238998","Air conditioning*"-"Built in wardrobes*"-"Internal Laundry*"-"Fireplace(s)*"-"Heating*"-"Balcony / Deck*",0.8-2.3-9.1,3,Nov/2021/1290000.0/SOLD-Jul/2017/1040999.9999999999/SOLD
29-gilbertson-street-essendon-vic-3040,2076000,13-Nov-2021,3,1,1,-1,None,"House","https://www.domain.com.au/29-gilbertson-street-essendon-vic-3040-2017354695","Internal Laundry*"-"Secure Parking*"-"Heating*",0.5-0.6-6.5,3,
1-peterleigh-grove-essendon-vic-3040,1946000,08-Nov-2021,3,2,4,-1,None,"House","https://www.domain.com.au/1-peterleigh-grove-essendon-vic-3040-2017356921","Air conditioning*"-"Gas*"-"Internal Laundry*"-"Secure Parking*"-"Fireplace(s)*"-"Heating*"-"Dishwasher*",0.3-1.6-8.4,3,Nov/2021/1946000.0/SOLD-Aug/1992/248000.0/SOLD-Jun/1987/165000.0/SOLD
