"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
21-liverpool-street-footscray-vic-3011,1015000,02-Dec-2021,4,2,2,-1,None,"House","https://www.domain.com.au/21-liverpool-street-footscray-vic-3011-2017402254","Secure Parking*"-"Heating*"-"Balcony / Deck*",0.6-1.1-1.1,3,Dec/2021/1014999.9999999999/SOLD-Aug/2017/555000.0/SOLD-Sep/2000/47000.0/SOLD
52-dudley-street-footscray-vic-3011,1365000,19-Nov-2021,4,2,2,280,m2,"House","https://www.domain.com.au/52-dudley-street-footscray-vic-3011-2017374492",,0.7-1.2-1.2,3,Nov/2021/1365000.0/SOLD-Sep/2016/965000.0/SOLD-Feb/2007/328000.0/SOLD
5-bunbury-street-footscray-vic-3011,1300000,12-Nov-2021,4,1,2,-1,None,"House","https://www.domain.com.au/5-bunbury-street-footscray-vic-3011-2017079648","Built in wardrobes*"-"Gas*"-"Shed*",0.6-1.8-1.8,3,Nov/2021/1300000.0/SOLD-Feb/2006/530.0/SOLD
15-maddock-street-footscray-vic-3011,975000,30-Oct-2021,4,1,2,-1,None,"House","https://www.domain.com.au/15-maddock-street-footscray-vic-3011-2017294233","Internal Laundry*"-"Secure Parking*"-"Heating*",0.3-0.7-1.1,3,Oct/2021/550.0/SOLD-Dec/1985/975000.0/SOLD
69-pickett-street-footscray-vic-3011,950000,31-Jul-2021,4,1,-1,-1,None,"House","https://www.domain.com.au/69-pickett-street-footscray-vic-3011-2016711600",,0.3-0.3-1.1,3,
25-smith-crescent-footscray-vic-3011,1677000,08-May-2021,4,2,1,-1,None,"House","https://www.domain.com.au/25-smith-crescent-footscray-vic-3011-2016935523",,0.4-0.4-0.9,3,May/2021/1677000.0/SOLD
1/5-7-ballarat-road-footscray-vic-3011,1140000,17-Apr-2021,4,2,2,-1,None,"House","https://www.domain.com.au/1-5-7-ballarat-road-footscray-vic-3011-2016888181","Secure Parking*"-"Heating*"-"Dishwasher*"-"Balcony / Deck*",1.3-1.4-1.5,3,
47-eleanor-street-footscray-vic-3011,1300000,25-Mar-2021,4,2,1,-1,None,"House","https://www.domain.com.au/47-eleanor-street-footscray-vic-3011-2016840618",,0.7-0.8-0.8,3,Mar/2021/1300000.0/SOLD
60-bunbury-street-footscray-vic-3011,1804000,20-Mar-2021,4,3,1,-1,None,"House","https://www.domain.com.au/60-bunbury-street-footscray-vic-3011-2016802648",,0.5-1.5-1.5,3,Mar/2021/1804000.0/SOLD-Feb/2007/250.0/SOLD
27-buckingham-street-footscray-vic-3011,950500,18-Mar-2021,4,1,3,-1,None,"House","https://www.domain.com.au/27-buckingham-street-footscray-vic-3011-2016812779",,0.4-0.5-1.2,3,Mar/2021/950500.0/SOLD-Sep/2011/550000.0/SOLD-Jan/2006/275000.0/SOLD
18-adelaide-street-footscray-vic-3011,1020000,15-Mar-2021,4,1,-1,-1,None,"House","https://www.domain.com.au/18-adelaide-street-footscray-vic-3011-2016791849",,0.6-0.7-0.7,3,Mar/2021/1020000.0/SOLD
108-macpherson-street-footscray-vic-3011,1175000,18-Feb-2021,4,1,2,-1,None,"House","https://www.domain.com.au/108-macpherson-street-footscray-vic-3011-2016747070",,0.3-0.5-0.8,3,Feb/2021/570.0/SOLD
21-coral-avenue-footscray-vic-3011,947000,12-Feb-2021,4,1,1,-1,None,"House","https://www.domain.com.au/21-coral-avenue-footscray-vic-3011-2016621989","Gas*"-"Internal Laundry*"-"Secure Parking*"-"Heating*"-"Garden*",0.3-0.9-1.3,3,Feb/2021/947000.0/SOLD-Jun/2010/590000.0/SOLD
10-wolverhampton-street-footscray-vic-3011,915000,04-Jan-2021,4,3,2,-1,None,"House","https://www.domain.com.au/10-wolverhampton-street-footscray-vic-3011-2016709943",,0.3-0.5-0.6,3,Jan/2021/915000.0/SOLD-Aug/2008/420.0/SOLD
168-geelong-road-footscray-vic-3011,1131000,14-Dec-2020,4,2,1,-1,None,"House","https://www.domain.com.au/168-geelong-road-footscray-vic-3011-2016658837",,0.4-0.5-1.1,3,Dec/2020/650.0/SOLD-Dec/2015/1131000.0/SOLD
24-beech-street-footscray-vic-3011,1150000,17-Jul-2020,4,2,2,-1,None,"House","https://www.domain.com.au/24-beech-street-footscray-vic-3011-2016261271",,0.8-0.9-1.3,3,Jul/2020/1150000.0/SOLD-Apr/2013/654800.0/SOLD
64-newell-street-footscray-vic-3011,1628000,20-Jun-2020,4,2,4,595,m2,"House","https://www.domain.com.au/64-newell-street-footscray-vic-3011-2016275827",,0.6-0.8-0.9,3,Jun/2020/1628000.0/SOLD
4-smith-crescent-footscray-vic-3011,1350000,25-Mar-2020,4,1,4,-1,None,"House","https://www.domain.com.au/4-smith-crescent-footscray-vic-3011-2016101942",,0.3-0.3-0.9,3,Mar/2020/1350000.0/SOLD
5-newell-street-footscray-vic-3011,1236000,19-Feb-2020,4,1,-1,-1,None,"House","https://www.domain.com.au/5-newell-street-footscray-vic-3011-2016076940",,1.1-1.4-5,3,Feb/2020/1236000.0/SOLD-Jul/2007/495.0/SOLD
71-summerhill-road-footscray-vic-3011,873000,12-Feb-2020,4,1,1,-1,None,"House","https://www.domain.com.au/71-summerhill-road-footscray-vic-3011-2016027289",,0.6-1.1-1.1,3,Feb/2020/873000.0/SOLD
5-hyde-street-footscray-vic-3011,1076500,05-Sep-2019,4,1,-1,260,m2,"House","https://www.domain.com.au/5-hyde-street-footscray-vic-3011-2015512859",,0.4-1.5-1.5,3,Sep/2019/1076500.0/SOLD
97-gordon-street-footscray-vic-3011,825000,09-Aug-2019,4,2,1,341,m2,"House","https://www.domain.com.au/97-gordon-street-footscray-vic-3011-2013772462",,0.5-0.5-0.6,3,Jul/2019/550.0/SOLD
19-cowper-street-footscray-vic-3011,750000,01-Aug-2019,4,1,1,270,m2,"House","https://www.domain.com.au/19-cowper-street-footscray-vic-3011-2015408764",,1-1.3-4.9,3,Jul/2019/750000.0/SOLD
6-latrobe-street-footscray-vic-3011,1140000,13-Jun-2019,4,2,1,390,m2,"House","https://www.domain.com.au/6-latrobe-street-footscray-vic-3011-2014999318",,0.3-0.5-0.8,3,Jun/2019/1140000.0/SOLD
20-coral-avenue-footscray-vic-3011,975000,01-Jun-2019,4,1,1,-1,None,"House","https://www.domain.com.au/20-coral-avenue-footscray-vic-3011-2014756861",,0.3-0.9-1.3,3,Jun/2019/975000.0/SOLD-Nov/2005/495.0/SOLD
90-mcdougall-drive-footscray-vic-3011,960000,08-May-2019,4,2,2,-1,None,"House","https://www.domain.com.au/90-mcdougall-drive-footscray-vic-3011-2015119404",,0.9-1.4-3.3,3,Apr/2019/960000.0/SOLD-Mar/2014/817746.0/SOLD
