"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
20-cusdin-street-glen-iris-vic-3146,3228888,04-Dec-2021,4,4,2,728,m2,"House","https://www.domain.com.au/20-cusdin-street-glen-iris-vic-3146-2017403389",,0.7-2.2-9.2,3,Dec/2021/3228888.0/SOLD-Oct/2003/620000.0/SOLD
7-allenby-avenue-glen-iris-vic-3146,1630000,20-Nov-2021,4,1,2,590,m2,"House","https://www.domain.com.au/7-allenby-avenue-glen-iris-vic-3146-2017372370",,0.7-2.9-7,3,Nov/2021/1630000.0/SOLD
55-park-road-glen-iris-vic-3146,2450000,13-Nov-2021,4,3,2,717,m2,"House","https://www.domain.com.au/55-park-road-glen-iris-vic-3146-2017328990","Air conditioning"-"Heating"-"Built in wardrobes"-"Swimming Pool"-"Intercom"-"Open Fire Place"-"Ensuite"-"Security Access"-"Study",0.6-1.6-9.7,3,Nov/2021/2450000.0/SOLD-Jun/2006/896555.0/SOLD
35-great-valley-road-glen-iris-vic-3146,2808000,06-Nov-2021,4,2,2,757,m2,"House","https://www.domain.com.au/35-great-valley-road-glen-iris-vic-3146-2017319515","Air conditioning"-"Heating"-"Built in wardrobes"-"Alarm System"-"Open Fire Place"-"Vacuum System"-"Ensuite"-"Security System"-"Study",0.5-2.2-9.6,3,Nov/2021/2808000.0/SOLD-Oct/2013/1510000.0/SOLD-May/1996/200000.0/SOLD
5-lurnea-road-glen-iris-vic-3146,2961000,03-Nov-2021,4,2,2,728,m2,"House","https://www.domain.com.au/5-lurnea-road-glen-iris-vic-3146-2017321481",,0.3-3-10.4,3,Nov/2021/2961000.0/SOLD
6-howitt-street-glen-iris-vic-3146,2237500,30-Oct-2021,4,1,1,664,m2,"House","https://www.domain.com.au/6-howitt-street-glen-iris-vic-3146-2017300207","Air conditioning*"-"Gas*"-"Internal Laundry*"-"Bath*"-"Fireplace(s)*"-"Heating*"-"Study*",0.7-1.2-9.5,3,Oct/2021/2237500.0/SOLD
55-vears-road-glen-iris-vic-3146,3275000,30-Oct-2021,4,3,2,712,m2,"House","https://www.domain.com.au/55-vears-road-glen-iris-vic-3146-2017291793","Air conditioning"-"Heating"-"Built in wardrobes"-"Alarm System"-"Spa"-"Vacuum System"-"Ensuite"-"3 Phase Power"-"Study",0.6-1.4-9.7,3,Oct/2021/3275000.0/SOLD-May/2006/538000.0/SOLD
8-chester-street-glen-iris-vic-3146,1780000,25-Oct-2021,4,3,1,350,m2,"House","https://www.domain.com.au/8-chester-street-glen-iris-vic-3146-2017163530","Internal Laundry*"-"Secure Parking*"-"Bath*"-"Heating*"-"Shed*",1-1.6-8.9,3,Oct/2021/1780000.0/SOLD-Nov/2019/1660000.0/SOLD-Feb/2017/1563000.0/SOLD
26-bella-vista-road-glen-iris-vic-3146,2650000,18-Oct-2021,4,1,2,678,m2,"House","https://www.domain.com.au/26-bella-vista-road-glen-iris-vic-3146-2017290258",,0.6-2.8-10.1,3,Oct/2021/2560000.0/SOLD-Jun/2015/1850000.0/SOLD
12-penrhyn-avenue-glen-iris-vic-3146,2300000,01-Oct-2021,4,2,2,657,m2,"House","https://www.domain.com.au/12-penrhyn-avenue-glen-iris-vic-3146-2017253527","Air conditioning"-"Heating"-"Built in wardrobes"-"Ensuite",1-1.2-9.5,3,Oct/2021/2300000.0/SOLD-Aug/2007/600.0/SOLD
387-burke-road-glen-iris-vic-3146,2115000,26-Jun-2021,4,2,4,627,m2,"House","https://www.domain.com.au/387-burke-road-glen-iris-vic-3146-2017022753","Air conditioning"-"Heating"-"Swimming Pool"-"Ensuite"-"Study",0.9-1.3-9.7,3,
3-bourne-road-glen-iris-vic-3146,4280000,26-Jun-2021,4,2,2,690,m2,"House","https://www.domain.com.au/3-bourne-road-glen-iris-vic-3146-2017023622",,0.3-2.7-10.1,3,Jun/2021/4280000.0/SOLD-Sep/2008/1360000.0/SOLD-Aug/1999/620000.0/SOLD
25-mont-iris-avenue-glen-iris-vic-3146,2742112,23-Jun-2021,4,2,2,-1,None,"House","https://www.domain.com.au/25-mont-iris-avenue-glen-iris-vic-3146-2017025502",,0.8-2.7-10.7,3,Jun/2021/2742112.0/SOLD-May/2007/1500000.0/SOLD
39-alfred-road-glen-iris-vic-3146,1750000,27-May-2021,4,3,2,-1,None,"House","https://www.domain.com.au/39-alfred-road-glen-iris-vic-3146-2016987657","Ensuite",0.7-1.7-9.1,3,May/2021/1750000.0/SOLD-Aug/2014/1437000.0/SOLD
44-howard-street-glen-iris-vic-3146,2560000,22-May-2021,4,2,2,650,m2,"House","https://www.domain.com.au/44-howard-street-glen-iris-vic-3146-2016965380",,0.7-2.3-10,3,May/2021/2560000.0/SOLD-Oct/1990/325000.0/SOLD
1654-malvern-road-glen-iris-vic-3146,2000000,22-Apr-2021,4,1,2,1004,m2,"House","https://www.domain.com.au/1654-malvern-road-glen-iris-vic-3146-2016803927",,0.8-2.6-7.3,3,
30-valley-parade-glen-iris-vic-3146,2850000,17-Apr-2021,4,2,2,645,m2,"House","https://www.domain.com.au/30-valley-parade-glen-iris-vic-3146-2016884197","Air conditioning"-"Heating"-"Built in wardrobes"-"Swimming Pool"-"Open Fire Place"-"Ensuite"-"Study",0.4-1.9-9.6,3,Apr/2021/2850000.0/SOLD-Nov/2016/2335000.0/SOLD-May/2015/1405000.0/SOLD
19-willoby-avenue-glen-iris-vic-3146,4800000,27-Mar-2021,4,3,4,1103,m2,"House","https://www.domain.com.au/19-willoby-avenue-glen-iris-vic-3146-2016839377",,1-2.7-7.1,3,Mar/2021/4800000.0/SOLD-Oct/2009/2725000.0/SOLD
45-madeline-street-glen-iris-vic-3146,2200000,26-Mar-2021,4,2,2,-1,None,"House","https://www.domain.com.au/45-madeline-street-glen-iris-vic-3146-2016846556",,0.7-1.5-9.5,3,Mar/2021/2200000.0/SOLD-Oct/1991/173000.0/SOLD
37-rosedale-road-glen-iris-vic-3146,3780000,20-Mar-2021,4,3,3,-1,None,"House","https://www.domain.com.au/37-rosedale-road-glen-iris-vic-3146-2016813147",,0.6-2.9-10,3,Mar/2021/3780000.0/SOLD-May/2019/1648000.0/SOLD-Oct/1988/191500.0/SOLD
12-beatrice-street-glen-iris-vic-3146,2090000,13-Mar-2021,4,2,2,679,m2,"House","https://www.domain.com.au/12-beatrice-street-glen-iris-vic-3146-2016805694",,0.7-2-9.3,3,Mar/2021/2089999.9999999998/SOLD-Feb/1994/220000.0/SOLD
5-mons-street-glen-iris-vic-3146,3100000,12-Mar-2021,4,2,4,1001,m2,"House","https://www.domain.com.au/5-mons-street-glen-iris-vic-3146-2016797327","Air conditioning"-"Heating"-"Built in wardrobes"-"Alarm System"-"Ensuite",0.3-3.2-10.6,3,Mar/2021/3100000.0/SOLD-May/2015/2000000.0/SOLD-Dec/2003/800000.0/SOLD
