"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
38-hailes-street-greensborough-vic-3088,1260000,24-Nov-2021,5,2,3,965,m2,"House","https://www.domain.com.au/38-hailes-street-greensborough-vic-3088-2017366762","Internal Laundry*"-"Pets Allowed*"-"Bath*"-"Fireplace(s)*",0.4-1.4-0.9,3,Oct/2009/250000.0/SOLD-Jul/1998/270000.0/SOLD-Dec/1984/74000.0/SOLD
6-macka-avenue-greensborough-vic-3088,1541000,03-Nov-2021,5,3,2,780,m2,"House","https://www.domain.com.au/6-macka-avenue-greensborough-vic-3088-2017357471",,1.1-1.4-0.3,3,Nov/2021/1541000.0/SOLD-May/2004/515000.0/SOLD-Oct/1999/300000.0/SOLD
40-brentwick-drive-greensborough-vic-3088,1255000,20-Oct-2021,5,3,2,641,m2,"House","https://www.domain.com.au/40-brentwick-drive-greensborough-vic-3088-2017258389","Internal Laundry*"-"Secure Parking*"-"Bath*",0.3-2.4-0.7,3,Oct/2021/1255000.0/SOLD-Jan/2006/450000.0/SOLD-Oct/1998/299000.0/SOLD
2-kenwyn-court-greensborough-vic-3088,1203000,13-Oct-2021,5,3,2,600,m2,"House","https://www.domain.com.au/2-kenwyn-court-greensborough-vic-3088-2017291219","Ducted Heating"-"Ensuite"-"Rumpus Room",0.3-2.6-0.9,3,Oct/2021/1203000.0/SOLD-Apr/1979/19000.0/SOLD
4-waterford-place-greensborough-vic-3088,1380000,01-Oct-2021,5,3,2,771,m2,"House","https://www.domain.com.au/4-waterford-place-greensborough-vic-3088-2017233233",,2.2-2.2-1.6,3,Oct/2021/1380000.0/SOLD-Mar/2018/1000000.0/SOLD-Jun/2004/202500.0/SOLD
8-toorak-court-greensborough-vic-3088,2200000,23-Sep-2021,5,3,2,1358,m2,"House","https://www.domain.com.au/8-toorak-court-greensborough-vic-3088-2017158293",,0.9-1.4-0.6,3,Sep/2021/2200000.0/SOLD-Apr/2014/1070000.0/SOLD-Oct/2003/840000.0/SOLD
4-ghera-court-greensborough-vic-3088,935000,26-Jun-2021,5,2,2,748,m2,"House","https://www.domain.com.au/4-ghera-court-greensborough-vic-3088-2017029792","Air conditioning*"-"Built in wardrobes*"-"Gas*"-"Secure Parking*"-"Swimming Pool*"-"Bath*"-"Heating*"-"Shed*"-"Garden*",0.3-2.6-1.3,3,Jun/2021/935000.0/SOLD-Dec/1993/173500.0/SOLD-Jan/1993/172500.0/SOLD
9-larcom-court-greensborough-vic-3088,1361000,22-May-2021,5,3,2,781,m2,"House","https://www.domain.com.au/9-larcom-court-greensborough-vic-3088-2016963449",,0.3-2.7-0.9,3,May/2021/1361000.0/SOLD-Feb/1988/175000.0/SOLD-Jul/1985/32200.000000000004/SOLD
3-noorabil-court-greensborough-vic-3088,1030000,17-May-2021,6,3,2,1051,m2,"House","https://www.domain.com.au/3-noorabil-court-greensborough-vic-3088-2016867077",,0.4-2.2-1,3,May/2021/1030000.0/SOLD
16-frances-avenue-greensborough-vic-3088,960000,01-May-2021,5,3,4,-1,None,"House","https://www.domain.com.au/16-frances-avenue-greensborough-vic-3088-2016916967",,0.7-0.7-1.7,3,May/2021/960000.0/SOLD-Jul/1999/220000.0/SOLD-Aug/1989/185000.0/SOLD
1-2/55-hailes-street-greensborough-vic-3088,1080000,25-Apr-2021,5,4,3,-1,None,"House","https://www.domain.com.au/1-2-55-hailes-street-greensborough-vic-3088-2016872404",,0.5-1.3-0.6,3,
38-symon-crescent-greensborough-vic-3088,1261000,19-Apr-2021,5,3,3,777,m2,"House","https://www.domain.com.au/38-symon-crescent-greensborough-vic-3088-2016912633","Dishwasher"-"Built in wardrobes"-"Walk in robes"-"Ducted Heating"-"Courtyard"-"Remote Garage"-"Secure Parking"-"Vacuum System"-"Outdoor Ent."-"Fully fenced"-"Ducted Cooling",1.1-1.1-0.8,3,Apr/2021/1261000.0/SOLD-Jan/2000/300000.0/SOLD-Oct/1995/83000.0/SOLD
92-greenhill-road-greensborough-vic-3088,1083000,15-Apr-2021,5,2,2,832,m2,"House","https://www.domain.com.au/92-greenhill-road-greensborough-vic-3088-2016893441","Secure Parking*"-"Heating*"-"Study*"-"Garden*"-"Balcony / Deck*",0.2-2.2-1.2,3,Apr/2021/1083000.0/SOLD-Sep/2013/650000.0/SOLD
17-armstrong-street-greensborough-vic-3088,907000,27-Mar-2021,6,3,2,538,m2,"House","https://www.domain.com.au/17-armstrong-street-greensborough-vic-3088-2016873075",,1-1.6-0.9,3,Mar/2021/907000.0/SOLD-Jul/2000/190000.0/SOLD-Jun/1987/105000.0/SOLD
88-alexandra-street-greensborough-vic-3088,1435000,13-Mar-2021,5,3,2,1017,m2,"House","https://www.domain.com.au/88-alexandra-street-greensborough-vic-3088-2016803645",,0.5-1-1,3,Mar/2021/1435000.0/SOLD
486-greensborough-road-greensborough-vic-3088,835000,04-Mar-2021,5,2,2,664,m2,"House","https://www.domain.com.au/486-greensborough-road-greensborough-vic-3088-2016778083","Air conditioning"-"Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport"-"Security Alarm"-"Garden"-"Secure Parking"-"Floorboards"-"Formal Lounge"-"Separate Dining"-"Terrace-Balcony",0.2-0.2-0.5,3,Feb/2021/835000.0/SOLD-Mar/2018/770000.0/SOLD-Jan/2012/485000.0/SOLD
24-kempston-street-greensborough-vic-3088,1005000,20-Jan-2021,5,2,2,556,m2,"House","https://www.domain.com.au/24-kempston-street-greensborough-vic-3088-2016718651","Dishwasher"-"Ensuite"-"Built in wardrobes"-"Ducted Heating"-"Outdoor Ent."-"Evaporative Cooling",0.7-1-0.3,3,Jan/2021/1004999.9999999999/SOLD-Nov/2013/352000.0/SOLD-Mar/1994/50000.0/SOLD
1-&-2/98-diamond-creek-road-greensborough-vic-3088,1315000,24-Dec-2020,7,4,8,-1,None,"House","https://www.domain.com.au/1-2-98-diamond-creek-road-greensborough-vic-3088-2016656878",,0.4-2.2-0.8,3,
97-hailes-street-greensborough-vic-3088,838000,21-Nov-2020,6,1,2,850,m2,"House","https://www.domain.com.au/97-hailes-street-greensborough-vic-3088-2016629725",,0.5-1.1-0.5,3,Nov/2020/838000.0/SOLD
34-manatunga-circuit-greensborough-vic-3088,799000,20-Oct-2020,5,2,3,650,m2,"House","https://www.domain.com.au/34-manatunga-circuit-greensborough-vic-3088-2016440972","Ensuite"-"Built in wardrobes",0.9-1.8-1.3,3,Oct/2020/799000.0/SOLD-Jun/1991/210000.0/SOLD
27-delfin-crescent-greensborough-vic-3088,821000,07-Oct-2020,5,3,2,910,m2,"House","https://www.domain.com.au/27-delfin-crescent-greensborough-vic-3088-2016494681","Gas Heating"-"Ensuite"-"Evaporative Cooling"-"Solar panels"-"Water tank",1.1-1.8-1.6,3,Oct/2020/821000.0/SOLD
4-carlo-court-greensborough-vic-3088,1010000,21-Aug-2020,5,3,3,1047,m2,"House","https://www.domain.com.au/4-carlo-court-greensborough-vic-3088-2016344850","Ensuite"-"Walk in robes"-"Built in BBQ"-"Fully fenced"-"Split System AirCon",1.1-1.2-0.7,3,Aug/2020/1010000.0/SOLD-Dec/1985/44000.0/SOLD
20-bayonne-close-greensborough-vic-3088,1225000,19-Jul-2020,5,2,2,702,m2,"House","https://www.domain.com.au/20-bayonne-close-greensborough-vic-3088-2016346253",,0.7-2-0.3,3,Jul/2020/750.0/SOLD-Sep/2015/1225000.0/SOLD
19-sainsbury-avenue-greensborough-vic-3088,1021000,06-Jul-2020,5,2,2,583,m2,"House","https://www.domain.com.au/19-sainsbury-avenue-greensborough-vic-3088-2016272777","Study",0.2-1-1.4,3,Jul/2020/1020999.9999999999/SOLD-Dec/2012/690000.0/SOLD-Jul/2011/582500.0/SOLD
39-symon-crescent-greensborough-vic-3088,1100000,25-Jun-2020,5,2,2,813,m2,"House","https://www.domain.com.au/39-symon-crescent-greensborough-vic-3088-2016296467",,1.1-1.2-0.8,3,Jun/2020/1100000.0/SOLD
1-viola-close-greensborough-vic-3088,1481200,01-Jun-2020,5,3,2,1000,m2,"House","https://www.domain.com.au/1-viola-close-greensborough-vic-3088-2016229909","Air conditioning"-"Heating"-"Area Views"-"Built in wardrobes"-"Close to transport"-"Close to shops"-"Swimming Pool"-"Close to schools"-"Ensuite"-"Prestige Homes"-"Study",0.9-2.2-0.3,3,Aug/2021/1761000.0/SOLD-Jun/2020/1481200.0/SOLD-Apr/2012/950000.0/SOLD
67-manatunga-circuit-greensborough-vic-3088,750000,17-May-2020,5,2,-1,625,m2,"House","https://www.domain.com.au/67-manatunga-circuit-greensborough-vic-3088-2016214403",,1.1-2-1.4,3,May/2020/750000.0/SOLD-Nov/2014/550.0/SOLD
21-tallow-wood-drive-greensborough-vic-3088,1045000,14-Apr-2020,5,2,2,887,m2,"House","https://www.domain.com.au/21-tallow-wood-drive-greensborough-vic-3088-2016105511",,0.8-1.8-0.9,3,Apr/2020/1044999.9999999999/SOLD
4-doowi-court-greensborough-vic-3088,900000,24-Mar-2020,5,3,5,705,m2,"House","https://www.domain.com.au/4-doowi-court-greensborough-vic-3088-2016155479",,0.5-2.5-1.5,3,Mar/2020/900000.0/SOLD-Feb/2012/546000.0/SOLD-May/2005/395000.0/SOLD
2/185-mountain-view-road-greensborough-vic-3088,950000,10-Mar-2020,5,2,2,760,m2,"House","https://www.domain.com.au/2-185-mountain-view-road-greensborough-vic-3088-2016087985","Study",0.5-1.2-1.7,3,
9-london-court-greensborough-vic-3088,1033000,29-Feb-2020,5,3,2,494,m2,"House","https://www.domain.com.au/9-london-court-greensborough-vic-3088-2016048954",,0.4-1.1-1.9,3,Feb/2020/1032999.9999999999/SOLD-Mar/1996/164000.0/SOLD-May/1988/51000.0/SOLD
6-yatama-court-greensborough-vic-3088,877500,26-Nov-2019,5,2,4,648,m2,"House","https://www.domain.com.au/6-yatama-court-greensborough-vic-3088-2015825720",,0.8-2.3-1.6,3,Nov/2019/877500.0/SOLD
6-sunderland-rise-greensborough-vic-3088,940000,26-Nov-2019,5,2,3,-1,None,"House","https://www.domain.com.au/6-sunderland-rise-greensborough-vic-3088-2015820657",,1-1.7-1,3,Nov/2019/940000.0/SOLD-Jan/2003/330000.0/SOLD
2-purri-close-greensborough-vic-3088,942000,08-Nov-2019,5,3,2,709,m2,"House","https://www.domain.com.au/2-purri-close-greensborough-vic-3088-2015804874","Dishwasher"-"Built in wardrobes"-"Ducted Heating"-"Study"-"Shed"-"Evaporative Cooling"-"Rumpus Room",1-1.9-1.3,3,Nov/2019/942000.0/SOLD-May/2016/776000.0/SOLD-Jun/1994/143000.0/SOLD
7-laura-court-greensborough-vic-3088,780000,16-Oct-2019,5,2,2,830,m2,"House","https://www.domain.com.au/7-laura-court-greensborough-vic-3088-2015656851",,0.7-0.9-0.2,3,Oct/2019/780000.0/SOLD-Jul/2013/440000.0/SOLD-Jul/2008/400000.0/SOLD
44-symon-crescent-greensborough-vic-3088,1236000,15-Oct-2019,5,2,2,854,m2,"House","https://www.domain.com.au/44-symon-crescent-greensborough-vic-3088-2015697566",,1.1-1.1-0.8,3,Oct/2019/1236000.0/SOLD-Mar/1995/86000.0/SOLD
