"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
111-disraeli-street-kew-vic-3101,2555000,06-Nov-2021,6,2,2,-1,None,"House","https://www.domain.com.au/111-disraeli-street-kew-vic-3101-2017300123",,0.8-1.9-6.2,3,
22a-pakington-street-kew-vic-3101,4200000,04-Oct-2021,5,4,2,-1,None,"House","https://www.domain.com.au/22a-pakington-street-kew-vic-3101-2017283712",,0.2-2.2-2.6,3,Oct/2021/4200000.0/SOLD-May/2019/1475000.0/SOLD
10-finhaven-court-kew-vic-3101,2830000,26-Apr-2021,5,3,2,568,m2,"House","https://www.domain.com.au/10-finhaven-court-kew-vic-3101-2016840862",,0.9-1.4-1.5,3,Apr/2021/2830000.0/SOLD-Feb/2019/1200.0/SOLD
6-8-hyton-crescent-kew-vic-3101,4300000,16-Apr-2021,7,3,4,-1,None,"House","https://www.domain.com.au/6-8-hyton-crescent-kew-vic-3101-2016930528",,1.2-1.7-1.7,3,
67-main-drive-kew-vic-3101,2060000,11-Apr-2021,5,4,2,552,m2,"House","https://www.domain.com.au/67-main-drive-kew-vic-3101-2016700979","Pets Allowed*"-"Secure Parking*"-"Fireplace(s)*"-"Alarm System"-"Built in wardrobes"-"Garden / Courtyard"-"Dishwasher"-"Floorboards"-"Intercom"-"Ensuite",1.2-2.9-6.8,3,Apr/2021/2065000.0/SOLD-Jun/2013/1150.0/SOLD
91-wills-street-kew-vic-3101,3376500,12-Mar-2021,5,3,2,961,m2,"House","https://www.domain.com.au/91-wills-street-kew-vic-3101-2015897464",,1.1-2.8-2.8,3,Mar/2021/3376500.0/SOLD-Nov/1989/510000.0/SOLD
75-studley-park-road-kew-vic-3101,4580000,25-Feb-2021,5,4,2,1037,m2,"House","https://www.domain.com.au/75-studley-park-road-kew-vic-3101-2016662361",,1.3-1.8-1.9,3,Feb/2021/4580000.0/SOLD
4-mawson-street-kew-vic-3101,7200000,03-Dec-2020,5,6,6,-1,None,"House","https://www.domain.com.au/4-mawson-street-kew-vic-3101-2016572189",,0.8-1.3-1.7,3,Dec/2020/7200000.0/SOLD-Mar/2015/2950000.0/SOLD-Feb/1990/526000.0/SOLD
28-cypress-way-kew-vic-3101,1890000,31-Oct-2020,5,4,2,-1,None,"House","https://www.domain.com.au/28-cypress-way-kew-vic-3101-2016536091","Secure Parking*"-"Garden*",1.3-3.2-7,3,Oct/2020/1890000.0/SOLD-Feb/2013/1950000.0/SOLD
45-walpole-street-kew-vic-3101,4210000,11-Jul-2020,5,3,2,1092,m2,"House","https://www.domain.com.au/45-walpole-street-kew-vic-3101-2016319962",,0.2-2.3-2.6,3,Jul/2020/1400.0/SOLD
6-myrtle-avenue-kew-vic-3101,2580000,27-Jun-2020,5,3,2,-1,None,"House","https://www.domain.com.au/6-myrtle-avenue-kew-vic-3101-2016101035",,0.6-1.4-5.7,3,
13-alfred-street-kew-vic-3101,4810000,12-Jun-2020,6,3,4,1126,m2,"House","https://www.domain.com.au/13-alfred-street-kew-vic-3101-2016267832",,1.1-1.6-2,3,Jun/2020/4810000.0/SOLD
72-fitzwilliam-street-kew-vic-3101,2800000,15-May-2020,5,2,2,536,m2,"House","https://www.domain.com.au/72-fitzwilliam-street-kew-vic-3101-2016223084",,1-1.1-2.4,3,May/2020/2800000.0/SOLD-May/2003/1000000.0/SOLD
53-barnard-grove-kew-vic-3101,3650000,08-May-2020,5,2,4,-1,None,"House","https://www.domain.com.au/53-barnard-grove-kew-vic-3101-2016233849",,1.4-2.5-6.4,3,May/2020/3650000.0/SOLD-Feb/2012/1900000.0/SOLD
8-9-river-retreat-kew-vic-3101,6000000,23-Mar-2020,5,2,6,4276,m2,"House","https://www.domain.com.au/8-9-river-retreat-kew-vic-3101-2016101550",,1.3-2.4-2.4,3,Mar/2020/6000000.0/SOLD
288-cotham-road-kew-vic-3101,5018000,21-Mar-2020,5,3,4,-1,None,"House","https://www.domain.com.au/288-cotham-road-kew-vic-3101-2016109889",,1-1.7-1.9,3,Mar/2020/5018000.0/SOLD-Apr/1995/840000.0/SOLD
8-berkeley-court-kew-vic-3101,3500000,17-Mar-2020,5,3,4,877,m2,"House","https://www.domain.com.au/8-berkeley-court-kew-vic-3101-2016086346",,1.2-1.7-1.8,3,Mar/2020/3500000.0/SOLD
100-wellington-street-kew-vic-3101,3500000,14-Mar-2020,5,2,2,910,m2,"House","https://www.domain.com.au/100-wellington-street-kew-vic-3101-2016085457",,1-1.4-2.5,3,Mar/2020/3500000.0/SOLD-May/2006/1287500.0/SOLD-Nov/1996/474000.0/SOLD
6-cradley-avenue-kew-vic-3101,3075000,29-Feb-2020,5,3,2,823,m2,"House","https://www.domain.com.au/6-cradley-avenue-kew-vic-3101-2016044641",,1-2-2.1,3,Feb/2020/3075000.0/SOLD
108-sackville-street-kew-vic-3101,5060000,22-Feb-2020,6,3,2,921,m2,"House","https://www.domain.com.au/108-sackville-street-kew-vic-3101-2016027864",,0.7-1.4-1.7,3,Feb/2021/5375000.0/SOLD-Feb/2020/5060000.0/SOLD-Jul/2013/3362000.0/SOLD
6-tennyson-street-kew-vic-3101,2500888,06-Dec-2019,5,3,2,-1,None,"House","https://www.domain.com.au/6-tennyson-street-kew-vic-3101-2015873411",,0.6-2.3-6.5,3,Dec/2019/2500888.0/SOLD-Jun/2017/2250000.0/SOLD-Apr/2011/1285000.0/SOLD
5-adeney-avenue-kew-vic-3101,7000000,19-Nov-2019,5,3,4,2206,m2,"House","https://www.domain.com.au/5-adeney-avenue-kew-vic-3101-2015717820","Swimming Pool"-"Tennis Court",1.2-1.8-1.9,3,Nov/2019/7000000.0/SOLD-Jul/2003/2950000.0/SOLD
kew-vic-3101,2955000,18-Nov-2019,5,4,2,-1,None,"House","https://www.domain.com.au/kew-vic-3101-2014373309",,0.1-2.3-2.7,3,
14-belmont-avenue-kew-vic-3101,5050000,08-Nov-2019,6,4,3,1036,m2,"House","https://www.domain.com.au/14-belmont-avenue-kew-vic-3101-2015687175",,0.9-1.8-2.2,3,Nov/2019/5050000.0/SOLD-Dec/2003/1160500.0/SOLD
7-wrixon-street-kew-vic-3101,6650000,30-Oct-2019,5,5,5,-1,None,"House","https://www.domain.com.au/7-wrixon-street-kew-vic-3101-2015649690",,0.7-1-2.2,3,Oct/2019/6650000.0/SOLD-Jun/1986/230000.0/SOLD
42-grandview-terrace-kew-vic-3101,2285000,26-Oct-2019,5,3,2,-1,None,"House","https://www.domain.com.au/42-grandview-terrace-kew-vic-3101-2015697889",,1.3-2.5-6.3,3,Oct/2019/2285000.0/SOLD-Jun/1996/325.0/SOLD
