"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
32-murnong-street-maribyrnong-vic-3032,1570000,20-Nov-2021,4,2,2,450,m2,"House","https://www.domain.com.au/32-murnong-street-maribyrnong-vic-3032-2017301684",,1-1.5-2.2,3,Nov/2021/1570000.0/SOLD-May/2002/450000.0/SOLD-Aug/1998/86000.0/SOLD
37-bracken-avenue-maribyrnong-vic-3032,1350000,15-Nov-2021,4,2,2,289,m2,"House","https://www.domain.com.au/37-bracken-avenue-maribyrnong-vic-3032-2017371863","Internal Laundry*"-"Secure Parking*"-"Bath*"-"Heating*"-"Balcony / Deck*"-"Study",0.7-1.1-1.3,3,Nov/2021/1350000.0/SOLD
11-oakland-street-maribyrnong-vic-3032,1675000,11-Nov-2021,4,3,2,-1,None,"House","https://www.domain.com.au/11-oakland-street-maribyrnong-vic-3032-2017282701",,1.2-1.3-3.7,3,Nov/2021/1675000.0/SOLD-May/2013/640000.0/SOLD
99-dale-street-maribyrnong-vic-3032,1845000,04-Nov-2021,4,2,2,-1,None,"House","https://www.domain.com.au/99-dale-street-maribyrnong-vic-3032-2017317285","Heating"-"Built in wardrobes"-"Close to transport"-"Close to shops"-"Swimming Pool"-"Close to schools"-"River Views",1.1-1.7-3.3,3,Nov/2021/1845000.0/SOLD-Apr/2016/1275000.0/SOLD-Oct/2007/1055000.0/SOLD
10-the-esplanade-maribyrnong-vic-3032,2672000,30-Oct-2021,4,3,6,-1,None,"House","https://www.domain.com.au/10-the-esplanade-maribyrnong-vic-3032-2016997258",,0.8-1.7-4.2,3,Oct/2021/2672000.0/SOLD-Jul/2013/1980000.0/SOLD-Aug/2010/850000.0/SOLD
1-the-grand-maribyrnong-vic-3032,1235000,14-Oct-2021,4,3,4,-1,None,"House","https://www.domain.com.au/1-the-grand-maribyrnong-vic-3032-2016825113","Secure Parking*"-"Balcony / Deck*",0.7-1-3.4,3,Sep/2021/1235000.0/SOLD-May/2010/108000.0/SOLD
1-birdwood-street-maribyrnong-vic-3032,1025000,02-Oct-2021,4,2,2,-1,None,"House","https://www.domain.com.au/1-birdwood-street-maribyrnong-vic-3032-2016724113","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Garden*"-"Ensuite",0.6-0.7-3.1,3,Sep/2021/1024999.9999999999/SOLD-Nov/1996/580.0/SOLD
9-frangipani-lane-maribyrnong-vic-3032,1095000,24-Jul-2021,4,2,2,-1,None,"House","https://www.domain.com.au/9-frangipani-lane-maribyrnong-vic-3032-2017101464",,1.3-1.5-2,3,Jul/2021/1095000.0/SOLD
31-macedon-street-maribyrnong-vic-3032,1460000,20-Jul-2021,4,1,3,695,m2,"House","https://www.domain.com.au/31-macedon-street-maribyrnong-vic-3032-2017134368","Built in wardrobes*"-"Gas*"-"Dishwasher*"-"Study*"-"Garden*",0.2-0.8-2.8,3,Jul/2021/1460000.0/SOLD-Jul/1991/152500.0/SOLD-May/1976/29750.0/SOLD
16-the-grand-maribyrnong-vic-3032,1830000,01-Jul-2021,4,2,4,-1,None,"House","https://www.domain.com.au/16-the-grand-maribyrnong-vic-3032-2017042283","Secure Parking*"-"Study*"-"Garden*",0.7-1.1-3.5,3,Jun/2021/1830000.0/SOLD-Dec/2019/1515000.0/SOLD-Aug/2016/1330000.0/SOLD
27-central-park-avenue-maribyrnong-vic-3032,1220000,26-Jun-2021,4,2,3,-1,None,"House","https://www.domain.com.au/27-central-park-avenue-maribyrnong-vic-3032-2017027410",,1.4-1.5-2.1,3,Jun/2021/1220000.0/SOLD-Nov/1998/94000.0/SOLD
33-river-street-maribyrnong-vic-3032,1355500,28-May-2021,4,3,1,630,m2,"House","https://www.domain.com.au/33-river-street-maribyrnong-vic-3032-2016933706","Garden*"-"Ensuite"-"Built in wardrobes"-"Balcony / Deck",0.1-1-2.9,3,May/2021/1355500.0/SOLD
9-central-park-avenue-maribyrnong-vic-3032,1500000,22-May-2021,4,3,2,-1,None,"House","https://www.domain.com.au/9-central-park-avenue-maribyrnong-vic-3032-2016969512",,1.3-1.5-2,3,May/2021/1500000.0/SOLD-Nov/2006/590000.0/SOLD-Jan/1998/81000.0/SOLD
73-raleigh-road-maribyrnong-vic-3032,1285000,26-Apr-2021,4,2,2,696,m2,"House","https://www.domain.com.au/73-raleigh-road-maribyrnong-vic-3032-2016918286","Secure Parking*"-"Garden*",1.2-1.4-3.5,3,Apr/2021/1285000.0/SOLD
14-flemming-avenue-maribyrnong-vic-3032,1007500,24-Apr-2021,4,2,2,-1,None,"House","https://www.domain.com.au/14-flemming-avenue-maribyrnong-vic-3032-2016907807",,1.3-1.5-1.9,3,Apr/2021/1007500.0000000001/SOLD-Jun/1997/73000.0/SOLD
44-cumberland-drive-maribyrnong-vic-3032,1600000,19-Apr-2021,4,2,2,461,m2,"House","https://www.domain.com.au/44-cumberland-drive-maribyrnong-vic-3032-2016917794","Secure Parking*"-"Intercom*"-"Heating*"-"Garden*",0.8-1.1-1.4,3,Oct/2021/1460006.0/SOLD-Oct/2012/1040000.0/SOLD
69-mitchell-street-maribyrnong-vic-3032,942000,17-Apr-2021,4,1,2,-1,None,"House","https://www.domain.com.au/69-mitchell-street-maribyrnong-vic-3032-2016870181",,0.5-0.6-2.6,3,Apr/2021/942000.0/SOLD-Nov/2015/480.0/SOLD
3-park-drive-maribyrnong-vic-3032,2020000,17-Apr-2021,4,3,2,525,m2,"House","https://www.domain.com.au/3-park-drive-maribyrnong-vic-3032-2016878279","Heating*"-"Fully fenced*"-"Garden*"-"Swimming Pool"-"Air conditioning"-"Secure Parking"-"Fireplace(s)"-"Dishwasher",1.2-1.8-3.2,3,Apr/2021/2020000.0/SOLD-Feb/2009/1080000.0/SOLD
77-birdwood-street-maribyrnong-vic-3032,1300000,06-Apr-2021,4,3,2,-1,None,"House","https://www.domain.com.au/77-birdwood-street-maribyrnong-vic-3032-2016870184",,0.3-0.7-2.7,3,Mar/2021/1300000.0/SOLD-Apr/2005/262000.0/SOLD
8-anglers-way-maribyrnong-vic-3032,1485000,27-Mar-2021,4,1,3,-1,None,"House","https://www.domain.com.au/8-anglers-way-maribyrnong-vic-3032-2016846219","Gas*"-"Secure Parking*"-"Bath*"-"Heating*"-"Dishwasher*"-"Study*"-"Garden*",0.8-1.5-4.1,3,Mar/2021/1485000.0/SOLD-Sep/2005/370500.0/SOLD
28-skyline-drive-maribyrnong-vic-3032,1880000,16-Mar-2021,4,4,2,-1,None,"House","https://www.domain.com.au/28-skyline-drive-maribyrnong-vic-3032-2016561508",,0.5-0.9-1,3,Mar/2021/1880000.0/SOLD-Mar/2008/535000.0/SOLD
8a-warrs-road-maribyrnong-vic-3032,1300000,16-Mar-2021,4,3,4,-1,None,"House","https://www.domain.com.au/8a-warrs-road-maribyrnong-vic-3032-2016896319","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Shed*"-"Garden*",1-1.6-3.4,3,Mar/2021/1300000.0/SOLD-Mar/2018/1300000.0/SOLD
30-the-grand-maribyrnong-vic-3032,1960000,16-Mar-2021,4,3,2,-1,None,"House","https://www.domain.com.au/30-the-grand-maribyrnong-vic-3032-2016802239","Secure Parking*"-"Study*"-"Garden*",0.7-1.1-3.5,3,Mar/2021/1960000.0/SOLD-Sep/2015/900000.0/SOLD-Jun/2008/268000.0/SOLD
4-lilardia-avenue-maribyrnong-vic-3032,1030000,13-Mar-2021,4,2,2,-1,None,"House","https://www.domain.com.au/4-lilardia-avenue-maribyrnong-vic-3032-2016772173",,0.5-0.8-0.9,3,Mar/2021/1030000.0/SOLD
20-the-grand-maribyrnong-vic-3032,1682000,11-Mar-2021,4,3,4,-1,None,"House","https://www.domain.com.au/20-the-grand-maribyrnong-vic-3032-2016784086","Broadband internet access*"-"Fireplace(s)*"-"Heating*"-"Garden*"-"Air conditioning"-"Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport"-"Security Alarm"-"Secure Parking"-"Terrace-Balcony",0.7-1.1-3.5,3,Mar/2021/1682000.0/SOLD-Feb/2009/246000.0/SOLD
7-central-park-avenue-maribyrnong-vic-3032,1011000,23-Feb-2021,4,2,1,-1,None,"House","https://www.domain.com.au/7-central-park-avenue-maribyrnong-vic-3032-2016783824",,1.3-1.5-2,3,Feb/2021/1010999.9999999999/SOLD-Aug/2014/765000.0/SOLD
16-woodruff-avenue-maribyrnong-vic-3032,1525000,13-Feb-2021,4,2,2,-1,None,"House","https://www.domain.com.au/16-woodruff-avenue-maribyrnong-vic-3032-2016737424","Air conditioning*"-"Gas*"-"Secure Parking*"-"Intercom*"-"Heating*"-"Dishwasher*"-"Shed*"-"Garden*",0.6-0.6-1.3,3,Feb/2021/1525000.0/SOLD-Oct/2004/298000.0/SOLD
13-sea-rush-street-maribyrnong-vic-3032,1225000,04-Feb-2021,4,3,2,-1,None,"House","https://www.domain.com.au/13-sea-rush-street-maribyrnong-vic-3032-2014919800","Fireplace(s)"-"Ensuite"-"Remote Garage"-"Secure Parking"-"Air conditioning"-"Alarm System"-"Balcony"-"Built in wardrobes"-"Dishwasher",0.9-0.9-1.3,3,Jan/2021/1225000.0/SOLD-Dec/2014/900.0/SOLD
7-raven-lane-maribyrnong-vic-3032,1000000,22-Jan-2021,4,3,2,203,m2,"House","https://www.domain.com.au/7-raven-lane-maribyrnong-vic-3032-2016668539","Secure Parking*"-"Garden*"-"Balcony / Deck*"-"Floorboards"-"Alarm System"-"Built in wardrobes"-"Bath"-"Heating"-"Dishwasher"-"North Facing",0.8-0.9-1.3,3,Jan/2021/1000000.0/SOLD-Dec/2014/695000.0/SOLD
22-park-drive-maribyrnong-vic-3032,1240000,21-Jan-2021,4,2,2,-1,None,"House","https://www.domain.com.au/22-park-drive-maribyrnong-vic-3032-2016651575","Secure Parking*"-"Intercom*"-"Fireplace(s)*"-"Heating*"-"Dishwasher*"-"Garden*"-"Balcony / Deck*",1.2-1.8-3.2,3,Jan/2021/1240000.0/SOLD
35-middle-road-maribyrnong-vic-3032,1330000,19-Dec-2020,4,2,-1,-1,None,"House","https://www.domain.com.au/35-middle-road-maribyrnong-vic-3032-2016660085","Built in wardrobes*"-"Gas*"-"Swimming Pool*"-"Heating*"-"Dishwasher*"-"Garden*"-"Balcony / Deck*",1.3-1.3-3.4,3,Dec/2020/1330000.0/SOLD-Dec/2009/868000.0/SOLD-Nov/2001/370000.0/SOLD
40-cumberland-drive-maribyrnong-vic-3032,1305000,30-Nov-2020,4,2,2,-1,None,"House","https://www.domain.com.au/40-cumberland-drive-maribyrnong-vic-3032-2016649096",,0.7-1.2-1.3,3,Dec/2020/1305000.0/SOLD-Apr/2009/892500.0/SOLD-May/2006/300000.0/SOLD
7-shearwater-crescent-maribyrnong-vic-3032,1740000,26-Nov-2020,4,2,2,-1,None,"House","https://www.domain.com.au/7-shearwater-crescent-maribyrnong-vic-3032-2016645447","Secure Parking*"-"Heating*"-"Dishwasher*"-"Study*"-"Garden*"-"Balcony / Deck*",0.6-1.3-1.3,3,Nov/2020/1740000.0/SOLD-Nov/2004/330000.0/SOLD
18-warrs-road-maribyrnong-vic-3032,860000,19-Nov-2020,4,2,1,-1,None,"House","https://www.domain.com.au/18-warrs-road-maribyrnong-vic-3032-2016581820",,0.9-1.6-3.3,3,Nov/2020/610.0/SOLD
1-maireana-street-maribyrnong-vic-3032,917000,18-Nov-2020,4,2,2,-1,None,"House","https://www.domain.com.au/1-maireana-street-maribyrnong-vic-3032-2016267081",,0.8-1.2-3.6,3,Nov/2020/917000.0/SOLD-Jul/2016/760000.0/SOLD-Mar/2007/275000.0/SOLD
17-rowe-street-maribyrnong-vic-3032,1200000,13-Nov-2020,4,3,2,696,m2,"House","https://www.domain.com.au/17-rowe-street-maribyrnong-vic-3032-2016592365",,0.3-0.7-2.8,3,Nov/2020/1200000.0/SOLD-Jun/2005/500000.0/SOLD-Jun/2002/445000.0/SOLD
164-edgewater-boulevard-maribyrnong-vic-3032,1165000,03-Aug-2020,4,3,2,275,m2,"House","https://www.domain.com.au/164-edgewater-boulevard-maribyrnong-vic-3032-2016263409","Close to schools"-"Close to shops"-"Close to transport",0.7-1-1.2,3,Aug/2020/1165000.0/SOLD-Aug/2004/630000.0/SOLD
100-raleigh-road-maribyrnong-vic-3032,840000,20-Jul-2020,4,2,5,641,m2,"House","https://www.domain.com.au/100-raleigh-road-maribyrnong-vic-3032-2016220064",,1.2-1.4-3.3,3,Jul/2020/840000.0/SOLD
29-oakland-street-maribyrnong-vic-3032,1030000,18-Jun-2020,4,2,2,665,m2,"House","https://www.domain.com.au/29-oakland-street-maribyrnong-vic-3032-2016040039",,1.1-1.4-3.5,3,Jun/2020/1030000.0/SOLD-Nov/2015/460.0/SOLD
309-gordon-street-maribyrnong-vic-3032,925000,09-May-2020,4,3,2,-1,None,"House","https://www.domain.com.au/309-gordon-street-maribyrnong-vic-3032-2016154627",,0.3-1.1-3.2,3,May/2020/925000.0/SOLD-Mar/2017/875000.0/SOLD-Feb/2014/739000.0/SOLD
16-grandview-avenue-maribyrnong-vic-3032,1000000,04-May-2020,4,2,3,-1,None,"House","https://www.domain.com.au/16-grandview-avenue-maribyrnong-vic-3032-2016182419",,0.9-1.5-3.4,3,May/2020/1000000.0/SOLD-Nov/1976/33000.0/SOLD
18-ibis-place-maribyrnong-vic-3032,1130000,29-Apr-2020,4,2,2,-1,None,"House","https://www.domain.com.au/18-ibis-place-maribyrnong-vic-3032-2016166298",,0.7-1-1.3,3,Apr/2020/1130000.0/SOLD-Mar/2008/850000.0/SOLD-Jan/2005/254000.0/SOLD
19-allara-avenue-maribyrnong-vic-3032,935000,19-Apr-2020,4,2,1,-1,None,"House","https://www.domain.com.au/19-allara-avenue-maribyrnong-vic-3032-2016182510",,0.3-0.7-2.8,3,Apr/2020/935000.0/SOLD-Mar/2007/200000.0/SOLD-Jun/2005/165500.0/SOLD
2-ordnance-reserve-maribyrnong-vic-3032,1476000,20-Mar-2020,4,1,4,-1,None,"House","https://www.domain.com.au/2-ordnance-reserve-maribyrnong-vic-3032-2016111343",,1.1-1.8-2.5,3,Mar/2020/1476000.0/SOLD-Jul/2007/730000.0/SOLD
40-skyline-drive-maribyrnong-vic-3032,1390000,22-Feb-2020,4,3,2,-1,None,"House","https://www.domain.com.au/40-skyline-drive-maribyrnong-vic-3032-2016012399",,0.6-0.8-1,3,Feb/2020/1390000.0/SOLD-Sep/2010/1312000.0/SOLD
17-riverbank-drive-maribyrnong-vic-3032,1225000,18-Feb-2020,4,3,2,-1,None,"House","https://www.domain.com.au/17-riverbank-drive-maribyrnong-vic-3032-2016027355",,1.3-1.7-3.1,3,Feb/2020/1225000.0/SOLD-Nov/2001/480000.0/SOLD-Jun/1999/163000.0/SOLD
13-skyline-drive-maribyrnong-vic-3032,1180000,21-Dec-2019,4,2,2,520,m2,"House","https://www.domain.com.au/13-skyline-drive-maribyrnong-vic-3032-2015460007",,0.5-1-1,3,Dec/2019/1180000.0/SOLD-Nov/2012/845000.0/SOLD
14-duffy-street-maribyrnong-vic-3032,1281000,16-Dec-2019,4,2,4,673,m2,"House","https://www.domain.com.au/14-duffy-street-maribyrnong-vic-3032-2015988839",,1.1-1.3-3.6,3,Dec/2019/1281000.0/SOLD
14-duffy-street-maribyrnong-vic-3032,1281000,16-Dec-2019,4,2,4,673,m2,"House","https://www.domain.com.au/14-duffy-street-maribyrnong-vic-3032-2015896842",,1.1-1.3-3.6,3,Dec/2019/1281000.0/SOLD
14-waterside-place-maribyrnong-vic-3032,1580000,07-Dec-2019,4,2,2,-1,None,"House","https://www.domain.com.au/14-waterside-place-maribyrnong-vic-3032-2015848559",,0.9-1-1.1,3,Dec/2019/990.0/SOLD-Sep/2009/1580000.0/SOLD
