"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
9-highlander-lane-melbourne-vic-3000,750000,13-Sep-2019,2,1,1,-1,None,"House","https://www.domain.com.au/9-highlander-lane-melbourne-vic-3000-2015532172",,2.5-1.1-2.2,3,Sep/2019/750000.0/SOLD
2901/27-little-collins-street-melbourne-vic-3000,1300000,09-Aug-2018,2,2,1,-1,None,"House","https://www.domain.com.au/2901-27-little-collins-street-melbourne-vic-3000-2014489695",,1.2-1.9-1.9,3,
505/233-collins-street-melbourne-vic-3000,441880,11-Jul-2018,2,1,-1,-1,None,"House","https://www.domain.com.au/505-233-collins-street-melbourne-vic-3000-2014224349","Air conditioning"-"Built in wardrobes"-"Dishwasher"-"Ensuite"-"Floorboards"-"Heating"-"Intercom"-"Balcony / Deck",1.6-2.3-0.6,3,
level-7-705/570-swanston-street-melbourne-vic-3000,295000,25-Aug-2017,2,1,-1,-1,None,"House","https://www.domain.com.au/level-7-705-570-swanston-street-melbourne-vic-3000-2013320276",,0.7-1.2-0.7,3,
1/16-18-bennetts-lane-melbourne-vic-3000,1130000,08-Apr-2017,2,1,2,-1,None,"House","https://www.domain.com.au/1-16-18-bennetts-lane-melbourne-vic-3000-2013452761",,0.8-1.7-0.4,3,
110/320-st-kilda-road-melbourne-3004-vic-3004,465000,25-Feb-2017,2,1,1,-1,None,"House","https://www.domain.com.au/110-320-st-kilda-road-melbourne-3004-vic-3004-2013369495",,0.5-1.9-5,3,
2603/33-mackenzie-street-melbourne-vic-3000,620000,05-May-2014,2,2,1,-1,None,"House","https://www.domain.com.au/2603-33-mackenzie-street-melbourne-vic-3000-2010817539","Air conditioning"-"Built in wardrobes"-"Close to schools"-"Close to shops"-"Close to transport",0.6-1.5-0.6,3,
7-highlander-lane-melbourne-vic-3000,550000,10-May-2011,2,1,1,-1,None,"House","https://www.domain.com.au/7-highlander-lane-melbourne-vic-3000-2008913037",,2.5-1.1-2.2,3,Dec/2015/750000.0/SOLD-Nov/2011/550000.0/SOLD-Apr/2011/550000.0/SOLD
1209/233-collins-street-melbourne-vic-3000,370000,20-Jan-2010,2,1,-1,-1,None,"House","https://www.domain.com.au/1209-233-collins-street-melbourne-vic-3000-2008095136","Close to shops"-"Close to transport"-"Terrace-Balcony",1.6-2.3-0.6,3,
163/538-little-lonsdale-street-melbourne-vic-3000,346000,15-Jan-2009,2,1,1,-1,None,"House","https://www.domain.com.au/163-538-little-lonsdale-street-melbourne-vic-3000-2007498157","Secure Parking",1.9-1.7-1.7,3,
17/32-queens-road-melbourne-vic-3000,460000,13-Jan-2009,2,1,1,-1,None,"House","https://www.domain.com.au/17-32-queens-road-melbourne-vic-3000-2007517333","Secure Parking",0.9-1.6-3.1,3,
