"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
30-york-street-reservoir-vic-3073,1323000,04-Dec-2021,3,1,2,609,m2,"House","https://www.domain.com.au/30-york-street-reservoir-vic-3073-2017408350","Heating*",0.4-2-4,3,Dec/2021/1323000.0/SOLD
12-allan-street-reservoir-vic-3073,960000,04-Dec-2021,3,1,2,-1,None,"House","https://www.domain.com.au/12-allan-street-reservoir-vic-3073-2017400148","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Balcony / Deck*",0.4-2.3-5.1,3,Dec/2021/960000.0/SOLD-Dec/2014/589002.0/SOLD
26-myrtle-grove-reservoir-vic-3073,1485000,04-Dec-2021,3,2,4,414,m2,"House","https://www.domain.com.au/26-myrtle-grove-reservoir-vic-3073-2017400219","Built in wardrobes*"-"Secure Parking*"-"Heating*",1-1.5-2.7,3,Dec/2021/1485000.0/SOLD-May/2006/341000.0/SOLD
1/14-cuthbert-road-reservoir-vic-3073,895000,30-Nov-2021,3,1,2,320,m2,"House","https://www.domain.com.au/1-14-cuthbert-road-reservoir-vic-3073-2017395177","Internal Laundry*"-"Secure Parking*"-"Bath*"-"Fireplace(s)*"-"Dishwasher*",0.7-1.4-0.6,3,
189-broadway-reservoir-vic-3073,1152000,27-Nov-2021,3,1,1,650,m2,"House","https://www.domain.com.au/189-broadway-reservoir-vic-3073-2017453138",,0.6-1.4-5.7,3,
44-tambo-avenue-reservoir-vic-3073,1205000,27-Nov-2021,3,1,2,-1,None,"House","https://www.domain.com.au/44-tambo-avenue-reservoir-vic-3073-2017381624","Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Fireplace(s)*"-"Heating*",0.2-1-5.6,3,Nov/2021/1205000.0/SOLD
12-storey-road-reservoir-vic-3073,1400000,25-Nov-2021,3,1,2,952,m2,"House","https://www.domain.com.au/12-storey-road-reservoir-vic-3073-2017394731",,0.7-1.3-5.1,3,Dec/2021/1400000.0/SOLD-Jul/1988/127000.0/SOLD-Jul/1983/48500.0/SOLD
52-cheddar-road-reservoir-vic-3073,730000,22-Nov-2021,3,1,1,461,m2,"House","https://www.domain.com.au/52-cheddar-road-reservoir-vic-3073-2017317471","Balcony / Deck*",0.7-1.8-0.6,3,Nov/2021/730000.0/SOLD-Feb/2019/465000.0/SOLD-Feb/1991/100000.0/SOLD
797-plenty-road-reservoir-vic-3073,1080000,22-Nov-2021,3,1,2,482,m2,"House","https://www.domain.com.au/797-plenty-road-reservoir-vic-3073-2017366283","Gas*"-"Internal Laundry*"-"Secure Parking*"-"Dishwasher*"-"Solar panels*",0.5-0.8-5.2,3,Nov/2021/1080000.0/SOLD-Apr/2014/461000.0/SOLD-Jul/1991/105000.0/SOLD
4/59-61-purinuan-road-reservoir-vic-3073,730500,20-Nov-2021,3,1,2,242,m2,"House","https://www.domain.com.au/4-59-61-purinuan-road-reservoir-vic-3073-2017355716","Secure Parking*"-"Heating*",0.7-1.4-0.9,3,
25-newton-street-reservoir-vic-3073,945000,20-Nov-2021,3,1,-1,612,m2,"House","https://www.domain.com.au/25-newton-street-reservoir-vic-3073-2017365731","Courtyard"-"Floorboards"-"Fully fenced"-"Gas Heating",0.3-0.9-1.1,3,Nov/2021/945000.0/SOLD-Nov/1986/67000.0/SOLD
46-elinda-place-reservoir-vic-3073,630000,18-Nov-2021,3,1,1,-1,None,"House","https://www.domain.com.au/46-elinda-place-reservoir-vic-3073-2017356655","Built in wardrobes*"-"Secure Parking*"-"Bath*"-"Heating*"-"Dishwasher*",0.7-1.9-0.7,3,Nov/2021/630000.0/SOLD-May/2014/345000.0/SOLD-May/2004/245000.0/SOLD
62-crookston-road-reservoir-vic-3073,1020000,15-Nov-2021,3,1,4,743,m2,"House","https://www.domain.com.au/62-crookston-road-reservoir-vic-3073-2017395714","Heating*"-"Balcony / Deck*",0.6-1.8-0.3,3,Dec/2021/1020000.0/SOLD-Aug/2018/803000.0/SOLD
61-botha-avenue-reservoir-vic-3073,1160000,13-Nov-2021,3,2,3,891,m2,"House","https://www.domain.com.au/61-botha-avenue-reservoir-vic-3073-2017347887","Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Study*",0.5-0.7-7.1,3,Dec/2016/798000.0/SOLD
145-boldrewood-parade-reservoir-vic-3073,850000,13-Nov-2021,3,1,1,500,m2,"House","https://www.domain.com.au/145-boldrewood-parade-reservoir-vic-3073-2017339079","Built in wardrobes*"-"Internal Laundry*"-"Bath*"-"Heating*"-"Solar panels*",0.9-1.2-0.3,3,Nov/2021/850000.0/SOLD-Dec/2019/655000.0/SOLD
11-clinnick-street-reservoir-vic-3073,1145000,13-Nov-2021,3,1,3,507,m2,"House","https://www.domain.com.au/11-clinnick-street-reservoir-vic-3073-2017336576","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Study",0.7-2.4-2.8,3,Nov/2021/1145000.0/SOLD-Jun/2020/662000.0/SOLD
50-hobbs-crescent-reservoir-vic-3073,895000,12-Nov-2021,3,1,2,-1,None,"House","https://www.domain.com.au/50-hobbs-crescent-reservoir-vic-3073-2017352750",,0.5-1.4-6.4,3,Nov/2021/895000.0/SOLD
7-tovey-street-reservoir-vic-3073,910000,06-Nov-2021,3,1,2,720,m2,"House","https://www.domain.com.au/7-tovey-street-reservoir-vic-3073-2017317502","Internal Laundry*"-"Heating*"-"Study*"-"Balcony / Deck*",0.5-0.7-7.1,3,
2-florence-close-reservoir-vic-3073,1012500,06-Nov-2021,3,2,4,-1,None,"House","https://www.domain.com.au/2-florence-close-reservoir-vic-3073-2017307059","Secure Parking*"-"Heating*"-"Dishwasher*",1.1-1.7-7,3,
11-keon-parade-reservoir-vic-3073,750000,05-Nov-2021,3,1,3,575,m2,"House","https://www.domain.com.au/11-keon-parade-reservoir-vic-3073-2017335306","Secure Parking*"-"Bath*",1-1.5-0.9,3,Nov/2021/750000.0/SOLD-Apr/2014/380000.0/SOLD
9-whitby-street-reservoir-vic-3073,1240000,30-Oct-2021,3,2,2,570,m2,"House","https://www.domain.com.au/9-whitby-street-reservoir-vic-3073-2017294636","Secure Parking*"-"Heating*",0.4-1.6-6.1,3,Oct/2021/1240000.0/SOLD-Oct/2017/810000.0/SOLD
161-glasgow-avenue-reservoir-vic-3073,915000,30-Oct-2021,3,1,3,820,m2,"House","https://www.domain.com.au/161-glasgow-avenue-reservoir-vic-3073-2017298330","Secure Parking*",1.3-1.7-6.6,3,Oct/2021/915000.0/SOLD-Jul/1978/380.0/SOLD
18-locksley-avenue-reservoir-vic-3073,1100000,30-Oct-2021,3,1,3,522,m2,"House","https://www.domain.com.au/18-locksley-avenue-reservoir-vic-3073-2017318170","Internal Laundry*"-"Fireplace(s)*",0.7-2.1-2.8,3,Oct/2021/1100000.0/SOLD
35a-lane-crescent-reservoir-vic-3073,872500,30-Oct-2021,3,2,2,-1,None,"House","https://www.domain.com.au/35a-lane-crescent-reservoir-vic-3073-2017313722","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Dishwasher*"-"Solar panels*"-"Balcony / Deck*",0.8-1.4-0.3,3,Oct/2021/872500.0/SOLD-Jul/1997/40000.0/SOLD
1-hamersley-court-reservoir-vic-3073,845000,30-Oct-2021,3,1,2,675,m2,"House","https://www.domain.com.au/1-hamersley-court-reservoir-vic-3073-2017303782","Internal Laundry*"-"Secure Parking*",1-1.1-7.9,3,Oct/2021/845000.0/SOLD
1-goulburn-avenue-reservoir-vic-3073,1500000,25-Oct-2021,3,1,2,-1,None,"House","https://www.domain.com.au/1-goulburn-avenue-reservoir-vic-3073-2017332382",,0.4-0.8-5.3,3,Nov/2021/1500000.0/SOLD
54-elliot-street-reservoir-vic-3073,955000,23-Oct-2021,3,1,3,894,m2,"House","https://www.domain.com.au/54-elliot-street-reservoir-vic-3073-2017283129","Secure Parking*"-"Bath*"-"Heating*"-"Dishwasher*"-"Study",1.2-1.3-6.5,3,Oct/2021/955000.0/SOLD-Jun/2008/370000.0/SOLD
125-purinuan-road-reservoir-vic-3073,980000,23-Oct-2021,3,1,1,755,m2,"House","https://www.domain.com.au/125-purinuan-road-reservoir-vic-3073-2017289938",,0.4-1.7-0.4,3,Oct/2021/980000.0/SOLD-Aug/2010/551000.0/SOLD
10-crawley-street-reservoir-vic-3073,2002000,23-Oct-2021,3,2,4,802,m2,"House","https://www.domain.com.au/10-crawley-street-reservoir-vic-3073-2017192695",,0.7-1.7-2.2,3,Oct/2021/2001999.9999999998/SOLD-Oct/2004/566000.0/SOLD-Aug/2000/375000.0/SOLD
27-tunaley-parade-reservoir-vic-3073,847000,23-Oct-2021,3,1,5,-1,None,"House","https://www.domain.com.au/27-tunaley-parade-reservoir-vic-3073-2017293217","Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Bath*"-"Fireplace(s)*"-"Heating*"-"Dishwasher*",1-2.2-1.1,3,Oct/2021/847000.0/SOLD
1/19-whitelaw-street-reservoir-vic-3073,880000,19-Oct-2021,3,1,1,300,m2,"House","https://www.domain.com.au/1-19-whitelaw-street-reservoir-vic-3073-2017281322","Built in wardrobes*"-"Close to transport"-"Close to shops"-"Close to schools"-"Ducted Heating"-"Floorboards"-"Deck",0.8-1.6-0.6,3,
