"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
3-sutton-grove-richmond-vic-3121,1410000,25-Nov-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/3-sutton-grove-richmond-vic-3121-2017344861",,1.1-1.1-1.2,3,Nov/2021/1410000.0/SOLD
14-hosie-street-richmond-vic-3121,1300000,13-Nov-2021,2,2,2,-1,None,"House","https://www.domain.com.au/14-hosie-street-richmond-vic-3121-2017345210",,0.3-0.3-0.8,3,Nov/2021/1300000.0/SOLD
223-burnley-street-richmond-vic-3121,981000,11-Nov-2021,2,1,1,-1,None,"House","https://www.domain.com.au/223-burnley-street-richmond-vic-3121-2017344437",,0.6-0.6-0.7,3,
38-neptune-street-richmond-vic-3121,1225500,09-Nov-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/38-neptune-street-richmond-vic-3121-2017356703",,0.5-0.6-0.7,3,Nov/2021/1225500.0/SOLD
81-erin-street-richmond-vic-3121,1560000,30-Oct-2021,2,1,-1,192,m2,"House","https://www.domain.com.au/81-erin-street-richmond-vic-3121-2017306515",,0.3-0.6-0.7,3,Oct/2021/1560000.0/SOLD
127-cubitt-street-richmond-vic-3121,1282500,28-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/127-cubitt-street-richmond-vic-3121-2017313798",,0.7-1.7-1.7,3,
n-122-mary-street-richmond-vic-3121,1185000,25-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/n-122-mary-street-richmond-vic-3121-2017085369",,0.7-0.7-0.7,3,
57-abinger-street-richmond-vic-3121,1300000,23-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/57-abinger-street-richmond-vic-3121-2017291304",,0.3-0.4-0.8,3,Oct/2021/1300000.0/SOLD-Oct/2017/931000.0/SOLD-Oct/2009/747000.0/SOLD
48-lyndhurst-street-richmond-vic-3121,1290000,23-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/48-lyndhurst-street-richmond-vic-3121-2017291374",,0.4-0.4-0.9,3,Oct/2021/1290000.0/SOLD
39-little-hoddle-street-richmond-vic-3121,1677500,21-Oct-2021,2,2,-1,-1,None,"House","https://www.domain.com.au/39-little-hoddle-street-richmond-vic-3121-2017290488",,0.4-0.9-1.1,3,Oct/2021/1667500.0/SOLD
4-montgomery-street-richmond-vic-3121,1280000,21-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/4-montgomery-street-richmond-vic-3121-2017306583",,1-1.1-1.1,3,Oct/2021/1280000.0/SOLD-Aug/2002/333000.0/SOLD-Oct/1997/207000.0/SOLD
14-lambert-street-richmond-vic-3121,1220500,20-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/14-lambert-street-richmond-vic-3121-2017304347",,0.4-0.6-0.7,3,
66-fraser-street-richmond-vic-3121,1485000,16-Oct-2021,2,1,-1,205,m2,"House","https://www.domain.com.au/66-fraser-street-richmond-vic-3121-2017174739",,0.5-0.6-0.7,3,Oct/2021/1485000.0/SOLD
25-wall-street-richmond-vic-3121,1323500,16-Oct-2021,2,1,1,-1,None,"House","https://www.domain.com.au/25-wall-street-richmond-vic-3121-2017275424",,0.6-0.6-0.9,3,Oct/2021/1323500.0/SOLD
17-howard-street-richmond-vic-3121,1212000,13-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/17-howard-street-richmond-vic-3121-2017137031",,0.4-1.8-1.8,3,Oct/2021/1212000.0/SOLD-Nov/1986/81000.0/SOLD
8-grattan-place-richmond-vic-3121,1275000,13-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/8-grattan-place-richmond-vic-3121-2017285599",,1-1.1-1.2,3,Oct/2021/1275000.0/SOLD
12-kimber-street-richmond-vic-3121,1550000,07-Oct-2021,2,1,-1,-1,None,"House","https://www.domain.com.au/12-kimber-street-richmond-vic-3121-2017269492",,0.5-0.9-1.3,3,Oct/2021/1550000.0/SOLD-Aug/2017/1155000.0/SOLD
65-green-street-richmond-vic-3121,1080000,31-Aug-2021,2,1,1,-1,None,"House","https://www.domain.com.au/65-green-street-richmond-vic-3121-2017174793",,0.5-1.4-1.4,3,
111-kent-street-richmond-vic-3121,1487000,17-Aug-2021,2,1,1,-1,None,"House","https://www.domain.com.au/111-kent-street-richmond-vic-3121-2017174456",,0.2-0.4-0.4,3,Aug/2021/1487000.0/SOLD
56-farmer-street-richmond-vic-3121,1375000,14-Aug-2021,2,1,1,138,m2,"House","https://www.domain.com.au/56-farmer-street-richmond-vic-3121-2017137677","Air conditioning*"-"Secure Parking*"-"Dishwasher*"-"Shed*",0.6-0.9-1.2,3,Aug/2021/1375000.0/SOLD-Jun/2018/1205000.0/SOLD-May/2014/856000.0/SOLD
84-stawell-street-richmond-vic-3121,905000,17-Jul-2021,2,1,-1,110,m2,"House","https://www.domain.com.au/84-stawell-street-richmond-vic-3121-2017088288",,0.5-0.9-1,3,Jul/2021/905000.0/SOLD
7-dunn-street-richmond-vic-3121,1260000,10-Jul-2021,2,2,-1,-1,None,"House","https://www.domain.com.au/7-dunn-street-richmond-vic-3121-2017077482",,0.6-1.3-1.3,3,
