"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
11-gathray-court-roxburgh-park-vic-3064,535000,04-Dec-2021,3,1,2,-1,None,"House","https://www.domain.com.au/11-gathray-court-roxburgh-park-vic-3064-2017397753","Internal Laundry*"-"Secure Parking*"-"Heating*"-"Built in wardrobes"-"Air-Conditioner"-"Outdoor Entertainment",0.6-1-1.8,3,Dec/2021/535000.0/SOLD-Sep/2014/350.0/SOLD
28-saunders-court-roxburgh-park-vic-3064,666000,27-Nov-2021,3,2,2,552,m2,"House","https://www.domain.com.au/28-saunders-court-roxburgh-park-vic-3064-2017376017","Internal Laundry*"-"Study*"-"Ensuite"-"Dishwasher"-"Built in wardrobes"-"Ducted Heating"-"Evaporative Cooling"-"Remote Garage"-"Outdoor Entertainment",0.3-0.9-1.7,3,Nov/2021/466000.0/SOLD
3-phoenix-court-roxburgh-park-vic-3064,616000,20-Nov-2021,3,2,2,518,m2,"House","https://www.domain.com.au/3-phoenix-court-roxburgh-park-vic-3064-2017347045","Ensuite"-"Built in wardrobes"-"Internal Laundry"-"Bath"-"Fireplace(s)"-"Separate Dining Room"-"Heating"-"Dishwasher"-"Secure Parking"-"Shed"-"Garden / Courtyard",1.2-1.4-0.3,3,Nov/2021/616000.0/SOLD-Jan/1998/51000.0/SOLD
21-perry-court-roxburgh-park-vic-3064,630000,18-Nov-2021,3,2,2,606,m2,"House","https://www.domain.com.au/21-perry-court-roxburgh-park-vic-3064-2017369788","Internal Laundry*"-"Secure Parking*"-"Shed*"-"Built in wardrobes"-"Bath"-"Separate Dining Room"-"Heating"-"Dishwasher",0.8-1-1.9,3,Nov/2021/630000.0/SOLD-Feb/1995/155000.0/SOLD-Dec/1992/43500.0/SOLD
4-chubut-way-roxburgh-park-vic-3064,611000,18-Nov-2021,3,2,2,400,m2,"House","https://www.domain.com.au/4-chubut-way-roxburgh-park-vic-3064-2017377202","Heating*"-"Balcony / Deck*"-"Air conditioning"-"Study",0.7-0.8-0.9,3,Nov/2021/611000.0/SOLD
12-portland-place-roxburgh-park-vic-3064,450000,15-Nov-2021,3,2,1,-1,None,"House","https://www.domain.com.au/12-portland-place-roxburgh-park-vic-3064-2017355729","Internal Laundry*"-"Heating*"-"Built in wardrobes"-"Secure Parking"-"Balcony / Deck",0.5-0.8-0.4,3,Nov/2021/450000.0/SOLD-Mar/2008/380.0/SOLD
17-kirwan-avenue-roxburgh-park-vic-3064,505000,15-Nov-2021,3,1,1,407,m2,"House","https://www.domain.com.au/17-kirwan-avenue-roxburgh-park-vic-3064-2017077025","Secure Parking*"-"Garden*"-"Built in wardrobes"-"Floorboards"-"Ducted Heating",0.6-0.6-1.2,3,Nov/2021/505000.0/SOLD-Feb/2016/342000.0/SOLD
22-thurmand-court-roxburgh-park-vic-3064,650000,15-Nov-2021,3,2,1,524,m2,"House","https://www.domain.com.au/22-thurmand-court-roxburgh-park-vic-3064-2017356334","Air conditioning*"-"Heating*"-"Secure Parking"-"Ensuite",0.2-0.5-1.4,3,Nov/2021/650000.0/SOLD-Jul/2008/286000.0/SOLD-Feb/1995/46000.0/SOLD
11-franklin-avenue-roxburgh-park-vic-3064,492500,13-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/11-franklin-avenue-roxburgh-park-vic-3064-2017352487","Close to transport"-"Close to shops"-"Close to schools"-"Ensuite"-"Ducted Heating",0.9-1-1.2,3,Nov/2021/492500.0/SOLD-Jul/2009/340.0/SOLD
42-mackellar-drive-roxburgh-park-vic-3064,550000,11-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/42-mackellar-drive-roxburgh-park-vic-3064-2017356171",,0.8-1.2-1.2,3,Jun/2001/179000.0/SOLD-Jul/1999/42000.0/SOLD
6-tulloch-way-roxburgh-park-vic-3064,555000,09-Nov-2021,3,2,1,487,m2,"House","https://www.domain.com.au/6-tulloch-way-roxburgh-park-vic-3064-2017330030","Internal Laundry*"-"Dishwasher*"-"Ensuite"-"Built in wardrobes"-"Ducted Heating"-"Evaporative Cooling"-"Shed"-"Fully fenced",0.6-0.7-1.1,3,Nov/2021/555000.0/SOLD-Feb/2013/295500.0/SOLD
7-viewbank-circuit-roxburgh-park-vic-3064,472500,05-Nov-2021,3,2,1,-1,None,"House","https://www.domain.com.au/7-viewbank-circuit-roxburgh-park-vic-3064-2017242982","Secure Parking*"-"Heating*"-"Dishwasher*"-"Air-Conditioner"-"Courtyard"-"Outdoor Entertainment"-"Fully fenced",0.6-0.8-0.4,3,Sep/2021/472500.0/SOLD-Sep/2018/430000.0/SOLD-Oct/2008/246000.0/SOLD
11-darlington-court-roxburgh-park-vic-3064,520000,05-Nov-2021,3,1,1,440,m2,"House","https://www.domain.com.au/11-darlington-court-roxburgh-park-vic-3064-2017237502","Built in wardrobes*"-"Secure Parking*"-"Ducted Heating"-"Courtyard"-"Outdoor Entertainment"-"Fully fenced",0.4-1.6-0.8,3,Sep/2021/520000.0/SOLD
8-dendy-court-roxburgh-park-vic-3064,526000,04-Nov-2021,3,1,-1,-1,None,"House","https://www.domain.com.au/8-dendy-court-roxburgh-park-vic-3064-2017312776","Built in wardrobes*"-"Gas*"-"Internal Laundry*"-"Heating",0.5-0.6-1.2,3,Nov/2021/526000.0/SOLD-Dec/2016/326000.0/SOLD-Feb/1998/98000.0/SOLD
5-kennedy-parade-roxburgh-park-vic-3064,570000,03-Nov-2021,3,2,1,407,m2,"House","https://www.domain.com.au/5-kennedy-parade-roxburgh-park-vic-3064-2017323032","Secure Parking*"-"Heating*"-"Shed*"-"Balcony / Deck*",0.7-1-0.8,3,Oct/2021/570000.0/SOLD-Sep/2004/226000.0/SOLD-Apr/2002/170000.0/SOLD
10-harwood-place-roxburgh-park-vic-3064,525000,03-Nov-2021,3,2,1,-1,None,"House","https://www.domain.com.au/10-harwood-place-roxburgh-park-vic-3064-2017237580","Built in wardrobes*"-"Internal Laundry*"-"Heating*"-"Garden*",0.5-0.7-1.1,3,Sep/2021/525000.0/SOLD-Apr/2014/325000.0/SOLD
10-oscar-circuit-roxburgh-park-vic-3064,520000,29-Oct-2021,3,2,2,-1,None,"House","https://www.domain.com.au/10-oscar-circuit-roxburgh-park-vic-3064-2017306432","Secure Parking*",0.9-1.1-0.3,3,Nov/2021/520000.0/SOLD-Feb/2015/398000.0/SOLD
8-villandry-street-roxburgh-park-vic-3064,610000,26-Oct-2021,3,2,2,304,m2,"House","https://www.domain.com.au/8-villandry-street-roxburgh-park-vic-3064-2017297304","Secure Parking*"-"Heating*"-"Dishwasher*"-"Study*",0.7-1.9-0.5,3,Oct/2021/610000.0/SOLD-Jul/2017/490000.0/SOLD-Jul/2011/190000.0/SOLD
6-siret-court-roxburgh-park-vic-3064,635000,25-Oct-2021,3,2,2,469,m2,"House","https://www.domain.com.au/6-siret-court-roxburgh-park-vic-3064-2017297300","Internal Laundry*"-"Secure Parking*"-"Dishwasher*",0.6-0.6-1.1,3,Oct/2021/635000.0/SOLD-Jan/2017/465000.0/SOLD-May/2009/345000.0/SOLD
24-simmonds-place-roxburgh-park-vic-3064,695000,21-Oct-2021,3,2,2,563,m2,"House","https://www.domain.com.au/24-simmonds-place-roxburgh-park-vic-3064-2017295719","Internal Laundry*"-"Dishwasher*"-"Study*"-"Shed*"-"Solar panels*"-"Ensuite",0.3-0.3-1.2,3,Oct/2021/695000.0/SOLD-Aug/2006/280000.0/SOLD-Aug/1995/46000.0/SOLD
3-foxton-place-roxburgh-park-vic-3064,485000,20-Oct-2021,3,1,1,371,m2,"House","https://www.domain.com.au/3-foxton-place-roxburgh-park-vic-3064-2017283097","Shed*"-"Ensuite"-"Built in wardrobes"-"Internal Laundry"-"Bath"-"Heating"-"Garden / Courtyard",0.5-0.6-1.4,3,Oct/2021/485000.0/SOLD
78-mckenzie-crescent-roxburgh-park-vic-3064,526000,19-Oct-2021,3,2,1,-1,None,"House","https://www.domain.com.au/78-mckenzie-crescent-roxburgh-park-vic-3064-2017305853","Heating*",0.6-1-0.3,3,Oct/2021/526000.0/SOLD
32-boyden-square-roxburgh-park-vic-3064,510000,15-Oct-2021,3,2,2,-1,None,"House","https://www.domain.com.au/32-boyden-square-roxburgh-park-vic-3064-2017307737",,0.8-0.9-0.6,3,Oct/2021/510000.0/SOLD-Jun/2001/184100.0/SOLD-Oct/1999/38000.0/SOLD
7-connell-walk-roxburgh-park-vic-3064,510000,11-Oct-2021,3,1,2,-1,None,"House","https://www.domain.com.au/7-connell-walk-roxburgh-park-vic-3064-2017226315","Built in wardrobes*"-"Internal Laundry*"-"Heating*"-"Garden*",0.8-1-1.2,3,Sep/2021/510000.0/SOLD-Feb/1995/35000.0/SOLD
19-rio-grande-drive-roxburgh-park-vic-3064,685300,11-Oct-2021,3,2,2,544,m2,"House","https://www.domain.com.au/19-rio-grande-drive-roxburgh-park-vic-3064-2017270829","Secure Parking*"-"Heating*"-"Shed*"-"Ensuite",0.8-1.1-0.6,3,Oct/2021/685300.0/SOLD
44-oscar-circuit-roxburgh-park-vic-3064,495000,05-Oct-2021,3,2,2,-1,None,"House","https://www.domain.com.au/44-oscar-circuit-roxburgh-park-vic-3064-2017164760","Secure Parking*"-"Garden*",0.8-1.1-0.4,3,Sep/2021/495000.0/SOLD-Apr/2016/400000.0/SOLD-Aug/2015/235000.0/SOLD
