"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
2a-martin-street-sunshine-vic-3020,860000,04-Dec-2021,3,2,2,-1,None,"House","https://www.domain.com.au/2a-martin-street-sunshine-vic-3020-2017398325",,0.5-1.6-3.1,3,Dec/2021/860000.0/SOLD-Jun/2017/835000.0/SOLD
76-monash-street-sunshine-vic-3020,935000,27-Nov-2021,3,1,1,-1,None,"House","https://www.domain.com.au/76-monash-street-sunshine-vic-3020-2017382203","Built in wardrobes*"-"Gas*"-"Internal Laundry*"-"Secure Parking*"-"Heating*"-"Shed*",0.6-1.5-3.2,3,Nov/2021/935000.0/SOLD
102-devonshire-road-sunshine-vic-3020,1015000,16-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/102-devonshire-road-sunshine-vic-3020-2017339334","Air conditioning*"-"Secure Parking*"-"Heating*",0.5-1-1.4,3,Nov/2021/1014999.9999999999/SOLD-Jul/2008/330000.0/SOLD
112-cornwall-road-sunshine-vic-3020,1200000,10-Nov-2021,3,1,2,575,m2,"House","https://www.domain.com.au/112-cornwall-road-sunshine-vic-3020-2017346552",,0.3-0.8-1.3,3,Nov/2021/1200000.0/SOLD-Sep/2015/610000.0/SOLD-Jun/2014/600000.0/SOLD
4-6-matthews-street-sunshine-vic-3020,1200000,09-Nov-2021,3,2,4,1360,m2,"House","https://www.domain.com.au/4-6-matthews-street-sunshine-vic-3020-2017322619",,1.1-1.8-3.9,3,Nov/2021/1200000.0/SOLD
18a-monash-street-sunshine-vic-3020,831000,06-Nov-2021,3,2,1,-1,None,"House","https://www.domain.com.au/18a-monash-street-sunshine-vic-3020-2017296936","Air conditioning*"-"Secure Parking*"-"Heating*",0.7-1.3-1.5,3,Nov/2021/831000.0/SOLD
1/1-una-street-sunshine-vic-3020,753000,01-Nov-2021,3,1,2,294,m2,"House","https://www.domain.com.au/1-1-una-street-sunshine-vic-3020-2017315512","Dishwasher"-"Built in wardrobes"-"Floorboards"-"Air-Conditioner"-"Ducted Heating"-"Remote Garage"-"Fully fenced",0.3-0.8-1.3,3,
6-ernest-street-sunshine-vic-3020,846000,30-Oct-2021,3,2,1,-1,None,"House","https://www.domain.com.au/6-ernest-street-sunshine-vic-3020-2017283216","Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Dishwasher*"-"Study*",0.2-0.5-1,3,Oct/2021/846000.0/SOLD
10-pengelly-court-sunshine-vic-3020,955000,26-Oct-2021,3,1,3,-1,None,"House","https://www.domain.com.au/10-pengelly-court-sunshine-vic-3020-2017320890",,0.6-0.9-2.6,3,Nov/2021/955000.0/SOLD-Oct/2012/467000.0/SOLD-Sep/1997/130000.0/SOLD
173-morris-street-sunshine-vic-3020,1110000,26-Oct-2021,3,1,2,-1,None,"House","https://www.domain.com.au/173-morris-street-sunshine-vic-3020-2017356782",,0.2-0.4-3.4,3,Mar/2013/386000.0/SOLD-Nov/1999/270.0/SOLD
13-couper-angus-grove-sunshine-vic-3020,790000,23-Oct-2021,3,3,2,-1,None,"House","https://www.domain.com.au/13-couper-angus-grove-sunshine-vic-3020-2017326097","Built in wardrobes*"-"Secure Parking*",1.1-4.2-4.8,3,Oct/2021/790000.0/SOLD
23-monash-street-sunshine-vic-3020,930000,14-Oct-2021,3,1,2,605,m2,"House","https://www.domain.com.au/23-monash-street-sunshine-vic-3020-2017276495",,0.8-1.4-3.5,3,Nov/2021/930000.0/SOLD
