"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
3-harding-street-surrey-hills-vic-3127,2525000,17-Nov-2021,5,3,2,940,m2,"House","https://www.domain.com.au/3-harding-street-surrey-hills-vic-3127-2016969058","Secure Parking*"-"Heating*"-"Balcony / Deck*"-"Study",0.6-2.1-2.8,3,Nov/2021/2525000.0/SOLD-Dec/2015/900.0/SOLD
235-union-road-surrey-hills-vic-3127,3750000,16-Oct-2021,5,4,4,-1,None,"House","https://www.domain.com.au/235-union-road-surrey-hills-vic-3127-2017316915",,0.6-1.4-2.1,3,Oct/2021/3750000.0/SOLD-Sep/2013/1075000.0/SOLD
255-union-road-surrey-hills-vic-3127,2625000,03-Jun-2021,5,3,2,753,m2,"House","https://www.domain.com.au/255-union-road-surrey-hills-vic-3127-2016998383",,0.4-1.3-2,3,Jun/2021/2625000.0/SOLD-Oct/2003/910000.0/SOLD
18-arundel-crescent-surrey-hills-vic-3127,3025000,08-May-2021,5,3,3,-1,None,"House","https://www.domain.com.au/18-arundel-crescent-surrey-hills-vic-3127-2016930493",,0.8-1.8-2.4,3,May/2021/3025000.0/SOLD
14-boisdale-street-surrey-hills-vic-3127,2700000,20-Feb-2021,8,4,4,1022,m2,"House","https://www.domain.com.au/14-boisdale-street-surrey-hills-vic-3127-2016749752","Internal Laundry*"-"Garden*",0.9-2.5-7,3,
24-glendale-street-surrey-hills-vic-3127,2880000,16-Feb-2021,5,3,3,839,m2,"House","https://www.domain.com.au/24-glendale-street-surrey-hills-vic-3127-2016771156",,0.9-2.4-6.8,3,Feb/2021/2880000.0/SOLD-Aug/2017/2400000.0/SOLD-Mar/1983/99000.0/SOLD
41-suffolk-road-surrey-hills-vic-3127,3410000,12-Dec-2020,5,3,2,892,m2,"House","https://www.domain.com.au/41-suffolk-road-surrey-hills-vic-3127-2016641168",,0.8-1.8-2.3,3,Dec/2020/3410000.0/SOLD-Sep/1998/485500.0/SOLD
7-neath-street-surrey-hills-vic-3127,4005000,28-Nov-2020,5,4,2,780,m2,"House","https://www.domain.com.au/7-neath-street-surrey-hills-vic-3127-2016585981",,0.2-1.7-2,3,Nov/2020/4005000.0/SOLD-Jul/2015/2029999.9999999998/SOLD
12-the-avenue-surrey-hills-vic-3127,4450000,31-Oct-2020,5,2,2,-1,None,"House","https://www.domain.com.au/12-the-avenue-surrey-hills-vic-3127-2016092182",,0.3-2.2-6.1,3,Oct/2020/4450000.0/SOLD-Oct/2011/2000000.0/SOLD
9-erasmus-street-surrey-hills-vic-3127,2700000,09-Jul-2020,5,4,2,-1,None,"House","https://www.domain.com.au/9-erasmus-street-surrey-hills-vic-3127-2015811088",,0.8-2.3-2.8,3,Jul/2020/2700000.0/SOLD-Feb/2017/2550000.0/SOLD-May/2015/2215700.0/SOLD
273-mont-albert-road-surrey-hills-vic-3127,2350000,23-May-2020,5,3,2,863,m2,"House","https://www.domain.com.au/273-mont-albert-road-surrey-hills-vic-3127-2016258249",,0.4-1.9-2.2,3,May/2020/2350000.0/SOLD
25-albert-crescent-surrey-hills-vic-3127,2685000,14-Mar-2020,5,3,2,1171,m2,"House","https://www.domain.com.au/25-albert-crescent-surrey-hills-vic-3127-2016080177","Study",0.3-1.8-2.5,3,Mar/2020/2685000.0/SOLD
19-wells-street-surrey-hills-vic-3127,2950000,22-Feb-2020,5,3,2,780,m2,"House","https://www.domain.com.au/19-wells-street-surrey-hills-vic-3127-2016038699",,0.3-1.6-2,3,Feb/2020/2950000.0/SOLD-Dec/2016/1850000.0/SOLD
24-park-road-surrey-hills-vic-3127,1960000,14-Dec-2019,6,4,2,472,m2,"House","https://www.domain.com.au/24-park-road-surrey-hills-vic-3127-2015967673",,1.3-3-3.1,3,Dec/2019/1960000.0/SOLD-Apr/2017/2560000.0/SOLD-Nov/2015/2069999.9999999998/SOLD
24-park-road-surrey-hills-vic-3127,1960000,14-Dec-2019,6,4,2,472,m2,"House","https://www.domain.com.au/24-park-road-surrey-hills-vic-3127-2015880443",,1.3-3-3.1,3,Dec/2019/1960000.0/SOLD-Apr/2017/2560000.0/SOLD-Nov/2015/2069999.9999999998/SOLD
3-queen-street-surrey-hills-vic-3127,2720000,30-Nov-2019,5,4,3,-1,None,"House","https://www.domain.com.au/3-queen-street-surrey-hills-vic-3127-2015839502",,0.4-1.3-2.1,3,Nov/2019/2720000.0/SOLD-May/1989/205000.0/SOLD
14-neath-street-surrey-hills-vic-3127,3843000,16-Nov-2019,5,2,2,725,m2,"House","https://www.domain.com.au/14-neath-street-surrey-hills-vic-3127-2015780719",,0.2-1.8-2,3,Nov/2019/3843000.0/SOLD-Nov/2010/2250000.0/SOLD-Dec/2006/1654000.0/SOLD
762-canterbury-road-surrey-hills-vic-3127,1289000,26-Oct-2019,5,1,2,585,m2,"House","https://www.domain.com.au/762-canterbury-road-surrey-hills-vic-3127-2015696060",,0.9-2-2.5,3,Oct/2019/1289000.0/SOLD
79-middlesex-road-surrey-hills-vic-3127,2450000,26-Oct-2019,5,3,3,743,m2,"House","https://www.domain.com.au/79-middlesex-road-surrey-hills-vic-3127-2015699379",,0.5-1.4-2.1,3,Oct/2019/1100.0/SOLD
5-neath-street-surrey-hills-vic-3127,2120000,21-Sep-2019,5,2,-1,780,m2,"House","https://www.domain.com.au/5-neath-street-surrey-hills-vic-3127-2015541491",,0.2-1.7-2,3,Sep/2019/2120000.0/SOLD
24-balmoral-crescent-surrey-hills-vic-3127,3000000,12-Sep-2019,5,2,2,1580,m2,"House","https://www.domain.com.au/24-balmoral-crescent-surrey-hills-vic-3127-2015440123",,0.5-1.9-2.6,3,Sep/2019/3000000.0/SOLD-Feb/1990/500000.0/SOLD
21-graham-street-surrey-hills-vic-3127,1620000,03-Aug-2019,5,2,1,746,m2,"House","https://www.domain.com.au/21-graham-street-surrey-hills-vic-3127-2015419771",,1-2.2-6.9,3,Aug/2019/1620000.0/SOLD-Mar/2004/580000.0/SOLD
4-james-street-surrey-hills-vic-3127,2550000,29-Jun-2019,5,3,2,-1,None,"House","https://www.domain.com.au/4-james-street-surrey-hills-vic-3127-2015329553",,0.4-1.6-2.2,3,Jun/2019/2550000.0/SOLD-Jun/2014/1265000.0/SOLD-Jul/1988/205000.0/SOLD
222-union-road-surrey-hills-vic-3127,1950000,22-Jun-2019,5,3,-1,706,m2,"House","https://www.domain.com.au/222-union-road-surrey-hills-vic-3127-2015302898",,0.6-1.5-2.2,3,Jun/2019/1950000.0/SOLD-Dec/2017/2250000.0/SOLD-May/1992/186500.0/SOLD
15-drewett-street-surrey-hills-vic-3127,2098000,23-Feb-2019,6,3,2,917,m2,"House","https://www.domain.com.au/15-drewett-street-surrey-hills-vic-3127-2014903484",,0.8-2.4-3,3,Feb/2019/2098000.0/SOLD
2-belmont-street-surrey-hills-vic-3127,1575000,12-Dec-2018,5,2,2,728,m2,"House","https://www.domain.com.au/2-belmont-street-surrey-hills-vic-3127-2014768720",,0.6-2.4-2.7,3,Dec/2018/1575000.0/SOLD-Jan/1986/117000.0/SOLD-Mar/1985/77500.0/SOLD
35-kingston-road-surrey-hills-vic-3127,2425000,28-Aug-2018,5,3,2,-1,None,"House","https://www.domain.com.au/35-kingston-road-surrey-hills-vic-3127-2014583037",,0.7-1.7-1.9,3,Sep/2018/2425000.0/SOLD-Aug/1996/223000.0/SOLD-Mar/1991/188000.0/SOLD
62-union-road-surrey-hills-vic-3127,2900000,24-Jun-2018,5,2,2,1312,m2,"House","https://www.domain.com.au/62-union-road-surrey-hills-vic-3127-2014206748",,0.6-2.1-2.5,3,Jun/2018/2900000.0/SOLD-Jun/1995/320000.0/SOLD-Oct/1994/320000.0/SOLD
21-anderson-street-surrey-hills-vic-3127,2280000,24-Mar-2018,5,3,2,-1,None,"House","https://www.domain.com.au/21-anderson-street-surrey-hills-vic-3127-2014205682",,0.8-1.9-2.5,3,Mar/2018/2280000.0/SOLD-Jan/2014/1550000.0/SOLD
3-wells-street-surrey-hills-vic-3127,2220000,13-Mar-2018,5,1,3,780,m2,"House","https://www.domain.com.au/3-wells-street-surrey-hills-vic-3127-2014179536",,0.3-1.6-1.9,3,Mar/2018/2220000.0/SOLD
