"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
9-whernside-avenue-toorak-vic-3142,22000000,13-Mar-2021,5,5,5,1560,m2,"House","https://www.domain.com.au/9-whernside-avenue-toorak-vic-3142-2016836844",,1-1.7-7.6,3,Mar/2021/22000000.0/SOLD-Nov/2016/11000000.0/SOLD-May/1991/1600000.0/SOLD
20-st-georges-road-toorak-vic-3142,19000000,12-Mar-2021,5,6,4,1457,m2,"House","https://www.domain.com.au/20-st-georges-road-toorak-vic-3142-2016620672",,1.1-1.8-2.2,3,Mar/2021/19000000.0/SOLD-Mar/2011/14500000.0/SOLD
4-gawith-court-toorak-vic-3142,4450000,26-Jan-2021,5,5,2,-1,None,"House","https://www.domain.com.au/4-gawith-court-toorak-vic-3142-2016559704",,1.5-1.5-2.2,3,Jan/2021/4450000.0/SOLD-Feb/2014/4050000.0/SOLD-Feb/2006/1465000.0/SOLD
4-balfour-street-toorak-vic-3142,4250000,27-Oct-2020,5,3,2,482,m2,"House","https://www.domain.com.au/4-balfour-street-toorak-vic-3142-2016365731",,1.5-1.8-1.9,3,Oct/2020/4250000.0/SOLD-Mar/1997/1111000.0/SOLD-Mar/1994/440000.0/SOLD
3-nola-court-toorak-vic-3142,13700000,19-Oct-2020,5,5,6,690,m2,"House","https://www.domain.com.au/3-nola-court-toorak-vic-3142-2016556946",,0.4-2.6-6.7,3,Oct/2020/13700000.0/SOLD-Sep/2017/4810000.0/SOLD-Feb/2016/3615000.0/SOLD
2-lascelles-avenue-toorak-vic-3142,14750000,14-Oct-2020,5,4,6,1163,m2,"House","https://www.domain.com.au/2-lascelles-avenue-toorak-vic-3142-2016488831",,0.5-2-2.2,3,Oct/2020/14750000.0/SOLD-Nov/2015/10849999.0/SOLD-Oct/1999/1920000.0/SOLD
7-montalto-avenue-toorak-vic-3142,8900000,05-Oct-2020,5,3,5,-1,None,"House","https://www.domain.com.au/7-montalto-avenue-toorak-vic-3142-2016286158",,0.3-2-2.3,3,Oct/2020/8900000.0/SOLD-Aug/1999/1250000.0/SOLD
59-grange-road-toorak-vic-3142,10250000,22-May-2020,5,4,5,2000,m2,"House","https://www.domain.com.au/59-grange-road-toorak-vic-3142-2015874321",,1-1.5-2.2,3,May/2020/10250000.0/SOLD-Nov/2010/8000000.0/SOLD-Jul/2003/4500000.0/SOLD
4-heymount-close-toorak-vic-3142,8500000,11-May-2020,5,4,2,1096,m2,"House","https://www.domain.com.au/4-heymount-close-toorak-vic-3142-2016209245",,1-2.1-2.1,3,May/2020/8500000.0/SOLD
4-nareeb-court-toorak-vic-3142,5000000,03-Oct-2019,5,3,3,693,m2,"House","https://www.domain.com.au/4-nareeb-court-toorak-vic-3142-2015649783",,0.6-2.2-7.2,3,Oct/2019/1200.0/SOLD
