"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
2-centenary-crescent-werribee-vic-3030,640000,09-Dec-2021,3,1,2,657,m2,"House","https://www.domain.com.au/2-centenary-crescent-werribee-vic-3030-2017241053","Deck"-"Fully fenced"-"Evaporative Cooling"-"Built in wardrobes"-"Ducted Heating",0.4-1.2-1.5,3,Mar/2020/300.0/SOLD-Apr/2016/436500.0/SOLD
4-wattle-avenue-werribee-vic-3030,680000,07-Dec-2021,3,1,3,649,m2,"House","https://www.domain.com.au/4-wattle-avenue-werribee-vic-3030-2017399001",,0.6-1.3-1,3,May/2002/173500.0/SOLD
42-loyola-road-werribee-vic-3030,710000,04-Dec-2021,3,2,2,601,m2,"House","https://www.domain.com.au/42-loyola-road-werribee-vic-3030-2017390578",,0.7-1.2-0.7,3,
29-slattery-street-werribee-vic-3030,712500,01-Dec-2021,3,2,4,599,m2,"House","https://www.domain.com.au/29-slattery-street-werribee-vic-3030-2017398801",,0.5-1.3-1,3,Dec/2021/712500.0/SOLD-Oct/2020/582000.0/SOLD-Feb/2010/290000.0/SOLD
10-ganges-court-werribee-vic-3030,551000,01-Dec-2021,3,2,2,664,m2,"House","https://www.domain.com.au/10-ganges-court-werribee-vic-3030-2017400450",,0.2-1.5-0.1,3,Dec/2021/551000.0/SOLD-Oct/2016/390700.0/SOLD
11-mekong-close-werribee-vic-3030,530000,01-Dec-2021,3,1,2,449,m2,"House","https://www.domain.com.au/11-mekong-close-werribee-vic-3030-2017386526","Air conditioning"-"Floorboards"-"Built in wardrobes"-"Bath"-"Heating"-"Secure Parking"-"Shed"-"Fully fenced"-"Garden / Courtyard",0.4-0.9-0.7,3,Dec/2021/530000.0/SOLD-Aug/2002/153500.0/SOLD-Oct/1992/31000.0/SOLD
63-mansfield-drive-werribee-vic-3030,670000,30-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/63-mansfield-drive-werribee-vic-3030-2017370819",,1.1-3.7-2.5,3,Nov/2021/670000.0/SOLD-Feb/2018/247900.0/SOLD
14/12-mingos-court-werribee-vic-3030,407000,29-Nov-2021,3,1,2,-1,None,"House","https://www.domain.com.au/14-12-mingos-court-werribee-vic-3030-2017405986","Air conditioning*"-"Internal Laundry*"-"Secure Parking*"-"Heating*",0.4-1.7-1,3,
8-arbuckle-road-werribee-vic-3030,531000,29-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/8-arbuckle-road-werribee-vic-3030-2017206388","Secure Parking*"-"Dishwasher*"-"Garden*"-"Ensuite",1.1-2.2-1.4,3,Nov/2021/531000.0/SOLD
27-cormorant-crescent-werribee-vic-3030,500000,27-Nov-2021,3,1,2,670,m2,"House","https://www.domain.com.au/27-cormorant-crescent-werribee-vic-3030-2017378239",,0.8-1.8-1.1,3,Nov/2021/500000.0/SOLD
71-rowes-road-werribee-vic-3030,505000,26-Nov-2021,3,1,2,594,m2,"House","https://www.domain.com.au/71-rowes-road-werribee-vic-3030-2017422160","Air conditioning"-"Built in wardrobes"-"Internal Laundry"-"Bath"-"Heating"-"Secure Parking",0.9-1.5-1.9,3,Nov/2021/505000.0/SOLD
41-high-street-werribee-vic-3030,680000,26-Nov-2021,3,1,2,664,m2,"House","https://www.domain.com.au/41-high-street-werribee-vic-3030-2017421223","Heating*"-"Dishwasher*"-"Solar panels*"-"Balcony / Deck*",0.8-1.4-1.2,3,Nov/2021/680000.0/SOLD-Dec/2014/373000.0/SOLD-Feb/2008/275000.0/SOLD
41-exploration-avenue-werribee-vic-3030,615000,25-Nov-2021,3,2,2,276,m2,"House","https://www.domain.com.au/41-exploration-avenue-werribee-vic-3030-2017312848","Ensuite"-"Study"-"Dishwasher"-"Built in wardrobes"-"Broadband"-"Air-Conditioner"-"Ducted Heating"-"Alarm"-"Remote Garage"-"Outdoor Entertainment",0.4-2.9-2.1,3,Nov/2021/615000.0/SOLD-Apr/2018/545000.0/SOLD-Oct/2016/450000.0/SOLD
67-songlark-crescent-werribee-vic-3030,530000,24-Nov-2021,3,1,2,576,m2,"House","https://www.domain.com.au/67-songlark-crescent-werribee-vic-3030-2017359438",,0.8-1.8-0.9,3,Nov/2021/530000.0/SOLD-Feb/2017/410000.0/SOLD
37-daphne-crescent-werribee-vic-3030,505000,23-Nov-2021,3,1,2,526,m2,"House","https://www.domain.com.au/37-daphne-crescent-werribee-vic-3030-2017296848","Air conditioning*"-"Built in wardrobes*"-"Internal Laundry*"-"Pets Allowed*"-"Heating*"-"Dishwasher*",1.1-1.2-1.6,3,Nov/2021/505000.0/SOLD-Apr/2017/330.0/SOLD
11-xavier-court-werribee-vic-3030,620000,23-Nov-2021,3,2,8,617,m2,"House","https://www.domain.com.au/11-xavier-court-werribee-vic-3030-2017386182","Double garage"-"Big shed"-"Permitted"-"12m long"-"7.6 wide"-"Comes with joice",0.2-1.2-1.1,3,Nov/2021/620000.0/SOLD-Jul/2009/275000.0/SOLD
112-south-ring-road-werribee-vic-3030,661000,23-Nov-2021,3,1,2,630,m2,"House","https://www.domain.com.au/112-south-ring-road-werribee-vic-3030-2017373402",,1-1.3-0.8,3,Nov/2021/661000.0/SOLD-Dec/1998/81500.0/SOLD-Oct/1990/100000.0/SOLD
21-eldan-drive-werribee-vic-3030,557121,23-Nov-2021,3,2,1,538,m2,"House","https://www.domain.com.au/21-eldan-drive-werribee-vic-3030-2017404925",,0.2-1.2-0.9,3,Nov/2021/557121.0/SOLD-Apr/1990/107000.0/SOLD-May/1985/66500.0/SOLD
1-terrigal-court-werribee-vic-3030,507000,22-Nov-2021,3,1,1,-1,None,"House","https://www.domain.com.au/1-terrigal-court-werribee-vic-3030-2017431692","Secure Parking*"-"Heating*"-"Dishwasher*"-"Solar panels*",0.4-1.9-1.3,3,Mar/1989/94000.0/SOLD-Sep/1985/67000.0/SOLD
11-egret-court-werribee-vic-3030,580100,21-Nov-2021,3,1,4,658,m2,"House","https://www.domain.com.au/11-egret-court-werribee-vic-3030-2017379854","Air conditioning*"-"Built in wardrobes*"-"Internal Laundry*"-"Secure Parking*"-"Heating*"-"Solar panels*",0.7-1.2-0.9,3,Nov/2021/580100.0/SOLD-Jul/2013/285000.0/SOLD
45-hopetoun-road-werribee-vic-3030,970000,20-Nov-2021,3,2,2,1116,m2,"House","https://www.domain.com.au/45-hopetoun-road-werribee-vic-3030-2017354483","Secure Parking*"-"Bath*"-"Heating*"-"Dishwasher*"-"Balcony / Deck*"-"Study",1-3.4-2.3,3,Nov/2021/970000.0/SOLD-Feb/1995/54500.0/SOLD
17-pigeon-street-werribee-vic-3030,500000,19-Nov-2021,3,1,2,556,m2,"House","https://www.domain.com.au/17-pigeon-street-werribee-vic-3030-2017387702",,1-1.2-1.5,3,Nov/2021/500000.0/SOLD-Dec/2015/322000.0/SOLD-Nov/2005/187000.0/SOLD
14-grandvista-boulevard-werribee-vic-3030,745000,18-Nov-2021,3,2,2,499,m2,"House","https://www.domain.com.au/14-grandvista-boulevard-werribee-vic-3030-2017349008",,1.2-2.8-2.7,3,Nov/2021/745000.0/SOLD-Jan/2018/342000.0/SOLD
282-greaves-street-north-werribee-vic-3030,540000,17-Nov-2021,3,2,2,533,m2,"House","https://www.domain.com.au/282-greaves-street-north-werribee-vic-3030-2017316588","Gas*"-"Secure Parking*"-"Bath*"-"Heating*"-"Study*",0.5-1.1-1.5,3,Nov/2021/540000.0/SOLD-May/2018/480000.0/SOLD
4/7-edgar-street-werribee-vic-3030,675000,17-Nov-2021,3,2,1,346,m2,"House","https://www.domain.com.au/4-7-edgar-street-werribee-vic-3030-2017358275",,0.6-1-0.5,3,
8-odessa-court-werribee-vic-3030,450000,16-Nov-2021,3,1,-1,330,m2,"House","https://www.domain.com.au/8-odessa-court-werribee-vic-3030-2017390231",,0.3-1.8-1.1,3,Nov/2021/450000.0/SOLD-Aug/2013/255000.0/SOLD-May/2005/185002.0/SOLD
1-tern-court-werribee-vic-3030,546000,16-Nov-2021,3,1,1,653,m2,"House","https://www.domain.com.au/1-tern-court-werribee-vic-3030-2017338415","Built in wardrobes*"-"Internal Laundry*",0.4-2.1-0.8,3,Nov/2021/546000.0/SOLD
13-mirabella-close-werribee-vic-3030,538720,16-Nov-2021,3,1,2,-1,None,"House","https://www.domain.com.au/13-mirabella-close-werribee-vic-3030-2017386173",,0.6-1.8-0.5,3,Nov/2021/538720.0/SOLD-Feb/1995/34500.0/SOLD
141---143-market-road-werribee-vic-3030,1180000,15-Nov-2021,3,1,1,628,m2,"House","https://www.domain.com.au/141-143-market-road-werribee-vic-3030-2017418072",,0.1-1-1.3,3,
31-amaroo-walk-werribee-vic-3030,560000,15-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/31-amaroo-walk-werribee-vic-3030-2017246750","Internal Laundry*"-"Air conditioning"-"Built in wardrobes"-"Close to transport"-"Close to shops"-"Close to schools"-"Ensuite"-"Car Parking - Surface"-"Kitchenette"-"Study",0.7-3.2-3.8,3,Nov/2021/560000.0/SOLD-Jun/2016/175000.0/SOLD
8-tarneit-road-werribee-vic-3030,742000,14-Nov-2021,3,1,2,700,m2,"House","https://www.domain.com.au/8-tarneit-road-werribee-vic-3030-2017336163","Gas*"-"Secure Parking*"-"Fireplace(s)*"-"Heating*",1.1-1.3-0.9,3,Nov/2021/742000.0/SOLD-Feb/2016/425000.0/SOLD
3-carmarthen-close-werribee-vic-3030,525500,14-Nov-2021,3,1,2,508,m2,"House","https://www.domain.com.au/3-carmarthen-close-werribee-vic-3030-2017402913","Gas*",0.5-2.5-1.4,3,Nov/2021/525500.0/SOLD-Jan/2011/290000.0/SOLD-Sep/2007/201000.0/SOLD
