"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
2/24-esplanade-williamstown-vic-3016,2010000,04-Dec-2021,3,2,2,-1,None,"House","https://www.domain.com.au/2-24-esplanade-williamstown-vic-3016-2017368532","Ensuite",0.6-0.7-10.6,3,
46-parker-street-williamstown-vic-3016,1640000,27-Nov-2021,3,3,3,-1,None,"House","https://www.domain.com.au/46-parker-street-williamstown-vic-3016-2017390807","Internal Laundry*"-"Secure Parking*"-"Air conditioning"-"Heating"-"Built in wardrobes"-"Close to transport"-"Close to shops"-"Vacuum System"-"Close to schools"-"Ensuite"-"Security System",0.1-0.4-10.1,3,Dec/2021/1640000.0/SOLD
69-parker-street-williamstown-vic-3016,2100000,27-Nov-2021,3,2,2,-1,None,"House","https://www.domain.com.au/69-parker-street-williamstown-vic-3016-2017266669",,0.1-0.3-10.1,3,Nov/2021/2100000.0/SOLD-Sep/2002/515000.0/SOLD-Oct/1990/140000.0/SOLD
82-florence-street-williamstown-vic-3016,1300000,25-Nov-2021,3,1,3,720,m2,"House","https://www.domain.com.au/82-florence-street-williamstown-vic-3016-2017258902",,1-1.1-8.3,3,
22-macquarie-street-williamstown-vic-3016,1250000,24-Nov-2021,3,2,-1,-1,None,"House","https://www.domain.com.au/22-macquarie-street-williamstown-vic-3016-2017301154","Built in wardrobes*"-"Internal Laundry*"-"Bath*"-"Heating*"-"Dishwasher*",0.4-1-9.1,3,Nov/2021/1250000.0/SOLD
2/3-park-crescent-williamstown-vic-3016,945000,24-Nov-2021,3,1,2,-1,None,"Villa","https://www.domain.com.au/2-3-park-crescent-williamstown-vic-3016-2017381596",,0.2-0.7-8.8,3,
103-hannan-street-williamstown-vic-3016,1625000,23-Nov-2021,3,1,-1,416,m2,"House","https://www.domain.com.au/103-hannan-street-williamstown-vic-3016-2017311430","Internal Laundry*"-"Built in wardrobes"-"Floorboards"-"Hot Water Gas"-"Heating Gas",0.3-0.6-9.4,3,Nov/2021/1625000.0/SOLD
33-osborne-street-williamstown-vic-3016,1430000,20-Nov-2021,3,2,-1,-1,None,"House","https://www.domain.com.au/33-osborne-street-williamstown-vic-3016-2017426230",,0.5-0.9-10.7,3,Nov/2021/1430000.0/SOLD-Dec/2015/770000.0/SOLD
71-champion-road-williamstown-vic-3016,900000,12-Nov-2021,3,1,3,-1,None,"House","https://www.domain.com.au/71-champion-road-williamstown-vic-3016-2017340341",,0.4-0.8-8.7,3,
27-rifle-range-drive-williamstown-vic-3016,1230000,09-Nov-2021,3,2,3,-1,None,"House","https://www.domain.com.au/27-rifle-range-drive-williamstown-vic-3016-2017393453",,1.1-1.2-9.5,3,Nov/2021/1230000.0/SOLD-Oct/2010/490.0/SOLD
