"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
32-little-page-street-albert-park-vic-3206,1425000,04-Dec-2021,2,1,-1,-1,None,House,https://www.domain.com.au/32-little-page-street-albert-park-vic-3206-2017402748,,0.5-0.5-1.4,3,Dec/2021/1425000.0/SOLD-May/2019/987500.0/SOLD
12-durham-street-albert-park-vic-3206,1650000,08-Oct-2021,2,1,-1,-1,None,House,https://www.domain.com.au/12-durham-street-albert-park-vic-3206-2017283043,,0.3-0.4-0.8,3,Oct/2021/1650000.0/SOLD
27-philipson-street-albert-park-vic-3206,187000,29-Sep-2021,2,1,1,-1,None,House,https://www.domain.com.au/27-philipson-street-albert-park-vic-3206-2017270790,,0.5-0.5-1.4,3,Sep/2021/1870000.0/SOLD-Sep/2016/1405000.0/SOLD
53-barrett-street-albert-park-vic-3206,2100000,17-Aug-2021,2,1,1,-1,None,House,https://www.domain.com.au/53-barrett-street-albert-park-vic-3206-2017211657,,0.3-0.3-1.1,3,Aug/2021/2100000.0/SOLD-Apr/2019/1650000.0/SOLD
116-graham-street-albert-park-vic-3206,1668000,10-Jul-2021,2,1,-1,-1,None,House,https://www.domain.com.au/116-graham-street-albert-park-vic-3206-2017075355,,0.2-0.5-1.2,3,Jul/2021/620.0/SOLD
12-canterbury-road-albert-park-vic-3206,2373000,22-May-2021,2,1,2,277,m2,House,https://www.domain.com.au/12-canterbury-road-albert-park-vic-3206-2016968760,,0.5-1.1-1.7,3,May/2021/2373000.0/SOLD-Oct/1995/325000.0/SOLD-Dec/1993/109000.0/SOLD
5-young-street-albert-park-vic-3206,1620000,22-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/5-young-street-albert-park-vic-3206-2016966072,,0.5-1.1-1.7,3,May/2021/1620000.0/SOLD-Jun/1989/500.0/SOLD
42-barrett-street-albert-park-vic-3206,1435000,17-May-2021,2,1,-1,-1,None,House,https://www.domain.com.au/42-barrett-street-albert-park-vic-3206-2016968732,,0.2-0.4-1,3,May/2021/1435000.0/SOLD
1-kerferd-place-albert-park-vic-3206,1325000,08-May-2021,2,1,-1,-1,None,House,https://www.domain.com.au/1-kerferd-place-albert-park-vic-3206-2016932989,,0.5-0.9-1.5,3,May/2021/1325000.0/SOLD
23-herbert-place-albert-park-vic-3206,1807500,01-May-2021,2,1,-1,179,m2,House,https://www.domain.com.au/23-herbert-place-albert-park-vic-3206-2016920848,,0.4-1-1.7,3,May/2021/1807500.0/SOLD
11-herbert-street-albert-park-vic-3206,1680000,17-Apr-2021,2,2,-1,105,m2,House,https://www.domain.com.au/11-herbert-street-albert-park-vic-3206-2016888455,Close to transport-Close to shops-Close to schools-Ensuite-Balcony-Courtyard-Garden / Courtyard-Deck-Dishwasher-Ducted Cooling-Ducted Heating,0.4-0.9-1.7,3,Apr/2021/1680000.0/SOLD
83-graham-street-albert-park-vic-3206,1533000,27-Mar-2021,2,1,-1,-1,None,House,https://www.domain.com.au/83-graham-street-albert-park-vic-3206-2016836513,,0.1-0.5-1,3,Mar/2021/1533000.0/SOLD-Jul/1984/65250.0/SOLD
12-little-page-street-albert-park-vic-3206,1115000,20-Mar-2021,2,1,-1,-1,None,House,https://www.domain.com.au/12-little-page-street-albert-park-vic-3206-2016816502,,0.3-0.5-1.2,3,Mar/2021/1115000.0/SOLD-Dec/1982/34000.0/SOLD
7-page-street-albert-park-vic-3206,2020000,20-Mar-2021,2,1,-1,163,m2,House,https://www.domain.com.au/7-page-street-albert-park-vic-3206-2016816055,Ensuite-Built in wardrobes-Fireplace(s),0.4-0.4-1.3,3,Mar/2021/2020000.0/SOLD
41-withers-street-albert-park-vic-3206,1325000,12-Mar-2021,2,1,-1,120,m2,House,https://www.domain.com.au/41-withers-street-albert-park-vic-3206-2016886698,,0.2-0.6-1.2,3,Mar/2021/700.0/SOLD
126-mills-street-albert-park-vic-3206,1860000,06-Feb-2021,2,1,-1,170,m2,House,https://www.domain.com.au/126-mills-street-albert-park-vic-3206-2016717582,Air conditioning-Built in wardrobes-Fireplace(s),0.1-0.9-1.8,3,Feb/2021/1860000.0/SOLD-Jul/2017/1535000.0/SOLD
33-st-vincent-street-albert-park-vic-3206,1950000,24-Dec-2020,2,1,1,-1,None,Terrace,https://www.domain.com.au/33-st-vincent-street-albert-park-vic-3206-2016440925,,0.2-0.5-0.8,3,Dec/2020/1950000.0/SOLD-May/2018/795.0/SOLD
66-richardson-street-albert-park-vic-3206,1890000,13-Dec-2020,2,1,1,182,m2,House,https://www.domain.com.au/66-richardson-street-albert-park-vic-3206-2016547362,Air conditioning-Floorboards-Built in wardrobes-Pets Allowed-Bath-Heating-Dishwasher-Study-Secure Parking-Garden / Courtyard-Double glazed windows,0.3-0.3-1,3,Dec/2020/1890000.0/SOLD-Mar/2014/1230000.0/SOLD
