,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,38-reed-street-albert-park-vic-3206,2005500,04-Dec-2021,3,1,-1,172,m2,House,https://www.domain.com.au/38-reed-street-albert-park-vic-3206-2017398321,,0.2-0.7-1.1,3,Dec/2021/2005500.0/SOLD-Oct/1978/34000.0/SOLD
1,13-madden-street-albert-park-vic-3206,2550000,03-Dec-2021,3,1,-1,180,m2,House,https://www.domain.com.au/13-madden-street-albert-park-vic-3206-2017415120,,0.5-1-1.4,3,Dec/2021/2550000.0/SOLD-Sep/2012/1225000.0/SOLD
2,6-mills-street-albert-park-vic-3206,2151000,20-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/6-mills-street-albert-park-vic-3206-2017356960,,0.4-1.1-1.8,3,Nov/2021/2151000.0/SOLD-Dec/1994/520.0/SOLD
3,15-mills-street-albert-park-vic-3206,2700000,13-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/15-mills-street-albert-park-vic-3206-2017320345,,0.4-1.1-1.8,3,Nov/2021/2700000.0/SOLD-Nov/2014/1100.0/SOLD
4,110-danks-street-albert-park-vic-3206,2260000,05-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/110-danks-street-albert-park-vic-3206-2017341839,,0.2-0.6-1.2,3,Nov/2021/2260000.0/SOLD-Oct/2008/1150000.0/SOLD-Jun/1997/188000.0/SOLD
5,103-kerferd-road-albert-park-vic-3206,2530000,30-Oct-2021,3,2,-1,-1,None,House,https://www.domain.com.au/103-kerferd-road-albert-park-vic-3206-2017300077,,0.3-0.7-1.6,3,Nov/2021/2530000.0/SOLD-Jan/2009/500.0/SOLD
6,4-reed-street-albert-park-vic-3206,1970000,11-Aug-2021,3,2,1,-1,None,House,https://www.domain.com.au/4-reed-street-albert-park-vic-3206-2017098145,,0.2-0.8-0.9,3,Aug/2021/1970000.0/SOLD
7,16-dinsdale-street-albert-park-vic-3206,2290000,16-Jul-2021,3,2,1,-1,None,House,https://www.domain.com.au/16-dinsdale-street-albert-park-vic-3206-2016884959,"Alarm System-""Built in wardrobes""-""Fireplace(s)""",0.4-0.4-1.3,3,Jul/2021/2290000.0/SOLD
8,5-mills-street-albert-park-vic-3206,2670000,07-Jul-2021,3,1,1,290,m2,House,https://www.domain.com.au/5-mills-street-albert-park-vic-3206-2016981119,,0.4-1.1-1.8,3,Jul/2021/2670000.0/SOLD
9,2-merton-place-albert-park-vic-3206,2525000,05-Jun-2021,3,1,1,232,m2,House,https://www.domain.com.au/2-merton-place-albert-park-vic-3206-2017005946,,0.4-0.6-1.4,3,Jun/2021/2525000.0/SOLD
10,62-st-vincent-street-albert-park-vic-3206,2075000,03-Jun-2021,3,2,1,180,m2,House,https://www.domain.com.au/62-st-vincent-street-albert-park-vic-3206-2016998704,,0.4-0.4-0.7,3,May/2021/2075000.0000000002/SOLD-May/1997/393000.0/SOLD-Mar/1986/190000.0/SOLD
11,7-greig-street-albert-park-vic-3206,2720555,27-May-2021,3,2,1,-1,None,House,https://www.domain.com.au/7-greig-street-albert-park-vic-3206-2016982083,,0.2-0.4-0.9,3,May/2021/2720555.0/SOLD-Mar/2013/1800000.0/SOLD
12,10-withers-street-albert-park-vic-3206,2935000,01-May-2021,3,3,1,-1,None,House,https://www.domain.com.au/10-withers-street-albert-park-vic-3206-2016914984,,0.1-0.4-1,3,May/2021/2935000.0/SOLD
13,8-draper-street-albert-park-vic-3206,3570000,10-Apr-2021,3,3,2,-1,None,House,https://www.domain.com.au/8-draper-street-albert-park-vic-3206-2016867311,,0.6-1.1-1.3,3,
14,46-little-page-street-albert-park-vic-3206,1770000,20-Mar-2021,3,2,-1,-1,None,House,https://www.domain.com.au/46-little-page-street-albert-park-vic-3206-2016821368,,0.5-0.6-1.4,3,Mar/2021/1770000.0/SOLD-May/2015/1330000.0/SOLD
15,109-ashworth-street-albert-park-vic-3206,1620000,12-Feb-2021,3,2,-1,-1,None,House,https://www.domain.com.au/109-ashworth-street-albert-park-vic-3206-2016579778,,0.3-0.8-1.8,3,Feb/2021/1620000.0/SOLD-Oct/2016/1725000.0/SOLD-Feb/2015/880000.0/SOLD
16,34-finlay-street-albert-park-vic-3206,1970000,17-Jan-2021,3,2,-1,-1,None,House,https://www.domain.com.au/34-finlay-street-albert-park-vic-3206-2016748640,,0.3-0.7-1.4,3,Jan/2021/1970000.0/SOLD-May/1997/390000.0/SOLD-Feb/1995/214500.0/SOLD
17,40-richardson-street-albert-park-vic-3206,1885000,28-Nov-2020,3,1,1,195,m2,House,https://www.domain.com.au/40-richardson-street-albert-park-vic-3206-2016595015,,0.2-0.3-1,3,Nov/2020/1885000.0/SOLD
18,101-richardson-street-albert-park-vic-3206,2200000,28-Nov-2020,3,1,-1,-1,None,House,https://www.domain.com.au/101-richardson-street-albert-park-vic-3206-2016621872,,0.3-0.8-1.6,3,Nov/2020/2200000.0/SOLD-Sep/2015/905.0/SOLD
19,237-danks-street-albert-park-vic-3206,1639000,21-Nov-2020,3,1,-1,154,m2,House,https://www.domain.com.au/237-danks-street-albert-park-vic-3206-2016581531,,0.2-0.9-1.8,3,Nov/2020/1639000.0/SOLD
20,16-withers-street-albert-park-vic-3206,1800000,23-Oct-2020,3,3,-1,-1,None,House,https://www.domain.com.au/16-withers-street-albert-park-vic-3206-2016530793,,0.1-0.4-1,3,Oct/2020/1800000.0/SOLD-Mar/2015/1100.0/SOLD
21,44-dinsdale-street-albert-park-vic-3206,2600000,22-Oct-2020,3,2,-1,-1,None,House,https://www.domain.com.au/44-dinsdale-street-albert-park-vic-3206-2016520868,,0.5-0.5-1.4,3,Oct/2020/2600000.0/SOLD-Nov/2009/1590000.0/SOLD
