address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
11-delmont-avenue-altona-vic-3018,1090000,08-Dec-2021,3,1,2,-1,None,House,https://www.domain.com.au/11-delmont-avenue-altona-vic-3018-2017408066,"Internal Laundry*-""Secure Parking*""-""Close to transport""-""Close to shops""-""Close to schools""",0.3-9.7-1,3,Dec/1999/172000.0/SOLD-Sep/1986/80000.0/SOLD
185a-civic-parade-altona-vic-3018,830000,07-Dec-2021,3,2,2,222,m2,House,https://www.domain.com.au/185a-civic-parade-altona-vic-3018-2017028451,"Secure Parking*-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",0.5-9.7-0.5,3,May/2018/800000.0/SOLD
189-esplanade-altona-vic-3018,2810000,01-Dec-2021,3,1,1,819,m2,House,https://www.domain.com.au/189-esplanade-altona-vic-3018-2017358630,"Bath*-""Fully fenced""-""Outdoor Entertainment Area""-""Secure Parking""-""Shed""-""Alarm System""-""Broadband Internet Available""-""Built in wardrobes""-""Dishwasher""-""Floorboards""-""Air conditioning""-""Ducted Cooling""-""Ducted Heating""-""Gas Heating""-""Open Fireplace""-""Reverse Cycle Air Conditioning""",0.5-1.3-10.4,3,
60-hammond-street-altona-vic-3018,960000,26-Nov-2021,3,1,2,531,m2,House,https://www.domain.com.au/60-hammond-street-altona-vic-3018-2017393718,"Secure Parking*-""Heating*""-""Balcony / Deck*""",0.8-8.9-1.4,3,Dec/2021/960000.0/SOLD-Jun/2018/810000.0/SOLD-Jun/2014/605000.0/SOLD
211-civic-parade-altona-vic-3018,1022000,20-Nov-2021,3,1,2,607,m2,House,https://www.domain.com.au/211-civic-parade-altona-vic-3018-2017376945,"Secure Parking*-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",0.3-9.8-0.6,3,Nov/2021/1022000.0/SOLD-May/2003/283000.0/SOLD
75-millers-road-altona-vic-3018,1095000,19-Nov-2021,3,1,3,-1,None,House,https://www.domain.com.au/75-millers-road-altona-vic-3018-2017235327,"Built in wardrobes*-""Secure Parking*""-""Heating*""-""Garden*""",0.1-2-9.5,3,Nov/2021/1095000.0/SOLD
28-ransom-avenue-altona-vic-3018,820000,17-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/28-ransom-avenue-altona-vic-3018-2017220379,"Internal Laundry*-""Secure Parking*""-""Garden*""-""Balcony / Deck*""-""Ensuite""",0.6-9.2-1,3,Nov/2021/820000.0/SOLD
6b-rose-street-altona-vic-3018,1088888,15-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/6b-rose-street-altona-vic-3018-2017410015,,0.5-1.1-10.7,3,Dec/2021/1088888.0/SOLD-Apr/2021/980000.0/SOLD
102-mcintyre-drive-altona-vic-3018,1062000,11-Nov-2021,3,1,2,-1,None,House,https://www.domain.com.au/102-mcintyre-drive-altona-vic-3018-2017352737,,0.8-9-1.3,3,Nov/2021/1062000.0/SOLD-Sep/2004/270000.0/SOLD-May/1986/78000.0/SOLD
9-linnet-street-altona-vic-3018,1360000,10-Nov-2021,3,1,1,740,m2,House,https://www.domain.com.au/9-linnet-street-altona-vic-3018-2017293884,"Secure Parking*-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",0.6-0.7-10.4,3,Nov/2021/1360000.0/SOLD-Nov/1994/107000.0/SOLD
