"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
16-seagull-avenue-altona-vic-3018,1525000,02-Dec-2021,5,3,2,636,m2,House,https://www.domain.com.au/16-seagull-avenue-altona-vic-3018-2017321969,Air conditioning*-Secure Parking*-Balcony / Deck*-Heating-Built in wardrobes-Close to transport-Close to shops-Swimming Pool-Close to schools-Ensuite-Carpeted,1-10.6-1.2,3,Dec/2021/1525000.0/SOLD-May/2005/406000.0/SOLD-May/2001/258500.0/SOLD
17-upton-street-altona-vic-3018,2502000,05-Nov-2021,5,3,4,1025,m2,House,https://www.domain.com.au/17-upton-street-altona-vic-3018-2017137139,Air conditioning*-Floorboards-Alarm System-Intercom-Built in wardrobes-Bath-Fireplace(s)-Heating-Dishwasher-Study-Secure Parking-Shed-Balcony / Deck-Garden / Courtyard-Swimming Pool-Outdoor Spa-Double glazed windows-Wall / ceiling insulation,0.1-0.9-10.3,3,Oct/2021/2502000.0/SOLD-Jan/2017/1950000.0/SOLD-Mar/2009/1030000.0/SOLD
219-civic-parade-altona-vic-3018,2000000,19-Oct-2021,5,4,2,605,m2,House,https://www.domain.com.au/219-civic-parade-altona-vic-3018-2017114108,Secure Parking*-Bath*-Fireplace(s)*-Heating*-Dishwasher*-Study*-Garden*,0.3-9.8-0.6,3,Aug/2021/2000000.0/SOLD-Aug/2016/740000.0/SOLD
17-bracken-grove-altona-vic-3018,2412000,18-Oct-2021,5,3,2,700,m2,House,https://www.domain.com.au/17-bracken-grove-altona-vic-3018-2017279156,Secure Parking*-Bath*-Balcony / Deck*,0.7-1-10.7,3,Oct/2021/2412000.0/SOLD-Oct/2017/1060000.0/SOLD-Jun/1999/186000.0/SOLD
31-fenfield-street-altona-vic-3018,1150000,14-Oct-2021,5,2,4,620,m2,House,https://www.domain.com.au/31-fenfield-street-altona-vic-3018-2017284924,Built in wardrobes*-Internal Laundry*-Heating*-Shed*-Study,0.5-9.7-1.3,3,Oct/2021/1150000.0/SOLD-Oct/2010/660000.0/SOLD-Feb/2007/350000.0/SOLD
111-grieve-parade-altona-vic-3018,1000000,11-May-2021,5,2,1,-1,None,House,https://www.domain.com.au/111-grieve-parade-altona-vic-3018-2016916313,Secure Parking*-Swimming Pool*-Garden*-Air conditioning-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.3-9.4-1,3,Apr/2021/1000000.0/SOLD
26-myrtle-grove-altona-vic-3018,2280000,08-May-2021,5,4,4,-1,None,House,https://www.domain.com.au/26-myrtle-grove-altona-vic-3018-2016935268,nan,0.9-1.2-10.9,3,May/2021/2280000.0/SOLD-Sep/2012/1320000.0/SOLD-Dec/2004/360000.0/SOLD
45-bayview-street-altona-vic-3018,1687000,14-Apr-2021,5,4,3,-1,None,House,https://www.domain.com.au/45-bayview-street-altona-vic-3018-2016178067,nan,0.4-1.7-9.7,3,Mar/2021/1687000.0/SOLD-Apr/2013/660000.0/SOLD-Sep/1996/65500.0/SOLD
6-hancock-street-altona-vic-3018,1530000,31-Mar-2021,5,4,3,1000,m2,House,https://www.domain.com.au/6-hancock-street-altona-vic-3018-2016833832,Garden*,0.2-0.6-10,3,Mar/2021/1530000.0/SOLD-Jan/2016/1115208.0/SOLD
57-mcbain-street-altona-vic-3018,1300000,13-Mar-2021,5,3,6,800,m2,House,https://www.domain.com.au/57-mcbain-street-altona-vic-3018-2016790022,Garden*-Air conditioning-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.5-1-9.8,3,Mar/2021/500.0/SOLD
45-bent-street-altona-vic-3018,1800000,17-Dec-2020,5,2,2,945,m2,House,https://www.domain.com.au/45-bent-street-altona-vic-3018-2016484126,Garden*,0.8-1.4-9.8,3,Dec/2020/1800000.0/SOLD
214-blyth-street-altona-vic-3018,1325000,18-Jul-2020,5,2,6,700,m2,House,https://www.domain.com.au/214-blyth-street-altona-vic-3018-2016312230,nan,1.3-1.4-11,3,Jul/2020/1325000.0/SOLD-Jun/2017/1300000.0/SOLD-Sep/2016/945000.0/SOLD
8-stanley-street-altona-vic-3018,1475000,24-Apr-2020,5,3,4,752,m2,House,https://www.domain.com.au/8-stanley-street-altona-vic-3018-2016177908,nan,0.8-0.9-10.6,3,Apr/2020/1475000.0/SOLD-Mar/2003/800.0/SOLD
5-bayview-street-altona-vic-3018,1800000,20-Apr-2020,5,2,3,-1,None,House,https://www.domain.com.au/5-bayview-street-altona-vic-3018-2016158841,nan,0.7-1.8-10.1,3,Apr/2020/1800000.0/SOLD-Jul/2011/900.0/SOLD
12-campbell-court-altona-vic-3018,1152500,03-Mar-2020,5,2,4,534,m2,House,https://www.domain.com.au/12-campbell-court-altona-vic-3018-2016052330,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Swimming Pool-Spa-Open Fire Place-Close to schools-Openable Windows,0.6-9.6-0.6,3,Feb/2020/1152500.0/SOLD-Jul/2015/720000.0/SOLD
