address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
19-clapham-street-balwyn-vic-3103,2780000,10-Nov-2021,3,1,1,1010,m2,House,https://www.domain.com.au/19-clapham-street-balwyn-vic-3103-2017355489,,0.4-1.3-1.9,3,Nov/2021/2780000.0/SOLD
25-abercrombie-street-balwyn-vic-3103,2020000,28-Oct-2021,3,3,2,308,m2,House,https://www.domain.com.au/25-abercrombie-street-balwyn-vic-3103-2017297939,Ensuite,0.3-1.5-5.3,3,
1b-woods-street-balwyn-vic-3103,1550000,24-Jun-2021,3,2,2,-1,None,House,https://www.domain.com.au/1b-woods-street-balwyn-vic-3103-2017027972,,0.8-1.2-3.9,3,Jun/2021/700.0/SOLD-Sep/2005/1550000.0/SOLD
8-conway-crescent-balwyn-vic-3103,2280000,20-Jun-2021,3,1,2,645,m2,House,https://www.domain.com.au/8-conway-crescent-balwyn-vic-3103-2017042420,,0.5-1.5-2.1,3,Jun/2021/2280000.0/SOLD-Mar/2018/600.0/SOLD
13-mangan-street-balwyn-vic-3103,3381000,17-Apr-2021,3,2,2,1011,m2,House,https://www.domain.com.au/13-mangan-street-balwyn-vic-3103-2016886502,,0.3-1.6-4.8,3,Apr/2021/495.0/SOLD
153-balwyn-road-balwyn-vic-3103,1755000,17-Apr-2021,3,1,2,617,m2,House,https://www.domain.com.au/153-balwyn-road-balwyn-vic-3103-2016888692,,0.8-1.1-4.3,3,Apr/2021/1755000.0/SOLD
21-winmalee-road-balwyn-vic-3103,2603000,20-Mar-2021,3,1,1,650,m2,House,https://www.domain.com.au/21-winmalee-road-balwyn-vic-3103-2016802260,,0.9-1.3-4.2,3,Mar/2021/2603000.0/SOLD
23-banool-road-balwyn-vic-3103,2100000,06-Feb-2021,3,1,1,624,m2,House,https://www.domain.com.au/23-banool-road-balwyn-vic-3103-2016718431,"Garden*-""Close to schools""-""Close to shops""-""Close to transport""",0.4-1.8-2.2,3,Feb/2021/2100000.0/SOLD
6-walker-street-balwyn-vic-3103,1900000,19-Dec-2020,3,1,1,-1,None,House,https://www.domain.com.au/6-walker-street-balwyn-vic-3103-2016788748,,0.6-1.3-4.8,3,Dec/2020/1900000.0/SOLD
21-sevenoaks-street-balwyn-vic-3103,2510000,28-Nov-2020,3,1,1,806,m2,House,https://www.domain.com.au/21-sevenoaks-street-balwyn-vic-3103-2016598380,,0.9-1-4.5,3,Nov/2020/2510000.0/SOLD
7-parkdale-avenue-balwyn-vic-3103,2001000,07-Nov-2020,3,1,2,650,m2,House,https://www.domain.com.au/7-parkdale-avenue-balwyn-vic-3103-2016535127,,0.9-1.7-4.2,3,Nov/2020/2001000.0/SOLD
12a-westminster-street-balwyn-vic-3103,1557000,03-Nov-2020,3,2,2,-1,None,House,https://www.domain.com.au/12a-westminster-street-balwyn-vic-3103-2016547608,,0.5-1.4-2,3,Nov/2020/1557000.0/SOLD
84-yerrin-street-balwyn-vic-3103,1801000,08-Jul-2020,3,1,2,731,m2,House,https://www.domain.com.au/84-yerrin-street-balwyn-vic-3103-2016325528,,1-1.1-4,3,Jul/2020/490.0/SOLD
8-alandale-avenue-balwyn-vic-3103,2080000,25-Jun-2020,3,2,1,725,m2,House,https://www.domain.com.au/8-alandale-avenue-balwyn-vic-3103-2016304211,,0.9-1.2-4,3,Jun/2020/2080000.0/SOLD
16-frederick-street-balwyn-vic-3103,1925000,15-Jun-2020,3,1,2,623,m2,House,https://www.domain.com.au/16-frederick-street-balwyn-vic-3103-2016282615,,0.8-1.1-4.4,3,Jun/2020/1925000.0/SOLD-Apr/2005/320.0/SOLD
16-frederick-street-balwyn-vic-3103,1925000,15-Jun-2020,3,1,2,-1,None,House,https://www.domain.com.au/16-frederick-street-balwyn-vic-3103-2016325028,,0.8-1.1-4.4,3,Jun/2020/1925000.0/SOLD-Apr/2005/320.0/SOLD
102-rochester-road-balwyn-vic-3103,2232000,23-May-2020,3,1,2,783,m2,House,https://www.domain.com.au/102-rochester-road-balwyn-vic-3103-2016248592,,0.2-1.2-1.9,3,May/2020/2232000.0/SOLD
1/67-talbot-avenue-balwyn-vic-3103,1685000,15-May-2020,3,2,2,-1,None,House,https://www.domain.com.au/1-67-talbot-avenue-balwyn-vic-3103-2016204454,,0.4-1.5-2.1,3,
12-burroughs-road-balwyn-vic-3103,2260000,07-Mar-2020,3,1,1,743,m2,House,https://www.domain.com.au/12-burroughs-road-balwyn-vic-3103-2016077098,,0.6-1.6-1.8,3,Mar/2020/470.0/SOLD
54-birdwood-street-balwyn-vic-3103,2250000,29-Feb-2020,3,1,2,661,m2,House,https://www.domain.com.au/54-birdwood-street-balwyn-vic-3103-2016055464,,0.8-1-4.7,3,Feb/2020/550.0/SOLD
