,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,116-kitchener-street-broadmeadows-vic-3047,663000,12-Oct-2021,4,2,4,590,m2,House,https://www.domain.com.au/116-kitchener-street-broadmeadows-vic-3047-2017157967,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Dishwasher*""",0.4-0.9-0.3,3,Oct/2021/663000.0/SOLD-Oct/2017/1434.0/SOLD
1,6-katandra-crescent-broadmeadows-vic-3047,616000,02-Oct-2021,4,1,2,-1,None,House,https://www.domain.com.au/6-katandra-crescent-broadmeadows-vic-3047-2017224033,"Gas*-""Internal Laundry*""-""Secure Parking*""-""Fireplace(s)*""-""Garden*""-""Balcony / Deck*""",1-1.1-0.3,3,Oct/2021/616000.0/SOLD-Jan/1976/320.0/SOLD
2,98-lahinch-street-broadmeadows-vic-3047,688000,28-Sep-2021,4,1,2,690,m2,House,https://www.domain.com.au/98-lahinch-street-broadmeadows-vic-3047-2017224733,"Close to transport-""Close to shops""-""Close to schools""",0.4-1.1-0.2,3,Sep/2021/688000.0/SOLD-Jul/2019/595000.0/SOLD-May/2013/291001.0/SOLD
3,10-waranga-crescent-broadmeadows-vic-3047,530000,07-Sep-2021,4,1,-1,660,m2,House,https://www.domain.com.au/10-waranga-crescent-broadmeadows-vic-3047-2017224790,"Close to transport-""Close to shops""-""Close to schools""",0.4-1.5-0.3,3,Sep/2021/530000.0/SOLD-Aug/2000/270.0/SOLD
4,56-ripplebrook-drive-broadmeadows-vic-3047,580000,31-Jul-2021,4,2,1,570,m2,House,https://www.domain.com.au/56-ripplebrook-drive-broadmeadows-vic-3047-2017111683,Garden*,0.5-0.7-0.9,3,Jul/2021/580000.0/SOLD
5,131-cuthbert-st-broadmeadows-vic-3047,632000,15-Jul-2021,4,1,1,-1,None,House,https://www.domain.com.au/131-cuthbert-st-broadmeadows-vic-3047-2017410971,,0.7-0.8-0.1,3,Jul/2021/632000.0/SOLD
6,27-talgarno-street-broadmeadows-vic-3047,630000,16-Jun-2021,4,2,1,678,m2,House,https://www.domain.com.au/27-talgarno-street-broadmeadows-vic-3047-2016949171,,0.7-0.8-0.5,3,May/2021/630000.0/SOLD-Aug/2015/365000.0/SOLD
7,125-cuthbert-street-broadmeadows-vic-3047,630000,29-May-2021,4,1,1,548,m2,House,https://www.domain.com.au/125-cuthbert-street-broadmeadows-vic-3047-2016974021,"Heating*-""Garden*""",0.6-0.8-0.1,3,May/2021/630000.0/SOLD-May/2012/350000.0/SOLD-Mar/1992/85000.0/SOLD
8,9-columbia-circuit-(kingston-gardens)-broadmeadows-vic-3047,601000,20-May-2021,4,2,2,525,m2,House,https://www.domain.com.au/9-columbia-circuit-kingston-gardens-broadmeadows-vic-3047-2016955118,,0.2-1.2-0.3,3,
9,50-katunga-crescent-broadmeadows-vic-3047,540000,05-May-2021,4,1,1,-1,None,House,https://www.domain.com.au/50-katunga-crescent-broadmeadows-vic-3047-2016891606,"Secure Parking*-""Bath*""-""Solar panels*""-""Air conditioning""-""Heating""-""Area Views""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",0.7-0.8-0.6,3,May/2021/540000.0/SOLD
10,59-academy-drive-broadmeadows-vic-3047,630000,22-Apr-2021,4,2,2,513,m2,House,https://www.domain.com.au/59-academy-drive-broadmeadows-vic-3047-2016880164,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""",0.6-2.7-0.9,3,Apr/2021/630000.0/SOLD-Mar/2001/60000.0/SOLD
11,49-kitchener-street-broadmeadows-vic-3047,625000,12-Apr-2021,4,2,4,624,m2,House,https://www.domain.com.au/49-kitchener-street-broadmeadows-vic-3047-2016857067,,0.5-1.5-0.3,3,Apr/2021/625000.0/SOLD-May/2019/500000.0/SOLD
12,37-katunga-crescent-broadmeadows-vic-3047,656000,12-Mar-2021,4,2,2,675,m2,House,https://www.domain.com.au/37-katunga-crescent-broadmeadows-vic-3047-2016802598,"Heating*-""Garden*""-""Solar panels*""-""Air conditioning""-""Area Views""-""Built in wardrobes""-""Close to shops""-""Close to schools""",0.7-0.8-0.6,3,Mar/2021/656000.0/SOLD
13,27-hastings-crescent-broadmeadows-vic-3047,535000,13-Jan-2021,4,2,2,568,m2,House,https://www.domain.com.au/27-hastings-crescent-broadmeadows-vic-3047-2016645351,"Gas*-""Heating*""-""Garden*""-""Balcony / Deck*""",0.5-0.6-0.8,3,Jan/2021/535000.0/SOLD-May/2016/416000.0/SOLD
14,303-camp-road-broadmeadows-vic-3047,568000,01-Dec-2020,4,1,4,-1,None,House,https://www.domain.com.au/303-camp-road-broadmeadows-vic-3047-2016135050,"Fully fenced-""Alarm System""-""Built in wardrobes""-""Dishwasher""-""Floorboards""-""Ducted Heating""-""Evaporative Cooling""",0.2-1.6-0.4,3,Nov/2020/395.0/SOLD-Mar/1991/568000.0/SOLD
15,7-bogong-court-broadmeadows-vic-3047,670000,21-Nov-2020,4,2,4,714,m2,House,https://www.domain.com.au/7-bogong-court-broadmeadows-vic-3047-2016606974,"Gas*-""Secure Parking*""-""Intercom*""-""Heating*""-""Shed*""-""Garden*""-""Fully fenced""",1.1-1.3-1.4,3,Nov/2020/670000.0/SOLD
16,7a-housden-street-broadmeadows-vic-3047,240000,02-Oct-2020,4,3,1,229,m2,House,https://www.domain.com.au/7a-housden-street-broadmeadows-vic-3047-2016533966,"Internal Laundry*-""Secure Parking*""-""Study*""-""Garden*""-""Balcony / Deck*""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",0.4-1.8-0.7,3,Oct/2020/240000.0/SOLD
17,1-avalon-avenue-broadmeadows-vic-3047,560000,01-Sep-2020,4,1,1,650,m2,House,https://www.domain.com.au/1-avalon-avenue-broadmeadows-vic-3047-2016300177,,0.7-1.2-0.2,3,Jul/2020/560000.0/SOLD
18,11-columbia-circuit-broadmeadows-vic-3047,580000,07-Aug-2020,4,2,2,525,m2,House,https://www.domain.com.au/11-columbia-circuit-broadmeadows-vic-3047-2016326636,,0.8-2.9-1.2,3,Jul/2020/580000.0/SOLD-Sep/1998/51500.0/SOLD
19,22-holberry-street-broadmeadows-vic-3047,460000,11-Jul-2020,4,1,2,641,m2,House,https://www.domain.com.au/22-holberry-street-broadmeadows-vic-3047-2016311365,,0.3-1.7-0.8,3,Jul/2020/560000.0/SOLD-Jun/2014/340.0/SOLD
20,157-widford-street-broadmeadows-vic-3047,575000,27-Jun-2020,4,1,2,696,m2,House,https://www.domain.com.au/157-widford-street-broadmeadows-vic-3047-2016285724,"Air conditioning-""Heating""-""Close to transport""-""Close to shops""-""Close to schools""",0.6-1.4-0.6,3,Jun/2020/575000.0/SOLD-Mar/2017/380.0/SOLD
21,5-cavendish-street-broadmeadows-vic-3047,554500,30-May-2020,4,1,2,649,m2,House,https://www.domain.com.au/5-cavendish-street-broadmeadows-vic-3047-2016254116,,0.3-0.3-0.6,3,May/2020/554500.0/SOLD-Aug/2003/175000.0/SOLD
22,5-stamford-court-broadmeadows-vic-3047,620000,09-May-2020,4,2,2,554,m2,House,https://www.domain.com.au/5-stamford-court-broadmeadows-vic-3047-2016216802,,0.7-2.4-0.9,3,May/2020/620000.0/SOLD
23,21-cooma-street-broadmeadows-vic-3047,562500,29-Feb-2020,4,2,8,649,m2,House,https://www.domain.com.au/21-cooma-street-broadmeadows-vic-3047-2016050154,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Garden""-""Secure Parking""",1-1.3-1.4,3,Feb/2020/562500.0/SOLD-Aug/2003/230000.0/SOLD-Oct/1995/79000.0/SOLD
24,10-stamford-crt-broadmeadows-vic-3047,600000,07-Feb-2020,4,2,1,554,m2,House,https://www.domain.com.au/10-stamford-crt-broadmeadows-vic-3047-2015902590,"Secure Parking-""Ensuite(s)""-""Alarm System""-""Built in wardrobes""-""Internal Laundry""-""Bath""-""Separate Dining Room""-""Garden / Courtyard""-""Rainwater storage tank""-""Ducted heating and Cooling""",0.7-2.4-0.9,3,
25,20-katunga-crescent-broadmeadows-vic-3047,551000,07-Oct-2019,4,2,2,-1,None,House,https://www.domain.com.au/20-katunga-crescent-broadmeadows-vic-3047-2014936077,,0.5-0.5-0.7,3,Sep/2019/551000.0/SOLD-Oct/2003/190000.0/SOLD-Apr/1994/79000.0/SOLD
26,1/13-osway-street-broadmeadows-vic-3047,692500,21-Sep-2019,4,2,2,350,m2,House,https://www.domain.com.au/1-13-osway-street-broadmeadows-vic-3047-2015551625,"Ensuite-""Floorboards""-""Alarm System""-""Intercom""-""Built in wardrobes""-""Internal Laundry""-""Pets Allowed""-""Bath""-""Heating""-""Dishwasher""-""Study""-""Secure Parking""-""Fully fenced""-""Balcony / Deck""-""Garden / Courtyard""",1.1-1.3-0.4,3,
27,145-cuthbert-street-broadmeadows-vic-3047,681500,27-Jul-2019,4,2,3,708,m2,House,https://www.domain.com.au/145-cuthbert-street-broadmeadows-vic-3047-2015406964,,0.7-0.6-0.7,3,Jul/2019/320.0/SOLD
28,7-canni-court-broadmeadows-vic-3047,460000,27-May-2019,4,1,2,-1,None,House,https://www.domain.com.au/7-canni-court-broadmeadows-vic-3047-2015166423,,1-1.5-0.3,3,May/2019/460000.0/SOLD
29,1-tyabb-court-broadmeadows-vic-3047,490000,04-Feb-2019,4,1,2,585,m2,House,https://www.domain.com.au/1-tyabb-court-broadmeadows-vic-3047-2014708261,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""",0.6-0.8-0.9,3,Jan/2019/490000.0/SOLD-Dec/1998/97000.0/SOLD-Feb/1996/80000.0/SOLD
30,29-smiley-road-broadmeadows-vic-3047,532500,31-Jan-2019,4,2,-1,-1,None,House,https://www.domain.com.au/29-smiley-road-broadmeadows-vic-3047-2014705348,,0.4-1.8-0.6,3,Jan/2019/532500.0/SOLD-Apr/2004/199000.0/SOLD-Oct/2002/159000.0/SOLD
31,71-academy-drive-broadmeadows-vic-3047,622000,08-Oct-2018,4,2,2,515,m2,House,https://www.domain.com.au/71-academy-drive-broadmeadows-vic-3047-2014614927,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""",0.6-2.8-1,3,Oct/2018/622000.0/SOLD-Sep/2000/63500.0/SOLD
32,1/100-kitchener-street-broadmeadows-vic-3047,620000,02-Oct-2018,4,2,4,331,m2,House,https://www.domain.com.au/1-100-kitchener-street-broadmeadows-vic-3047-2014626642,1 Ensuite(s),0.3-1.1-0.4,3,
33,24-osway-street-broadmeadows-vic-3047,610000,26-Aug-2018,4,1,2,-1,None,House,https://www.domain.com.au/24-osway-street-broadmeadows-vic-3047-2014462227,,1.1-1.2-0.3,3,Aug/2018/610000.0/SOLD
34,68-gerbert-street-broadmeadows-vic-3047,610000,26-Jun-2018,4,2,1,-1,None,House,https://www.domain.com.au/68-gerbert-street-broadmeadows-vic-3047-2014283173,,0.1-1.3-0.4,3,May/2018/610000.0/SOLD-May/2007/206000.0/SOLD
35,4-waverley-street-broadmeadows-vic-3047,640000,28-Apr-2018,4,1,2,-1,None,House,https://www.domain.com.au/4-waverley-street-broadmeadows-vic-3047-2014283177,,1-1.5-0.5,3,Apr/2018/640000.0/SOLD-Mar/2007/190500.0/SOLD
